Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.268612,[59  5] ; [15 16],[49.85263158 14.14736842] ; [24.14736842  6.85263158],1
p6,1,1.7e-05,18.491984,[49 15] ; [10 22],[39.33333333 24.66666667] ; [19.66666667 12.33333333],1
a3,1,0.000749,11.362319,[39 25] ; [30  2],[46. 18.] ; [23.  9.],1
p10,1,0.000995,10.8375,[59  5] ; [21 11],[53.33333333 10.66666667] ; [26.66666667  5.33333333],1
p3,1,0.009366,6.751648,[52 12] ; [18 14],[46.66666667 17.33333333] ; [23.33333333  8.66666667],0
a2,1,0.009366,6.751648,[12 52] ; [14 18],[17.33333333 46.66666667] ; [ 8.66666667 23.33333333],0
u1,1,0.027945,4.831447,[11 53] ; [12 20],[15.33333333 48.66666667] ; [ 7.66666667 24.33333333],0
a7,1,0.039008,4.260504,[41 23] ; [27  5],[45.33333333 18.66666667] ; [22.66666667  9.33333333],0
a4,1,0.043263,4.085106,[28 36] ; [21 11],[32.66666667 31.33333333] ; [16.33333333 15.66666667],0
p11,1,0.0455,4.0,[52 12] ; [20 12],[48. 16.] ; [24.  8.],0
p2,1,0.049535,3.857143,[59  5] ; [25  7],[56.  8.] ; [28.  4.],0
n5,1,0.116143,2.468571,[53 11] ; [22 10],[50. 14.] ; [25.  7.],0
p5,1,0.139833,2.179796,[11 53] ; [ 2 30],[ 8.66666667 55.33333333] ; [ 4.33333333 27.66666667],0
d5,1,0.139833,2.179796,[53 11] ; [30  2],[55.33333333  8.66666667] ; [27.66666667  4.33333333],0
a5,1,0.176168,1.829661,[46 18] ; [27  5],[48.66666667 15.33333333] ; [24.33333333  7.66666667],0
a6,1,0.220671,1.5,[40 24] ; [24  8],[42.66666667 21.33333333] ; [21.33333333 10.66666667],0
r4,1,0.257264,1.283422,[55  9] ; [30  2],[56.66666667  7.33333333] ; [28.33333333  3.66666667],0
v1,1,0.276498,1.184222,[35 28] ; [14 18],[32.49473684 30.50526316] ; [16.50526316 15.49473684],0
n3,1,0.279353,1.170236,[9 4] ; [8 1],[10.04545455  2.95454545] ; [6.95454545 2.04545455],0
b4,1,0.290836,1.11575,[39 25] ; [23  9],[41.33333333 22.66666667] ; [20.66666667 11.33333333],0
b5,1,0.305507,1.05,[35 29] ; [21 11],[37.33333333 26.66666667] ; [18.66666667 13.33333333],0
n4,1,0.335504,0.927536,[48 16] ; [21 11],[46. 18.] ; [23.  9.],0
d2,1,0.382733,0.761905,[34 30] ; [20 12],[36. 28.] ; [18. 14.],0
s2,1,0.439992,0.596303,[44 19] ; [24  7],[45.57446809 17.42553191] ; [22.42553191  8.57446809],0
b1,1,0.465704,0.532151,[29 35] ; [12 20],[27.33333333 36.66666667] ; [13.66666667 18.33333333],0
p1,1,0.512691,0.428571,[ 7 57] ; [ 5 27],[ 8. 56.] ; [ 4. 28.],0
p9,1,0.550985,0.355556,[55  9] ; [26  6],[54. 10.] ; [27.  5.],0
v2,1,0.568358,0.325437,[27 37] ; [15 16],[28.29473684 35.70526316] ; [13.70526316 17.29473684],0
v3,1,0.661066,0.192232,[19 44] ; [ 8 23],[18.09574468 44.90425532] ; [ 8.90425532 22.09574468],0
s5,1,0.662349,0.190683,[34 23] ; [17 14],[33.03409091 23.96590909] ; [17.96590909 13.03409091],0
s8,1,0.662521,0.190476,[35 29] ; [19 13],[36. 28.] ; [18. 14.],0
s3,1,0.675379,0.175375,[47 17] ; [24  7],[47.83157895 16.16842105] ; [23.16842105  7.83157895],0
u3,1,0.693196,0.155647,[16  9] ; [1 1],[15.74074074  9.25925926] ; [1.25925926 0.74074074],0
d4,1,0.698535,0.15,[54 10] ; [26  6],[53.33333333 10.66666667] ; [26.66666667  5.33333333],0
s6,1,0.713675,0.134634,[54  6] ; [28  4],[53.47826087  6.52173913] ; [28.52173913  3.47826087],0
v4,1,0.745333,0.105495,[61  3] ; [30  2],[60.66666667  3.33333333] ; [30.33333333  1.66666667],0
b3,1,0.771732,0.084164,[ 8 29] ; [ 5 15],[ 8.43859649 28.56140351] ; [ 4.56140351 15.43859649],0
b2,1,0.771732,0.084164,[ 8 29] ; [ 5 15],[ 8.43859649 28.56140351] ; [ 4.56140351 15.43859649],0
s7,1,0.791833,0.069659,[41 21] ; [19 11],[40.43478261 21.56521739] ; [19.56521739 10.43478261],0
n1,1,0.805803,0.06044,[5 8] ; [3 6],[4.72727273 8.27272727] ; [3.27272727 5.72727273],0
n2,1,0.962486,0.002212,[10  3] ; [7 2],[10.04545455  2.95454545] ; [6.95454545 2.04545455],0
n6,1,0.97805,0.000757,[55  8] ; [28  4],[55.04210526  7.95789474] ; [27.95789474  4.04210526],0
r3,1,0.98501,0.000353,[59  4] ; [30  2],[59.02105263  3.97894737] ; [29.97894737  2.02105263],0
s1,1,1.0,0.0,[ 4 60] ; [ 2 30],[ 4. 60.] ; [ 2. 30.],0
d3,1,1.0,0.0,[50 14] ; [25  7],[50. 14.] ; [25.  7.],0
d1,1,1.0,0.0,[44 20] ; [22 10],[44. 20.] ; [22. 10.],0
a1,1,1.0,0.0,[ 2 62] ; [ 1 31],[ 2. 62.] ; [ 1. 31.],0
r1,1,1.0,0.0,[52 12] ; [26  6],[52. 12.] ; [26.  6.],0
