Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.9e-05,16.496764,[ 2 12] ; [51 20],[8.72941176 5.27058824] ; [44.27058824 26.72941176],1
n6,1,8.4e-05,15.472934,[5 9] ; [60 11],[10.70588235  3.29411765] ; [54.29411765 16.70588235],1
v4,1,8.9e-05,15.347027,[8 6] ; [66  4],[12.33333333  1.66666667] ; [61.66666667  8.33333333],1
s3,1,0.001066,10.709441,[ 2 12] ; [44 27],[7.57647059 6.42352941] ; [38.42352941 32.57647059],0
v2,1,0.002579,9.083883,[ 4 10] ; [49 20],[8.93975904 5.06024096] ; [44.06024096 24.93975904],0
p11,1,0.005566,7.685623,[6 8] ; [56 15],[10.21176471  3.78823529] ; [51.78823529 19.21176471],0
s8,1,0.012617,6.22197,[ 1 13] ; [30 41],[5.10588235 8.89411765] ; [25.89411765 45.10588235],0
n4,1,0.018307,5.566489,[6 8] ; [53 18],[9.71764706 4.28235294] ; [49.28235294 21.71764706],0
s6,1,0.030206,4.697525,[6 8] ; [48 18],[9.45 4.55] ; [44.55 21.45],0
b1,1,0.045626,3.995361,[10  4] ; [30 41],[6.58823529 7.41176471] ; [33.41176471 37.58823529],0
d5,1,0.062125,3.479725,[8 6] ; [57 14],[10.70588235  3.29411765] ; [54.29411765 16.70588235],0
p3,1,0.066073,3.377987,[5 9] ; [43 26],[8.09638554 5.90361446] ; [39.90361446 29.09638554],0
p2,1,0.066798,3.36,[8 6] ; [56 14],[10.66666667  3.33333333] ; [53.33333333 16.66666667],0
p10,1,0.121402,2.399135,[9 5] ; [57 12],[11.13253012  2.86746988] ; [54.86746988 14.13253012],0
a1,1,0.143705,2.137827,[ 2 12] ; [ 3 68],[ 0.82352941 13.17647059] ; [ 4.17647059 66.82352941],0
n5,1,0.145436,2.119477,[8 6] ; [54 17],[10.21176471  3.78823529] ; [51.78823529 19.21176471],0
d1,1,0.154957,2.022761,[ 4 10] ; [35 36],[6.42352941 7.57647059] ; [32.57647059 38.42352941],0
b2,1,0.178063,1.813715,[4 3] ; [14 31],[2.42307692 4.57692308] ; [15.57692308 29.42307692],0
b3,1,0.178063,1.813715,[4 3] ; [14 31],[2.42307692 4.57692308] ; [15.57692308 29.42307692],0
s2,1,0.188504,1.72927,[5 9] ; [39 32],[7.24705882 6.75294118] ; [36.75294118 34.24705882],0
d4,1,0.189183,1.723968,[9 5] ; [57 14],[10.87058824  3.12941176] ; [55.12941176 15.87058824],0
d2,1,0.200772,1.636753,[ 3 11] ; [28 43],[5.10588235 8.89411765] ; [25.89411765 45.10588235],0
p6,1,0.217401,1.521444,[ 3 11] ; [26 41],[5.01234568 8.98765432] ; [23.98765432 43.01234568],0
s7,1,0.245769,1.347195,[ 4 10] ; [30 36],[5.95 8.05] ; [28.05 37.95],0
r2,1,0.262832,1.253777,[10  4] ; [58 11],[11.46987952  2.53012048] ; [56.53012048 12.46987952],0
p5,1,0.353849,0.859607,[ 1 13] ; [12 59],[ 2.14117647 11.85882353] ; [10.85882353 60.14117647],0
p4,1,0.426451,0.632471,[7 7] ; [43 27],[8.33333333 5.66666667] ; [41.66666667 28.33333333],0
v3,1,0.464275,0.53557,[5 9] ; [32 37],[6.24096386 7.75903614] ; [30.75903614 38.24096386],0
p9,1,0.485332,0.486858,[11  3] ; [61 10],[11.85882353  2.14117647] ; [60.14117647 10.85882353],0
p1,1,0.494375,0.46699,[ 2 12] ; [ 6 65],[ 1.31764706 12.68235294] ; [ 6.68235294 64.31764706],0
n3,1,0.504036,0.446429,[3 1] ; [12  9],[2.4 1.6] ; [12.6  8.4],0
p7,1,0.554113,0.35,[7 7] ; [41 29],[8. 6.] ; [40. 30.],0
u2,1,0.570454,0.321923,[2 3] ; [14 12],[2.58064516 2.41935484] ; [13.41935484 12.58064516],0
b5,1,0.586999,0.295056,[8 6] ; [46 25],[8.89411765 5.10588235] ; [45.10588235 25.89411765],0
a2,1,0.622739,0.242037,[ 2 12] ; [ 7 64],[ 1.48235294 12.51764706] ; [ 7.51764706 63.48235294],0
s4,1,0.634606,0.225866,[ 2 12] ; [14 57],[ 2.63529412 11.36470588] ; [13.36470588 57.63529412],0
a6,1,0.659478,0.194158,[8 6] ; [36 35],[7.24705882 6.75294118] ; [36.75294118 34.24705882],0
a7,1,0.659759,0.193816,[8 6] ; [45 26],[8.72941176 5.27058824] ; [44.27058824 26.72941176],0
p8,1,0.734119,0.115363,[6 8] ; [33 36],[6.57831325 7.42168675] ; [32.42168675 36.57831325],0
u3,1,0.737342,0.112476,[3 2] ; [14 13],[2.65625 2.34375] ; [14.34375 12.65625],0
s5,1,0.785123,0.074338,[ 4 10] ; [21 44],[4.43037975 9.56962025] ; [20.56962025 44.43037975],0
n1,1,0.791959,0.069573,[2 2] ; [ 9 12],[1.76 2.24] ; [ 9.24 11.76],0
d3,1,0.811288,0.057009,[8 6] ; [43 28],[8.4 5.6] ; [42.6 28.4],0
s1,1,0.826401,0.048101,[ 1 13] ; [ 4 67],[ 0.82352941 13.17647059] ; [ 4.17647059 66.82352941],0
a3,1,0.870269,0.026672,[9 5] ; [44 27],[8.72941176 5.27058824] ; [44.27058824 26.72941176],0
