Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,48.308183,[323  11] ; [43 17],[310.26395939  23.73604061] ; [55.73604061  4.26395939],1
a5,1,3e-06,21.608214,[274  60] ; [33 27],[260.24873096  73.75126904] ; [46.75126904 13.24873096],1
r2,1,6e-06,20.495299,[326   6] ; [50  8],[320.08205128  11.91794872] ; [55.91794872  2.08205128],1
v4,1,0.001045,10.745509,[324   9] ; [52  7],[319.40816327  13.59183673] ; [56.59183673  2.40816327],0
u1,1,0.002297,9.295931,[ 81 253] ; [ 4 56],[ 72.05583756 261.94416244] ; [12.94416244 47.05583756],0
a6,1,0.002612,9.060298,[232 100] ; [30 30],[221.89795918 110.10204082] ; [40.10204082 19.89795918],0
d1,1,0.003364,8.598829,[222 112] ; [28 32],[211.92893401 122.07106599] ; [38.07106599 21.92893401],0
a2,1,0.004358,8.128464,[ 98 236] ; [ 7 53],[ 89.01015228 244.98984772] ; [15.98984772 44.01015228],0
r3,1,0.005735,7.631616,[325   9] ; [53  6],[321.2519084  12.7480916] ; [56.7480916  2.2519084],0
d2,1,0.008445,6.93669,[183 149] ; [22 38],[173.62244898 158.37755102] ; [31.37755102 28.62244898],0
d3,1,0.0141,6.025539,[246  87] ; [35 25],[238.09923664  94.90076336] ; [42.90076336 17.09923664],0
a4,1,0.015598,5.847592,[172 159] ; [21 39],[163.38363171 167.61636829] ; [29.61636829 30.38363171],0
s8,1,0.017335,5.662185,[181 148] ; [23 37],[172.53470437 156.46529563] ; [31.46529563 28.53470437],0
u3,1,0.029734,4.724634,[49 27] ; [ 8 13],[44.65979381 31.34020619] ; [12.34020619  8.65979381],0
a3,1,0.030848,4.661411,[258  73] ; [39 21],[251.42455243  79.57544757] ; [45.57544757 14.42455243],0
a8,1,0.032216,4.586977,[ 56 236] ; [ 4 51],[ 50.48991354 241.51008646] ; [ 9.51008646 45.48991354],0
a7,1,0.059315,3.556427,[245  88] ; [37 23],[238.94656489  94.05343511] ; [43.05343511 16.94656489],0
s7,1,0.060401,3.526349,[181 135] ; [24 31],[174.60916442 141.39083558] ; [30.39083558 24.60916442],0
