Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.392223,[47 29] ; [83  7],[59.51807229 16.48192771] ; [70.48192771 19.51807229],1
r3,1,6e-06,20.379274,[47 29] ; [82  8],[59.06024096 16.93975904] ; [69.93975904 20.06024096],1
p7,1,0.000155,14.305046,[14 61] ; [42 48],[25.45454545 49.54545455] ; [30.54545455 59.45454545],1
p9,1,0.000647,11.636267,[13 61] ; [37 50],[22.98136646 51.01863354] ; [27.01863354 59.98136646],1
r4,1,0.000678,11.549012,[42 35] ; [72 19],[52.25 24.75] ; [61.75 29.25],1
s1,1,0.001757,9.787602,[10 66] ; [ 1 90],[ 5.00598802 70.99401198] ; [ 5.99401198 85.00598802],0
p4,1,0.001961,9.585378,[15 62] ; [38 53],[24.29166667 52.70833333] ; [28.70833333 62.29166667],0
p8,1,0.003095,8.750327,[ 8 68] ; [26 63],[15.66060606 60.33939394] ; [18.33939394 70.66060606],0
p3,1,0.011605,6.37024,[13 64] ; [31 60],[20.16666667 56.83333333] ; [23.83333333 67.16666667],0
p11,1,0.013541,6.097066,[26 51] ; [48 43],[33.91666667 43.08333333] ; [40.08333333 50.91666667],0
a1,1,0.019171,5.485821,[10 67] ; [ 3 88],[ 5.95833333 71.04166667] ; [ 7.04166667 83.95833333],0
s3,1,0.034227,4.483341,[24 51] ; [43 46],[30.6402439 44.3597561] ; [36.3597561 52.6402439],0
s8,1,0.050691,3.818462,[ 9 68] ; [21 69],[13.83233533 63.16766467] ; [16.16766467 73.83233533],0
r1,1,0.054102,3.709544,[45 31] ; [66 24],[50.81927711 25.18072289] ; [60.18072289 29.81927711],0
a7,1,0.063065,3.454895,[39 37] ; [59 31],[44.86746988 31.13253012] ; [53.13253012 36.86746988],0
b5,1,0.065742,3.386261,[40 37] ; [60 31],[45.83333333 31.16666667] ; [54.16666667 36.83333333],0
n3,1,0.074755,3.175393,[16 18] ; [22 10],[19.57575758 14.42424242] ; [18.42424242 13.57575758],0
b1,1,0.098224,2.734139,[42 35] ; [38 53],[36.66666667 40.33333333] ; [43.33333333 47.66666667],0
a6,1,0.100558,2.696673,[38 38] ; [57 34],[43.23353293 32.76646707] ; [51.76646707 39.23353293],0
v1,1,0.102829,2.66111,[22 54] ; [37 53],[27.01204819 48.98795181] ; [31.98795181 58.01204819],0
n2,1,0.112837,2.514034,[18 19] ; [21 10],[21.22058824 15.77941176] ; [17.77941176 13.22058824],0
b2,1,0.119642,2.422006,[17 33] ; [12 46],[13.42592593 36.57407407] ; [15.57407407 42.42592593],0
