Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,61.584906,[81 21] ; [25 77],[53. 49.] ; [53. 49.],1
s6,1,0.0,50.255532,[87 12] ; [41 62],[62.73267327 36.26732673] ; [65.26732673 37.73267327],1
s7,1,0.0,46.250454,[65 26] ; [22 77],[41.66842105 49.33157895] ; [45.33157895 53.66842105],1
s8,1,0.0,35.608388,[59 43] ; [18 85],[38.31219512 63.68780488] ; [38.68780488 64.31219512],1
s5,1,1e-06,23.509669,[46 47] ; [17 84],[30.20103093 62.79896907] ; [32.79896907 68.20103093],1
p9,1,3e-06,22.071964,[79 18] ; [49 50],[63.34693878 33.65306122] ; [64.65306122 34.34693878],1
r3,1,0.000135,14.568727,[96  4] ; [81 23],[86.76470588 13.23529412] ; [90.23529412 13.76470588],1
r4,1,0.000245,13.451219,[93  9] ; [74 30],[82.68932039 19.31067961] ; [84.31067961 19.68932039],1
p10,1,0.000503,12.106026,[67 30] ; [45 56],[54.86868687 42.13131313] ; [57.13131313 43.86868687],1
p4,1,0.000697,11.497233,[58 43] ; [34 67],[46. 55.] ; [46. 55.],1
s4,1,0.003278,8.645856,[31 71] ; [14 90],[22.2815534 79.7184466] ; [22.7184466 81.2815534],0
v2,1,0.003952,8.305535,[55 41] ; [38 65],[44.86432161 51.13567839] ; [48.13567839 54.86432161],0
p6,1,0.004794,7.955505,[39 61] ; [21 80],[29.85074627 70.14925373] ; [30.14925373 70.85074627],0
p2,1,0.005791,7.614107,[78 23] ; [61 42],[68.81862745 32.18137255] ; [70.18137255 32.81862745],0
r2,1,0.006306,7.460809,[99  2] ; [91 12],[94.06862745  6.93137255] ; [95.93137255  7.06862745],0
v1,1,0.007661,7.11117,[53 48] ; [35 68],[43.56862745 57.43137255] ; [44.43137255 58.56862745],0
p1,1,0.007701,7.101798,[13 88] ; [  3 101],[ 7.88292683 93.11707317] ; [ 8.11707317 95.88292683],0
u1,1,0.008469,6.931563,[25 77] ; [11 93],[17.82524272 84.17475728] ; [18.17475728 85.82524272],0
n2,1,0.032885,4.551781,[29  7] ; [25 18],[24.60759494 11.39240506] ; [29.39240506 13.60759494],0
d3,1,0.036499,4.373653,[74 26] ; [62 41],[66.99507389 33.00492611] ; [69.00492611 33.99507389],0
n3,1,0.051454,3.793419,[29  7] ; [24 16],[25.10526316 10.89473684] ; [27.89473684 12.10526316],0
r1,1,0.064887,3.407845,[81 20] ; [71 32],[75.25490196 25.74509804] ; [76.74509804 26.25490196],0
d2,1,0.080584,3.053077,[57 44] ; [46 58],[50.74634146 50.25365854] ; [52.25365854 51.74634146],0
d4,1,0.111438,2.533715,[84 17] ; [77 27],[79.32195122 21.67804878] ; [81.67804878 22.32195122],0
u3,1,0.135979,2.22288,[20 10] ; [19 20],[16.95652174 13.04347826] ; [22.04347826 16.95652174],0
d1,1,0.15895,1.984183,[60 42] ; [51 53],[54.96116505 47.03883495] ; [56.03883495 47.96116505],0
a7,1,0.161394,1.961115,[76 25] ; [69 35],[71.43902439 29.56097561] ; [73.56097561 30.43902439],0
p12,1,0.163896,1.937906,[ 4 96] ; [  1 102],[ 2.46305419 97.53694581] ; [  2.53694581 100.46305419],0
d5,1,0.203126,1.619752,[84 16] ; [80 24],[80.39215686 19.60784314] ; [83.60784314 20.39215686],0
p3,1,0.285779,1.139402,[42 59] ; [35 67],[38.31034483 62.68965517] ; [38.68965517 63.31034483],0
a4,1,0.295363,1.095013,[49 53] ; [42 61],[45.27804878 56.72195122] ; [45.72195122 57.27804878],0
u2,1,0.357021,0.848343,[16 14] ; [16 22],[14.11764706 15.88235294] ; [17.88235294 20.11764706],0
a5,1,0.359436,0.839864,[69 33] ; [64 40],[65.85436893 36.14563107] ; [67.14563107 36.85436893],0
a2,1,0.370209,0.802964,[27 75] ; [22 82],[24.26213592 77.73786408] ; [24.73786408 79.26213592],0
v3,1,0.390196,0.73833,[35 62] ; [30 69],[32.16836735 64.83163265] ; [32.83163265 66.16836735],0
a8,1,0.394632,0.724621,[11 79] ; [ 8 87],[ 9.24324324 80.75675676] ; [ 9.75675676 85.24324324],0
p7,1,0.398274,0.713531,[51 48] ; [46 55],[48.015 50.985] ; [48.985 52.015],0
p5,1,0.409519,0.680197,[ 9 92] ; [ 6 96],[ 7.46305419 93.53694581] ; [ 7.53694581 94.46305419],0
b4,1,0.474151,0.512286,[59 43] ; [55 49],[56.44660194 45.55339806] ; [57.55339806 46.44660194],0
b1,1,0.483227,0.491572,[55 47] ; [51 53],[52.48543689 49.51456311] ; [53.51456311 50.48543689],0
s1,1,0.494367,0.467008,[ 7 92] ; [ 5 99],[ 5.85221675 93.14778325] ; [ 6.14778325 97.85221675],0
a1,1,0.49657,0.462259,[ 6 96] ; [  4 100],[ 4.95145631 97.04854369] ; [ 5.04854369 98.95145631],0
a3,1,0.519159,0.415563,[70 32] ; [65 36],[67.83251232 34.16748768] ; [67.16748768 33.83251232],0
n4,1,0.52504,0.403982,[63 37] ; [61 43],[60.78431373 39.21568627] ; [63.21568627 40.78431373],0
n6,1,0.544584,0.367109,[74 26] ; [73 31],[72.05882353 27.94117647] ; [74.94117647 29.05882353],0
a6,1,0.585731,0.297061,[63 38] ; [61 43],[61.09268293 39.90731707] ; [62.90731707 41.09268293],0
b2,1,0.616922,0.250217,[16 34] ; [14 37],[14.85148515 35.14851485] ; [15.14851485 35.85148515],0
b3,1,0.616922,0.250217,[16 34] ; [14 37],[14.85148515 35.14851485] ; [15.14851485 35.85148515],0
b5,1,0.804391,0.061339,[66 36] ; [69 35],[66.84466019 35.15533981] ; [68.15533981 35.84466019],0
n5,1,0.839875,0.040826,[61 39] ; [62 42],[60.29411765 39.70588235] ; [62.70588235 41.29411765],0
p8,1,0.843398,0.039025,[33 67] ; [35 67],[33.66336634 66.33663366] ; [34.33663366 67.66336634],0
n1,1,0.990294,0.000148,[14 22] ; [16 25],[14.02597403 21.97402597] ; [15.97402597 25.02597403],0
