Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.8e-05,17.524036,[ 5 39] ; [17 13],[13.08108108 30.91891892] ; [ 8.91891892 21.08108108],1
p8,1,6.5e-05,15.945309,[ 3 42] ; [13 15],[ 9.8630137 35.1369863] ; [ 6.1369863 21.8630137],1
a4,1,0.000664,11.586045,[21 23] ; [ 3 27],[14.27027027 29.72972973] ; [ 9.72972973 20.27027027],1
b3,1,0.003732,8.409618,[14 17] ; [ 1 17],[ 9.48979592 21.51020408] ; [ 5.51020408 12.48979592],0
b2,1,0.003732,8.409618,[14 17] ; [ 1 17],[ 9.48979592 21.51020408] ; [ 5.51020408 12.48979592],0
s3,1,0.010627,6.526711,[10 34] ; [15 14],[15.06849315 28.93150685] ; [ 9.93150685 19.06849315],0
r4,1,0.012419,6.25,[10 35] ; [15 15],[15. 30.] ; [10. 20.],0
p2,1,0.014225,6.009957,[17 28] ; [20 10],[22.2 22.8] ; [14.8 15.2],0
p4,1,0.028824,4.778098,[12 33] ; [15 14],[16.41891892 28.58108108] ; [10.58108108 18.41891892],0
d1,1,0.029318,4.748823,[20 25] ; [ 6 24],[15.6 29.4] ; [10.4 19.6],0
n5,1,0.058782,3.571429,[28 17] ; [12 18],[24. 21.] ; [16. 14.],0
a1,1,0.059316,3.556397,[ 8 37] ; [ 1 29],[ 5.4 39.6] ; [ 3.6 26.4],0
a3,1,0.079029,3.084751,[28 17] ; [12 17],[24.32432432 20.67567568] ; [15.67567568 13.32432432],0
n3,1,0.096108,2.76897,[12 11] ; [9 2],[14.20588235  8.79411765] ; [6.79411765 4.20588235],0
n4,1,0.107441,2.591463,[28 17] ; [13 17],[24.6 20.4] ; [16.4 13.6],0
r3,1,0.118911,2.431611,[25 20] ; [22  8],[28.2 16.8] ; [18.8 11.2],0
d5,1,0.127263,2.325581,[29 16] ; [14 16],[25.8 19.2] ; [17.2 12.8],0
d2,1,0.130425,2.287437,[24 20] ; [11 19],[20.81081081 23.18918919] ; [14.18918919 15.81081081],0
u2,1,0.15115,2.060606,[ 4 13] ; [8 9],[ 6. 11.] ; [ 6. 11.],0
d3,1,0.186818,1.742532,[25 20] ; [12 18],[22.2 22.8] ; [14.8 15.2],0
v4,1,0.188936,1.725899,[28 17] ; [23  7],[30.6 14.4] ; [20.4  9.6],0
s5,1,0.29454,1.098754,[ 5 38] ; [ 6 23],[ 6.56944444 36.43055556] ; [ 4.43055556 24.56944444],0
a5,1,0.29619,1.09127,[22 23] ; [11 19],[19.8 25.2] ; [13.2 16.8],0
n1,1,0.29627,1.090909,[ 6 16] ; [5 6],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
s6,1,0.317311,1.0,[13 32] ; [12 18],[15. 30.] ; [10. 20.],0
a8,1,0.320522,0.986815,[ 4 39] ; [ 1 29],[ 2.94520548 40.05479452] ; [ 2.05479452 27.94520548],0
p6,1,0.325939,0.964965,[ 8 35] ; [ 8 20],[ 9.69014085 33.30985915] ; [ 6.30985915 21.69014085],0
a6,1,0.344704,0.892857,[26 19] ; [14 16],[24. 21.] ; [16. 14.],0
p1,1,0.344704,0.892857,[ 4 41] ; [ 1 29],[ 3. 42.] ; [ 2. 28.],0
v3,1,0.462466,0.539919,[11 34] ; [ 5 24],[ 9.72972973 35.27027027] ; [ 6.27027027 22.72972973],0
s8,1,0.488074,0.480769,[ 5 40] ; [ 5 25],[ 6. 39.] ; [ 4. 26.],0
d4,1,0.498024,0.459145,[29 16] ; [17 13],[27.6 17.4] ; [18.4 11.6],0
s2,1,0.499316,0.456389,[ 9 36] ; [ 8 22],[10.2 34.8] ; [ 6.8 23.2],0
u3,1,0.521075,0.411765,[ 4 13] ; [ 6 12],[ 4.85714286 12.14285714] ; [ 5.14285714 12.85714286],0
n6,1,0.546514,0.363599,[28 17] ; [16 13],[26.75675676 18.24324324] ; [17.24324324 11.75675676],0
p11,1,0.558709,0.341945,[18 27] ; [10 20],[16.8 28.2] ; [11.2 18.8],0
s7,1,0.593412,0.285048,[11 31] ; [ 6 23],[10.05633803 31.94366197] ; [ 6.94366197 22.05633803],0
b5,1,0.630428,0.231481,[26 19] ; [19 11],[27. 18.] ; [18. 12.],0
r2,1,0.678339,0.172002,[26 16] ; [20 10],[26.83333333 15.16666667] ; [19.16666667 10.83333333],0
s1,1,0.691962,0.15697,[ 2 42] ; [ 2 28],[ 2.37837838 41.62162162] ; [ 1.62162162 28.37837838],0
n2,1,0.693329,0.155505,[13 10] ; [7 4],[13.52941176  9.47058824] ; [6.47058824 4.52941176],0
b1,1,0.704043,0.1443,[26 19] ; [16 14],[25.2 19.8] ; [16.8 13.2],0
p9,1,0.769603,0.085787,[14 28] ; [11 19],[14.58333333 27.41666667] ; [10.41666667 19.58333333],0
p12,1,0.769826,0.085616,[ 1 44] ; [ 1 29],[ 1.2 43.8] ; [ 0.8 29.2],0
a7,1,0.924067,0.009084,[19 26] ; [13 17],[19.2 25.8] ; [12.8 17.2],0
b4,1,0.924879,0.00889,[23 22] ; [15 15],[22.8 22.2] ; [15.2 14.8],0
v1,1,0.931116,0.007472,[10 33] ; [ 7 22],[10.15277778 32.84722222] ; [ 6.84722222 22.15277778],0
v2,1,0.946065,0.004576,[15 29] ; [10 20],[14.86486486 29.13513514] ; [10.13513514 19.86486486],0
s4,1,1.0,0.0,[ 9 36] ; [ 6 24],[ 9. 36.] ; [ 6. 24.],0
