Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,150.363649,[341  53] ; [ 60 109],[280.62877442 113.37122558] ; [120.37122558  48.62877442],1
n6,1,0.0,58.307745,[347  47] ; [101  68],[313.52042629  80.47957371] ; [134.47957371  34.52042629],1
p10,1,1e-05,19.501834,[317  76] ; [104  61],[296.51075269  96.48924731] ; [124.48924731  40.51075269],1
a2,1,5.6e-05,16.237563,[105 290] ; [ 19 150],[ 86.84397163 308.15602837] ; [ 37.15602837 131.84397163],1
v1,1,9.2e-05,15.290344,[201 181] ; [ 56 107],[180.13577982 201.86422018] ; [76.86422018 86.13577982],1
s7,1,0.000195,13.874047,[171 206] ; [ 45 115],[151.6424581 225.3575419] ; [64.3575419 95.6424581],1
p11,1,0.000294,13.106654,[310  85] ; [108  61],[292.74822695 102.25177305] ; [125.25177305  43.74822695],1
p4,1,0.000557,11.91446,[197 196] ; [ 58 111],[178.31850534 214.68149466] ; [76.68149466 92.31850534],1
a5,1,0.000821,11.192812,[296  99] ; [103  66],[279.44148936 115.55851064] ; [119.55851064  49.44148936],1
p9,1,0.002669,9.020921,[317  73] ; [115  50],[303.56756757  86.43243243] ; [128.43243243  36.56756757],0
a4,1,0.003837,8.359224,[179 213] ; [ 55 114],[163.50802139 228.49197861] ; [70.49197861 98.50802139],0
a8,1,0.003852,8.352224,[ 54 307] ; [  9 145],[ 44.16116505 316.83883495] ; [ 18.83883495 135.16116505],0
p3,1,0.003905,8.327511,[172 221] ; [ 52 117],[156.6405694 236.3594306] ; [ 67.3594306 101.6405694],0
u1,1,0.003928,8.316793,[ 70 325] ; [ 14 155],[ 58.82978723 336.17021277] ; [ 25.17021277 143.82978723],0
s6,1,0.005928,7.572042,[251 138] ; [87 80],[236.47841727 152.52158273] ; [101.52158273  65.47841727],0
s8,1,0.006186,7.495165,[154 238] ; [ 46 123],[139.75044563 252.24955437] ; [ 60.24955437 108.75044563],0
