Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000144,14.454015,[4 1] ; [ 6 45],[0.89285714 4.10714286] ; [ 9.10714286 41.89285714],1
p4,1,0.004316,8.145989,[4 1] ; [11 41],[1.31578947 3.68421053] ; [13.68421053 38.31578947],0
p8,1,0.004868,7.927665,[4 1] ; [11 40],[1.33928571 3.66071429] ; [13.66071429 37.33928571],0
p12,1,0.033847,4.502426,[1 4] ; [ 1 52],[0.17241379 4.82758621] ; [ 1.82758621 51.17241379],0
u1,1,0.033847,4.502426,[1 4] ; [ 1 52],[0.17241379 4.82758621] ; [ 1.82758621 51.17241379],0
p5,1,0.051373,3.796078,[2 3] ; [ 5 46],[0.625 4.375] ; [ 6.375 44.625],0
s7,1,0.06737,3.34596,[2 2] ; [ 7 42],[0.67924528 3.32075472] ; [ 8.32075472 40.67924528],0
p10,1,0.072359,3.228671,[4 1] ; [20 32],[2.10526316 2.89473684] ; [21.89473684 30.10526316],0
s4,1,0.075442,3.160453,[2 3] ; [ 6 47],[0.68965517 4.31034483] ; [ 7.31034483 45.68965517],0
n3,1,0.159657,1.977476,[3 1] ; [11 18],[1.6969697 2.3030303] ; [12.3030303 16.6969697],0
v3,1,0.276574,1.183846,[2 3] ; [10 42],[1.05263158 3.94736842] ; [10.94736842 41.05263158],0
n2,1,0.287065,1.133333,[3 1] ; [14 16],[2. 2.] ; [15. 15.],0
d5,1,0.309915,1.03104,[4 1] ; [30 23],[2.93103448 2.06896552] ; [31.06896552 21.93103448],0
b4,1,0.37649,0.782131,[2 3] ; [32 21],[2.93103448 2.06896552] ; [31.06896552 21.93103448],0
n4,1,0.37649,0.782131,[2 3] ; [32 21],[2.93103448 2.06896552] ; [31.06896552 21.93103448],0
p3,1,0.401097,0.705035,[2 3] ; [12 40],[1.22807018 3.77192982] ; [12.77192982 39.22807018],0
r1,1,0.424809,0.636972,[3 2] ; [22 31],[2.15517241 2.84482759] ; [22.84482759 30.15517241],0
d4,1,0.424809,0.636972,[2 3] ; [31 22],[2.84482759 2.15517241] ; [30.15517241 22.84482759],0
n6,1,0.446365,0.579865,[3 2] ; [22 30],[2.19298246 2.80701754] ; [22.80701754 29.19298246],0
v1,1,0.450094,0.570414,[2 3] ; [13 40],[1.29310345 3.70689655] ; [13.70689655 39.29310345],0
p9,1,0.462433,0.54,[3 2] ; [21 28],[2.22222222 2.77777778] ; [21.77777778 27.22222222],0
u3,1,0.470027,0.521912,[1 1] ; [ 6 17],[0.56 1.44] ; [ 6.44 16.56],0
d3,1,0.528265,0.397728,[3 2] ; [24 29],[2.32758621 2.67241379] ; [24.67241379 28.32758621],0
r4,1,0.569025,0.324317,[1 4] ; [ 6 47],[0.60344828 4.39655172] ; [ 6.39655172 46.60344828],0
a2,1,0.569025,0.324317,[1 4] ; [ 6 47],[0.60344828 4.39655172] ; [ 6.39655172 46.60344828],0
p11,1,0.582776,0.301768,[2 3] ; [15 38],[1.46551724 3.53448276] ; [15.53448276 37.46551724],0
b2,1,0.616573,0.250714,[2 2] ; [13 22],[1.53846154 2.46153846] ; [13.46153846 21.53846154],0
b3,1,0.616573,0.250714,[2 2] ; [13 22],[1.53846154 2.46153846] ; [13.46153846 21.53846154],0
s5,1,0.673719,0.177283,[1 4] ; [ 7 46],[0.68965517 4.31034483] ; [ 7.31034483 45.68965517],0
a5,1,0.698458,0.150081,[3 2] ; [27 26],[2.5862069 2.4137931] ; [27.4137931 25.5862069],0
a6,1,0.758658,0.094398,[2 3] ; [25 28],[2.32758621 2.67241379] ; [24.67241379 28.32758621],0
r2,1,0.763822,0.09028,[3 2] ; [34 17],[3.30357143 1.69642857] ; [33.69642857 17.30357143],0
d1,1,0.78599,0.073724,[2 3] ; [18 35],[1.72413793 3.27586207] ; [18.27586207 34.72413793],0
a7,1,0.82037,0.05156,[2 3] ; [24 29],[2.24137931 2.75862069] ; [23.75862069 29.24137931],0
a4,1,0.834,0.043922,[2 3] ; [18 33],[1.78571429 3.21428571] ; [18.21428571 32.78571429],0
d2,1,0.855508,0.033159,[2 3] ; [23 29],[2.19298246 2.80701754] ; [22.80701754 29.19298246],0
s6,1,0.875546,0.024529,[1 4] ; [12 40],[1.14035088 3.85964912] ; [11.85964912 40.14035088],0
n1,1,0.900158,0.015741,[2 2] ; [14 16],[1.88235294 2.11764706] ; [14.11764706 15.88235294],0
b5,1,0.947768,0.004292,[2 3] ; [22 31],[2.06896552 2.93103448] ; [21.93103448 31.06896552],0
a3,1,0.959302,0.002604,[3 2] ; [30 21],[2.94642857 2.05357143] ; [30.05357143 20.94642857],0
