Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002774,8.950356,[42 28] ; [19 38],[33.62204724 36.37795276] ; [27.37795276 29.62204724],0
p7,1,0.003587,8.481864,[44 24] ; [22 35],[35.904 32.096] ; [30.096 26.904],0
p10,1,0.005081,7.850376,[49 19] ; [26 29],[41.46341463 26.53658537] ; [33.53658537 21.46341463],0
d5,1,0.006584,7.383014,[35 35] ; [15 42],[27.55905512 42.44094488] ; [22.44094488 34.55905512],0
d3,1,0.007744,7.091679,[24 45] ; [ 8 49],[17.52380952 51.47619048] ; [14.47619048 42.52380952],0
r1,1,0.010877,6.485365,[47 22] ; [26 31],[39.97619048 29.02380952] ; [33.02380952 23.97619048],0
a3,1,0.0117,6.355729,[38 30] ; [19 38],[31.008 36.992] ; [25.992 31.008],0
p3,1,0.014062,6.030284,[36 34] ; [17 40],[29.21259843 40.78740157] ; [23.78740157 33.21259843],0
p8,1,0.014596,5.964558,[36 29] ; [19 38],[29.30327869 35.69672131] ; [25.69672131 31.30327869],0
r3,1,0.020517,5.367365,[60  9] ; [40 17],[54.76190476 14.23809524] ; [45.23809524 11.76190476],0
r4,1,0.020731,5.349273,[56 14] ; [35 22],[50.15748031 19.84251969] ; [40.84251969 16.15748031],0
v2,1,0.029255,4.752566,[29 35] ; [14 40],[23.3220339 40.6779661] ; [19.6779661 34.3220339],0
a4,1,0.033412,4.524523,[21 48] ; [ 8 48],[16.008 52.992] ; [12.992 43.008],0
p9,1,0.034521,4.468714,[51 16] ; [32 23],[45.58196721 21.41803279] ; [37.41803279 17.58196721],0
a6,1,0.03504,4.443212,[45 25] ; [26 31],[39.13385827 30.86614173] ; [31.86614173 25.13385827],0
v3,1,0.039527,4.238084,[24 45] ; [10 45],[18.91935484 50.08064516] ; [15.08064516 39.91935484],0
v1,1,0.049594,3.855146,[32 35] ; [17 39],[26.69105691 40.30894309] ; [22.30894309 33.69105691],0
p2,1,0.05524,3.674829,[55 15] ; [36 21],[50.15748031 19.84251969] ; [40.84251969 16.15748031],0
a2,1,0.062471,3.470546,[ 9 61] ; [ 2 55],[ 6.06299213 63.93700787] ; [ 4.93700787 52.06299213],0
p4,1,0.07153,3.247547,[37 33] ; [21 36],[31.96850394 38.03149606] ; [26.03149606 30.96850394],0
b1,1,0.120272,2.413775,[26 44] ; [29 28],[30.31496063 39.68503937] ; [24.68503937 32.31496063],0
u3,1,0.181563,1.784782,[16 16] ; [13 25],[13.25714286 18.74285714] ; [15.74285714 22.25714286],0
r2,1,0.214878,1.538252,[60 10] ; [44 13],[57.32283465 12.67716535] ; [46.67716535 10.32283465],0
n2,1,0.240899,1.375324,[13  4] ; [16 11],[11.20454545  5.79545455] ; [17.79545455  9.20454545],0
b4,1,0.242475,1.366146,[32 38] ; [32 25],[35.27559055 34.72440945] ; [28.72440945 28.27559055],0
u2,1,0.253391,1.304509,[17 15] ; [15 23],[14.62857143 17.37142857] ; [17.37142857 20.62857143],0
a8,1,0.29755,1.08514,[ 5 62] ; [ 7 46],[ 6.7 60.3] ; [ 5.3 47.7],0
n3,1,0.299064,1.078365,[14  3] ; [17  8],[12.54761905  4.45238095] ; [18.45238095  6.54761905],0
b5,1,0.318576,0.994783,[43 27] ; [30 27],[40.23622047 29.76377953] ; [32.76377953 24.23622047],0
b2,1,0.36584,0.817746,[11 29] ; [12 20],[12.77777778 27.22222222] ; [10.22222222 21.77777778],0
b3,1,0.36584,0.817746,[11 29] ; [12 20],[12.77777778 27.22222222] ; [10.22222222 21.77777778],0
p6,1,0.404578,0.694678,[19 49] ; [12 44],[17. 51.] ; [14. 42.],0
s7,1,0.476748,0.506293,[14 50] ; [ 9 45],[12.47457627 51.52542373] ; [10.52542373 43.47457627],0
s4,1,0.492784,0.470442,[ 6 64] ; [ 7 50],[ 7.16535433 62.83464567] ; [ 5.83464567 51.16535433],0
n1,1,0.510315,0.433421,[8 9] ; [10 17],[ 6.95454545 10.04545455] ; [11.04545455 15.95454545],0
d2,1,0.518981,0.415917,[15 55] ; [15 42],[16.53543307 53.46456693] ; [13.46456693 43.53543307],0
p1,1,0.525417,0.403246,[10 60] ; [ 6 51],[ 8.81889764 61.18110236] ; [ 7.18110236 49.81889764],0
p5,1,0.532783,0.38908,[ 5 63] ; [ 6 51],[ 5.984 62.016] ; [ 5.016 51.984],0
n6,1,0.562844,0.334804,[50 20] ; [38 19],[48.50393701 21.49606299] ; [39.49606299 17.50393701],0
v4,1,0.608408,0.2625,[61  9] ; [47  9],[60. 10.] ; [48.  8.],0
n4,1,0.681009,0.168992,[48 22] ; [41 16],[49.05511811 20.94488189] ; [39.94488189 17.05511811],0
p11,1,0.687513,0.161791,[49 21] ; [38 19],[47.95275591 22.04724409] ; [39.04724409 17.95275591],0
s6,1,0.694973,0.153755,[27 42] ; [20 36],[25.944 43.056] ; [21.056 34.944],0
s5,1,0.717276,0.131118,[ 9 60] ; [ 6 49],[ 8.34677419 60.65322581] ; [ 6.65322581 48.34677419],0
n5,1,0.741447,0.108859,[51 19] ; [43 14],[51.81102362 18.18897638] ; [42.18897638 14.81102362],0
p12,1,0.779764,0.078191,[ 4 65] ; [ 4 53],[ 4.38095238 64.61904762] ; [ 3.61904762 53.38095238],0
s3,1,0.784352,0.074885,[17 52] ; [15 41],[17.664 51.336] ; [14.336 41.664],0
s1,1,0.792925,0.068913,[ 3 66] ; [ 3 53],[ 3.312 65.688] ; [ 2.688 53.312],0
a1,1,0.796227,0.066684,[ 3 67] ; [ 3 54],[ 3.30708661 66.69291339] ; [ 2.69291339 54.30708661],0
s8,1,0.851231,0.035174,[13 56] ; [10 47],[12.5952381 56.4047619] ; [10.4047619 46.5952381],0
