Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.417464,[108  31] ; [ 6 24],[93.76331361 45.23668639] ; [20.23668639  9.76331361],1
v4,1,2.4e-05,17.860324,[119  18] ; [16 14],[110.74850299  26.25149701] ; [24.25149701  5.74850299],1
r1,1,9.1e-05,15.309974,[91 48] ; [ 8 22],[81.4260355 57.5739645] ; [17.5739645 12.4260355],1
r3,1,0.000109,14.965443,[118  21] ; [16 14],[110.21301775  28.78698225] ; [23.78698225  6.21301775],1
a5,1,0.003866,8.345786,[82 57] ; [ 9 21],[74.84615385 64.15384615] ; [16.15384615 13.84615385],0
p10,1,0.004374,8.12181,[86 50] ; [10 19],[79.12727273 56.87272727] ; [16.87272727 12.12727273],0
b1,1,0.006742,7.340378,[55 84] ; [20 10],[61.68639053 77.31360947] ; [13.31360947 16.68639053],0
d5,1,0.009513,6.723858,[91 48] ; [12 18],[84.71597633 54.28402367] ; [18.28402367 11.71597633],0
p11,1,0.009557,6.715589,[99 40] ; [14 16],[92.9408284 46.0591716] ; [20.0591716  9.9408284],0
p9,1,0.016053,5.797028,[96 41] ; [13 15],[90.5030303 46.4969697] ; [18.4969697  9.5030303],0
u3,1,0.019039,5.497916,[24 32] ; [ 2 15],[19.94520548 36.05479452] ; [ 6.05479452 10.94520548],0
n3,1,0.026917,4.896143,[33 13] ; [5 8],[29.62711864 16.37288136] ; [8.37288136 4.62711864],0
a4,1,0.02701,4.890201,[57 80] ; [ 6 24],[51.68263473 85.31736527] ; [11.31736527 18.68263473],0
n2,1,0.030083,4.704559,[37 11] ; [6 7],[33.83606557 14.16393443] ; [9.16393443 3.83606557],0
d1,1,0.050391,3.828406,[54 85] ; [ 6 24],[49.34911243 89.65088757] ; [10.65088757 19.34911243],0
a3,1,0.091718,2.843961,[83 55] ; [13 17],[78.85714286 59.14285714] ; [17.14285714 12.85714286],0
p5,1,0.104101,2.641565,[ 10 127] ; [ 5 25],[ 12.30538922 124.69461078] ; [ 2.69461078 27.30538922],0
p6,1,0.116454,2.464378,[ 31 101] ; [ 3 26],[ 27.8757764 104.1242236] ; [ 6.1242236 22.8757764],0
n1,1,0.131872,2.270333,[18 30] ; [ 2 11],[15.73770492 32.26229508] ; [4.26229508 8.73770492],0
v2,1,0.135987,2.222786,[57 77] ; [ 8 21],[53.43558282 80.56441718] ; [11.56441718 17.43558282],0
p1,1,0.142751,2.148048,[  8 131] ; [ 4 26],[  9.86982249 129.13017751] ; [ 2.13017751 27.86982249],0
d4,1,0.14375,2.137354,[93 45] ; [16 14],[89.53571429 48.46428571] ; [19.46428571 10.53571429],0
v3,1,0.152392,2.048145,[34 99] ; [ 4 26],[ 31.00613497 101.99386503] ; [ 6.99386503 23.00613497],0
s3,1,0.172693,1.85941,[56 80] ; [ 8 21],[52.75151515 83.24848485] ; [11.24848485 17.75151515],0
a6,1,0.179379,1.802759,[65 74] ; [10 20],[61.68639053 77.31360947] ; [13.31360947 16.68639053],0
d2,1,0.187073,1.74052,[59 78] ; [ 9 21],[55.78443114 81.21556886] ; [12.21556886 17.78443114],0
