Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8.2e-05,15.515767,[38  9] ; [10 18],[30.08 16.92] ; [17.92 10.08],1
s3,1,0.007925,7.050452,[36 11] ; [13 15],[30.70666667 16.29333333] ; [18.29333333  9.70666667],0
p10,1,0.009251,6.773693,[40  6] ; [17 11],[35.43243243 10.56756757] ; [21.56756757  6.43243243],0
p6,1,0.011445,6.394918,[26 18] ; [ 8 20],[20.77777778 23.22222222] ; [13.22222222 14.77777778],0
p9,1,0.035222,4.434374,[43  4] ; [19  7],[39.91780822  7.08219178] ; [22.08219178  3.91780822],0
d1,1,0.051657,3.786841,[26 21] ; [ 9 19],[21.93333333 25.06666667] ; [13.06666667 14.93333333],0
p7,1,0.056528,3.636424,[31 14] ; [13 15],[27.12328767 17.87671233] ; [16.87671233 11.12328767],0
v4,1,0.057073,3.620449,[43  3] ; [22  6],[40.40540541  5.59459459] ; [24.59459459  3.40540541],0
p3,1,0.076756,3.132278,[30 17] ; [12 16],[26.32 20.68] ; [15.68 12.32],0
p1,1,0.082965,3.005837,[ 8 39] ; [ 1 27],[ 5.64 41.36] ; [ 3.36 24.64],0
u2,1,0.096401,2.764103,[9 3] ; [4 6],[7.09090909 4.90909091] ; [5.90909091 4.09090909],0
n2,1,0.099593,2.712054,[11  5] ; [13  1],[12.8  3.2] ; [11.2  2.8],0
a5,1,0.146429,2.109058,[33 14] ; [15 13],[30.08 16.92] ; [17.92 10.08],0
p2,1,0.152039,2.051672,[40  7] ; [20  8],[37.6  9.4] ; [22.4  5.6],0
p11,1,0.152039,2.051672,[40  7] ; [20  8],[37.6  9.4] ; [22.4  5.6],0
v3,1,0.240097,1.380027,[20 26] ; [ 8 19],[17.64383562 28.35616438] ; [10.35616438 16.64383562],0
s4,1,0.296482,1.089951,[13 34] ; [11 17],[15.04 31.96] ; [ 8.96 19.04],0
d4,1,0.345821,0.888734,[38  9] ; [20  8],[36.34666667 10.65333333] ; [21.65333333  6.34666667],0
n6,1,0.345821,0.888734,[38  9] ; [20  8],[36.34666667 10.65333333] ; [21.65333333  6.34666667],0
a3,1,0.348849,0.87764,[35 12] ; [18 10],[33.21333333 13.78666667] ; [19.78666667  8.21333333],0
p4,1,0.38041,0.769377,[30 17] ; [15 13],[28.2 18.8] ; [16.8 11.2],0
a1,1,0.406859,0.687961,[ 4 43] ; [ 1 27],[ 3.13333333 43.86666667] ; [ 1.86666667 26.13333333],0
s6,1,0.414935,0.664615,[34 11] ; [18  9],[32.5 12.5] ; [19.5  7.5],0
p8,1,0.443888,0.58621,[23 23] ; [11 16],[21.42465753 24.57534247] ; [12.57534247 14.42465753],0
v2,1,0.492455,0.471159,[23 22] ; [12 16],[21.57534247 23.42465753] ; [13.42465753 14.57534247],0
a8,1,0.494125,0.467532,[ 4 40] ; [ 4 24],[ 4.88888889 39.11111111] ; [ 3.11111111 24.88888889],0
b4,1,0.52554,0.403007,[25 22] ; [17 11],[26.32 20.68] ; [15.68 12.32],0
n3,1,0.54393,0.368304,[11  5] ; [11  3],[11.73333333  4.26666667] ; [10.26666667  3.73333333],0
r4,1,0.565166,0.330838,[30 17] ; [16 12],[28.82666667 18.17333333] ; [17.17333333 10.82666667],0
d5,1,0.618717,0.247675,[36 11] ; [20  8],[35.09333333 11.90666667] ; [20.90666667  7.09333333],0
p12,1,0.623664,0.240752,[ 3 44] ; [ 1 26],[ 2.54054054 44.45945946] ; [ 1.45945946 25.54054054],0
r3,1,0.638237,0.221056,[42  5] ; [24  4],[41.36  5.64] ; [24.64  3.36],0
p5,1,0.662803,0.190136,[ 5 41] ; [ 4 24],[ 5.59459459 40.40540541] ; [ 3.40540541 24.59459459],0
n5,1,0.679986,0.170142,[34 13] ; [19  9],[33.21333333 13.78666667] ; [19.78666667  8.21333333],0
b2,1,0.68872,0.160474,[15 21] ; [ 8 14],[14.27586207 21.72413793] ; [ 8.72413793 13.27586207],0
b3,1,0.68872,0.160474,[15 21] ; [ 8 14],[14.27586207 21.72413793] ; [ 8.72413793 13.27586207],0
d2,1,0.696654,0.151976,[18 29] ; [12 16],[18.8 28.2] ; [11.2 16.8],0
b5,1,0.696654,0.151976,[29 18] ; [16 12],[28.2 18.8] ; [16.8 11.2],0
d3,1,0.739522,0.110548,[25 22] ; [16 12],[25.69333333 21.30666667] ; [15.30666667 12.69333333],0
u3,1,0.746188,0.104762,[8 4] ; [6 4],[7.63636364 4.36363636] ; [6.36363636 3.63636364],0
v1,1,0.755726,0.096782,[22 22] ; [12 14],[21.37142857 22.62857143] ; [12.62857143 13.37142857],0
r2,1,0.806034,0.060293,[39  4] ; [24  3],[38.7  4.3] ; [24.3  2.7],0
u1,1,0.832738,0.044602,[ 4 43] ; [ 2 26],[ 3.76 43.24] ; [ 2.24 25.76],0
n1,1,0.836687,0.042491,[8 7] ; [8 6],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
a2,1,0.851446,0.035071,[ 6 41] ; [ 4 24],[ 6.26666667 40.73333333] ; [ 3.73333333 24.26666667],0
