Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,57.013575,[ 7 28] ; [61  4],[23.8 11.2] ; [44.2 20.8],1
s7,1,3.6e-05,17.063013,[ 9 26] ; [46 21],[18.87254902 16.12745098] ; [36.12745098 30.87254902],1
s6,1,0.000123,14.744999,[20 14] ; [61  6],[27.26732673  6.73267327] ; [53.73267327 13.26732673],1
s8,1,0.001758,9.78678,[10 25] ; [41 26],[17.5 17.5] ; [33.5 33.5],0
v4,1,0.003533,8.509309,[29  6] ; [64  1],[32.55  2.45] ; [60.45  4.55],0
s4,1,0.012317,6.264612,[ 4 32] ; [22 43],[ 9.26732673 26.73267327] ; [16.73267327 48.26732673],0
p6,1,0.019164,5.486475,[ 3 32] ; [19 47],[ 7.62376238 27.37623762] ; [14.37623762 51.62376238],0
p9,1,0.02614,4.946734,[25 10] ; [57  7],[28.98989899  6.01010101] ; [53.01010101 10.98989899],0
v1,1,0.029096,4.761905,[13 22] ; [39 26],[18.2 16.8] ; [33.8 31.2],0
n2,1,0.040651,4.1905,[6 3] ; [19  1],[7.75862069 1.24137931] ; [17.24137931  2.75862069],0
v3,1,0.041499,4.155537,[ 6 30] ; [23 41],[10.44 25.56] ; [18.56 45.44],0
r4,1,0.061019,3.509472,[28  8] ; [61  6],[31.10679612  4.89320388] ; [57.89320388  9.10679612],0
v2,1,0.144616,2.128146,[16 20] ; [37 25],[19.46938776 16.53061224] ; [33.53061224 28.46938776],0
n1,1,0.159982,1.974401,[7 2] ; [10 10],[5.27586207 3.72413793] ; [11.72413793  8.27586207],0
r3,1,0.167377,1.906278,[30  5] ; [62  4],[31.88118812  3.11881188] ; [60.11881188  5.88118812],0
r1,1,0.175103,1.838704,[31  5] ; [50 17],[28.31067961  7.68932039] ; [52.68932039 14.31067961],0
p10,1,0.184754,1.758965,[26 10] ; [55 11],[28.58823529  7.41176471] ; [52.41176471 13.58823529],0
u3,1,0.192703,1.696833,[4 6] ; [13  7],[5.66666667 4.33333333] ; [11.33333333  8.66666667],0
a1,1,0.228488,1.450251,[ 3 33] ; [ 2 65],[ 1.74757282 34.25242718] ; [ 3.25242718 63.74757282],0
n3,1,0.261901,1.258681,[7 1] ; [14  7],[5.79310345 2.20689655] ; [15.20689655  5.79310345],0
p8,1,0.292646,1.107408,[11 24] ; [27 37],[13.43434343 21.56565657] ; [24.56565657 39.43434343],0
p11,1,0.303881,1.057086,[24 12] ; [51 16],[26.21359223  9.78640777] ; [48.78640777 18.21359223],0
d4,1,0.304904,1.052623,[31  4] ; [54 13],[29.16666667  5.83333333] ; [55.83333333 11.16666667],0
b4,1,0.312856,1.01858,[20 16] ; [44 23],[22.36893204 13.63106796] ; [41.63106796 25.36893204],0
p5,1,0.364581,0.82205,[ 4 32] ; [ 4 62],[ 2.82352941 33.17647059] ; [ 5.17647059 60.82352941],0
