Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.650913,[289  18] ; [35 18],[276.3  30.7] ; [47.7  5.3],1
p9,1,4e-06,21.234155,[289  17] ; [40 13],[280.42896936  25.57103064] ; [48.57103064  4.42896936],1
p8,1,0.003759,8.396488,[216  88] ; [27 26],[206.92436975  97.07563025] ; [36.07563025 16.92436975],0
n1,1,0.005675,7.650706,[16 26] ; [10  2],[20.22222222 21.77777778] ; [5.77777778 6.22222222],0
p2,1,0.009314,6.761554,[276  31] ; [41 12],[270.33055556  36.66944444] ; [46.66944444  6.33055556],0
b1,1,0.01507,5.908263,[125 183] ; [31 22],[133.09695291 174.90304709] ; [22.90304709 30.09695291],0
a5,1,0.015074,5.907787,[249  59] ; [35 18],[242.30470914  65.69529086] ; [41.69529086 11.30470914],0
r3,1,0.034681,4.46083,[296  10] ; [47  5],[293.17877095  12.82122905] ; [49.82122905  2.17877095],0
b5,1,0.038239,4.294358,[168 140] ; [37 16],[174.90304709 133.09695291] ; [30.09695291 22.90304709],0
p7,1,0.04397,4.05773,[240  65] ; [35 18],[234.2877095  70.7122905] ; [40.7122905 12.2877095],0
a6,1,0.078332,3.099182,[222  85] ; [32 21],[216.60555556  90.39444444] ; [37.39444444 15.60555556],0
p4,1,0.08105,3.043723,[262  46] ; [40 13],[257.66204986  50.33795014] ; [44.33795014  8.66204986],0
v2,1,0.097343,2.74854,[193 105] ; [28 25],[187.62962963 110.37037037] ; [33.37037037 19.62962963],0
v3,1,0.170965,1.874462,[151 147] ; [21 31],[146.44571429 151.55428571] ; [25.55428571 26.44571429],0
n6,1,0.181937,1.781734,[292  15] ; [48  5],[289.94444444  17.05555556] ; [50.05555556  2.94444444],0
v4,1,0.184296,1.76264,[295  11] ; [49  4],[293.21448468  12.78551532] ; [50.78551532  2.21448468],0
p12,1,0.278787,1.172992,[ 39 266] ; [ 4 49],[ 36.63407821 268.36592179] ; [ 6.36592179 46.63407821],0
