Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,78.251216,[102  53] ; [ 23 124],[64.15562914 90.84437086] ; [60.84437086 86.15562914],1
p6,1,0.0,37.580496,[72 83] ; [ 20 125],[ 47.53333333 107.46666667] ; [ 44.46666667 100.53333333],1
p2,1,0.0,34.084471,[138  17] ; [88 59],[115.99337748  39.00662252] ; [110.00662252  36.99337748],1
p8,1,0.0,28.160397,[93 62] ; [ 42 101],[70.21812081 84.78187919] ; [64.78187919 78.21812081],1
p7,1,0.0,26.783932,[107  48] ; [56 87],[84.78187919 70.21812081] ; [78.21812081 64.78187919],1
s6,1,1e-06,24.00515,[113  39] ; [67 77],[92.43243243 59.56756757] ; [87.56756757 56.43243243],1
s7,1,2.3e-05,17.956773,[87 61] ; [47 92],[69.1010453 78.8989547] ; [64.8989547 74.1010453],1
p5,1,0.000241,13.478281,[ 23 132] ; [  4 142],[ 13.90365449 141.09634551] ; [ 13.09634551 132.90365449],1
s2,1,0.000398,12.542556,[85 70] ; [50 95],[69.75 85.25] ; [65.25 79.75],1
s5,1,0.000908,11.00581,[55 96] ; [ 27 115],[ 42.25938567 108.74061433] ; [ 39.74061433 102.25938567],1
p9,1,0.001651,9.90147,[132  24] ; [97 43],[120.68918919  35.31081081] ; [108.31081081  31.68918919],0
s3,1,0.002077,9.479926,[98 57] ; [66 79],[84.73333333 70.26666667] ; [79.26666667 65.73333333],0
n6,1,0.003274,8.648277,[141  14] ; [116  31],[131.90397351  23.09602649] ; [125.09602649  21.90397351],0
p11,1,0.003529,8.511483,[126  30] ; [97 50],[114.81188119  41.18811881] ; [108.18811881  38.81188119],0
a5,1,0.004758,7.969173,[118  38] ; [89 58],[106.57425743  49.42574257] ; [100.42574257  46.57425743],0
r3,1,0.005875,7.588113,[142  12] ; [119  27],[133.98  20.02] ; [127.02  18.98],0
p10,1,0.006297,7.463404,[125  31] ; [96 49],[114.53820598  41.46179402] ; [106.46179402  38.53820598],0
r1,1,0.008501,6.924693,[123  33] ; [96 51],[112.75247525  43.24752475] ; [106.24752475  40.75247525],0
s8,1,0.009094,6.804259,[67 88] ; [ 42 104],[56.12956811 98.87043189] ; [52.87043189 93.12956811],0
