Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,93.24674,[101  45] ; [ 27 144],[58.95268139 87.04731861] ; [ 69.04731861 101.95268139],1
d5,1,0.0,92.479913,[145   4] ; [83 88],[106.1625  42.8375] ; [121.8375  49.1625],1
d3,1,0.0,85.243638,[134  15] ; [ 68 102],[94.35109718 54.64890282] ; [107.64890282  62.35109718],1
d4,1,0.0,80.468266,[146   1] ; [97 75],[111.97805643  35.02194357] ; [131.02194357  40.97805643],1
a2,1,0.0,46.115786,[51 99] ; [  8 164],[ 27.48447205 122.51552795] ; [ 31.51552795 140.48447205],1
a4,1,0.0,45.215074,[91 58] ; [ 41 130],[61.4625 87.5375] ; [ 70.5375 100.4625],1
a5,1,0.0,35.387876,[116  34] ; [77 95],[89.9068323 60.0931677] ; [103.0931677  68.9068323],1
u1,1,1e-06,24.513474,[ 32 118] ; [  6 166],[ 17.70186335 132.29813665] ; [ 20.29813665 151.70186335],1
a6,1,1e-05,19.569451,[115  34] ; [92 80],[96.08411215 52.91588785] ; [110.91588785  61.08411215],1
a3,1,1.6e-05,18.601234,[115  35] ; [91 79],[96.5625 53.4375] ; [109.4375  60.5625],1
a7,1,0.000524,12.027441,[111  38] ; [95 75],[96.21943574 52.78056426] ; [109.78056426  60.21943574],1
p4,1,0.002271,9.316155,[65 85] ; [ 46 124],[52.03125 97.96875] ; [ 58.96875 111.03125],0
v2,1,0.002301,9.292141,[75 67] ; [ 59 107],[61.77922078 80.22077922] ; [72.22077922 93.77922078],0
r1,1,0.006851,7.311691,[111  38] ; [103  68],[99.64375 49.35625] ; [114.35625  56.64375],0
p10,1,0.023087,5.161912,[100  50] ; [91 77],[90.09433962 59.90566038] ; [100.90566038  67.09433962],0
r3,1,0.031289,4.637056,[135  14] ; [139  30],[128.3836478  20.6163522] ; [145.6163522  23.3836478],0
n2,1,0.034042,4.492611,[32 24] ; [44 14],[37.33333333 18.66666667] ; [38.66666667 19.33333333],0
n6,1,0.052955,3.745323,[115  35] ; [113  56],[107.21003135  42.78996865] ; [120.78996865  48.21003135],0
r2,1,0.057165,3.617774,[134  13] ; [142  27],[128.39240506  18.60759494] ; [147.60759494  21.39240506],0
s6,1,0.066364,3.370742,[75 74] ; [ 69 103],[66.8411215 82.1588785] ; [77.1588785 94.8411215],0
s2,1,0.076668,3.134164,[55 94] ; [ 47 123],[ 47.64263323 101.35736677] ; [ 54.35736677 115.64263323],0
s5,1,0.079631,3.07241,[ 37 109] ; [ 29 139],[ 30.68789809 115.31210191] ; [ 35.31210191 132.68789809],0
s4,1,0.108482,2.5762,[ 18 130] ; [ 32 139],[ 23.19749216 124.80250784] ; [ 26.80250784 144.19749216],0
s7,1,0.114605,2.48954,[ 38 105] ; [ 31 132],[ 32.24509804 110.75490196] ; [ 36.75490196 126.24509804],0
p9,1,0.122193,2.388987,[104  43] ; [105  63],[97.53333333 49.46666667] ; [111.46666667  56.53333333],0
a8,1,0.175756,1.833146,[ 10 125] ; [ 20 145],[ 13.5 121.5] ; [ 16.5 148.5],0
p11,1,0.201165,1.633894,[101  49] ; [104  68],[95.49689441 54.50310559] ; [109.50310559  62.49689441],0
r4,1,0.201177,1.633808,[115  35] ; [121  51],[109.9378882  40.0621118] ; [126.0621118  45.9378882],0
b3,1,0.230714,1.436455,[34 49] ; [30 63],[30.18181818 52.81818182] ; [33.81818182 59.18181818],0
b2,1,0.230714,1.436455,[34 49] ; [30 63],[30.18181818 52.81818182] ; [33.81818182 59.18181818],0
p5,1,0.279984,1.167167,[  9 140] ; [  6 166],[  6.96261682 142.03738318] ; [  8.03738318 163.96261682],0
u2,1,0.28361,1.14971,[19 15] ; [35 43],[16.39285714 17.60714286] ; [37.60714286 40.39285714],0
n4,1,0.290199,1.118697,[104  46] ; [109  62],[99.53271028 50.46728972] ; [113.46728972  57.53271028],0
b4,1,0.290819,1.115827,[95 55] ; [99 73],[90.37267081 59.62732919] ; [103.62732919  68.37267081],0
b1,1,0.360026,0.837802,[57 93] ; [74 98],[61.02484472 88.97515528] ; [ 69.97515528 102.02484472],0
a1,1,0.380194,0.770074,[  7 143] ; [ 12 160],[  8.85093168 141.14906832] ; [ 10.14906832 161.85093168],0
p12,1,0.392799,0.730258,[  6 144] ; [  4 167],[  4.6728972 145.3271028] ; [  5.3271028 165.6728972],0
u3,1,0.427608,0.62931,[19 16] ; [37 43],[17.04347826 17.95652174] ; [38.95652174 41.04347826],0
p3,1,0.477698,0.504115,[ 44 104] ; [ 45 127],[ 41.1625 106.8375] ; [ 47.8375 124.1625],0
n3,1,0.500698,0.453457,[37 19] ; [41 16],[38.65486726 17.34513274] ; [39.34513274 17.65486726],0
v3,1,0.599941,0.275085,[ 40 104] ; [ 42 125],[ 37.96784566 106.03215434] ; [ 44.03215434 122.96784566],0
v1,1,0.613665,0.254873,[60 89] ; [ 63 105],[57.81388013 91.18611987] ; [ 65.18611987 102.81388013],0
v4,1,0.642931,0.21493,[127  22] ; [140  28],[125.49842271  23.50157729] ; [141.50157729  26.49842271],0
p6,1,0.659469,0.194169,[ 25 121] ; [ 26 144],[ 23.56329114 122.43670886] ; [ 27.43670886 142.56329114],0
b5,1,0.669017,0.182754,[89 61] ; [98 74],[87.11180124 62.88819876] ; [99.88819876 72.11180124],0
s3,1,0.782356,0.076314,[64 85] ; [70 99],[62.78616352 86.21383648] ; [71.21383648 97.78616352],0
p2,1,0.807098,0.059619,[100  48] ; [114  58],[98.975 49.025] ; [115.025  56.975],0
s1,1,0.81481,0.054862,[  8 141] ; [  8 159],[  7.5443038 141.4556962] ; [  8.4556962 158.5443038],0
n1,1,0.841453,0.040014,[18 39] ; [19 38],[18.5 38.5] ; [18.5 38.5],0
n5,1,0.869848,0.026847,[96 54] ; [109  59],[96.69811321 53.30188679] ; [108.30188679  59.69811321],0
p7,1,0.930764,0.007549,[53 94] ; [ 61 106],[53.36942675 93.63057325] ; [ 60.63057325 106.36942675],0
p1,1,0.977654,0.000785,[  8 142] ; [  9 162],[  7.94392523 142.05607477] ; [  9.05607477 161.94392523],0
