Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000729,11.413575,[ 4 10] ; [25  6],[9.02222222 4.97777778] ; [19.97777778 11.02222222],1
n6,1,0.017376,5.657991,[7 7] ; [26  5],[10.26666667  3.73333333] ; [22.73333333  8.26666667],0
b5,1,0.022574,5.200996,[ 3 11] ; [18 13],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
v4,1,0.036636,4.367246,[10  3] ; [30  1],[11.81818182  1.18181818] ; [28.18181818  2.81818182],0
r3,1,0.0433,4.083658,[10  4] ; [29  2],[12.13333333  1.86666667] ; [26.86666667  4.13333333],0
p11,1,0.065864,3.383195,[7 7] ; [24  7],[9.64444444 4.35555556] ; [21.35555556  9.64444444],0
r4,1,0.098842,2.724131,[8 6] ; [25  6],[10.26666667  3.73333333] ; [22.73333333  8.26666667],0
p8,1,0.102023,2.673634,[ 4 10] ; [17 14],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
d2,1,0.111363,2.534768,[9 5] ; [12 19],[6.53333333 7.46666667] ; [14.46666667 16.53333333],0
s3,1,0.212787,1.552361,[10  4] ; [16 15],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
n1,1,0.220671,1.5,[1 3] ; [5 3],[2. 2.] ; [4. 4.],0
s4,1,0.237332,1.396369,[ 3 10] ; [ 3 28],[ 1.77272727 11.22727273] ; [ 4.22727273 26.77272727],0
n2,1,0.252244,1.310833,[3 2] ; [7 1],[3.84615385 1.15384615] ; [6.15384615 1.84615385],0
b1,1,0.25577,1.291509,[7 7] ; [21 10],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
d3,1,0.25577,1.291509,[7 7] ; [21 10],[8.71111111 5.28888889] ; [19.28888889 11.71111111],0
p4,1,0.281735,1.158699,[4 9] ; [15 16],[5.61363636 7.38636364] ; [13.38636364 17.61363636],0
r2,1,0.347008,0.884367,[11  2] ; [29  2],[11.81818182  1.18181818] ; [28.18181818  2.81818182],0
