Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.1e-05,19.36,[21 14] ; [ 59 186],[10. 25.] ; [ 70. 175.],1
s6,1,5.7e-05,16.202879,[25 10] ; [ 88 158],[14.0747331 20.9252669] ; [ 98.9252669 147.0747331],1
s8,1,0.000319,12.954331,[14 21] ; [ 37 210],[ 6.32978723 28.67021277] ; [ 44.67021277 202.32978723],1
s4,1,0.001373,10.241742,[10 23] ; [ 26 222],[ 4.22775801 28.77224199] ; [ 31.77224199 216.22775801],0
p7,1,0.001548,10.020172,[27  8] ; [120 127],[18.24468085 16.75531915] ; [128.75531915 118.24468085],0
s5,1,0.005024,7.870693,[14 21] ; [ 47 199],[ 7.59786477 27.40213523] ; [ 53.40213523 192.59786477],0
s7,1,0.007167,7.230742,[13 20] ; [ 45 193],[ 7.06273063 25.93726937] ; [ 50.93726937 187.06273063],0
a1,1,0.013364,6.120339,[ 4 31] ; [  7 242],[ 1.3556338 33.6443662] ; [  9.6443662 239.3556338],0
p8,1,0.031504,4.625312,[22 13] ; [107 139],[16.06761566 18.93238434] ; [112.93238434 133.06761566],0
r1,1,0.044669,4.031094,[18 17] ; [170  78],[23.25088339 11.74911661] ; [164.74911661  83.25088339],0
d3,1,0.058889,3.568388,[26  8] ; [148 100],[20.9787234 13.0212766] ; [153.0212766  94.9787234],0
d5,1,0.089346,2.886118,[30  4] ; [187  62],[26.07067138  7.92932862] ; [190.92932862  58.07067138],0
p3,1,0.090028,2.873865,[18 17] ; [ 91 158],[13.43309859 21.56690141] ; [ 95.56690141 153.43309859],0
p10,1,0.094247,2.800288,[28  7] ; [162  84],[23.66548043 11.33451957] ; [166.33451957  79.66548043],0
n6,1,0.095694,2.775875,[30  4] ; [187  61],[26.16312057  7.83687943] ; [190.83687943  57.16312057],0
b4,1,0.114371,2.492766,[15 20] ; [142 107],[19.34859155 15.65140845] ; [137.65140845 111.34859155],0
n3,1,0.142464,2.151141,[5 6] ; [55 26],[7.17391304 3.82608696] ; [52.82608696 28.17391304],0
v1,1,0.156392,2.008767,[18 17] ; [ 96 151],[14.14893617 20.85106383] ; [ 99.85106383 147.14893617],0
p4,1,0.162283,1.952826,[21 14] ; [118 131],[17.13028169 17.86971831] ; [121.86971831 127.13028169],0
r3,1,0.167671,1.90364,[33  2] ; [213  35],[30.42402827  4.57597173] ; [215.57597173  32.42402827],0
v4,1,0.169811,1.884608,[33  2] ; [214  35],[30.44014085  4.55985915] ; [216.55985915  32.44014085],0
s1,1,0.187281,1.73888,[ 2 33] ; [  5 243],[ 0.86572438 34.13427562] ; [  6.13427562 241.86572438],0
a5,1,0.197877,1.657977,[27  8] ; [165  84],[23.66197183 11.33802817] ; [168.33802817  80.66197183],0
v2,1,0.236485,1.401425,[17 18] ; [ 93 151],[13.79928315 21.20071685] ; [ 96.20071685 147.79928315],0
d1,1,0.241755,1.370333,[20 15] ; [116 133],[16.76056338 18.23943662] ; [119.23943662 129.76056338],0
n1,1,0.266618,1.234064,[2 9] ; [29 54],[3.62765957 7.37234043] ; [27.37234043 55.62765957],0
n4,1,0.288941,1.124549,[20 15] ; [165  84],[22.79929577 12.20070423] ; [162.20070423  86.79929577],0
u1,1,0.314214,1.012881,[ 6 29] ; [ 28 221],[ 4.19014085 30.80985915] ; [ 29.80985915 219.19014085],0
p9,1,0.336784,0.922636,[28  7] ; [175  67],[25.64981949  9.35018051] ; [177.35018051  64.64981949],0
u2,1,0.433346,0.613839,[5 9] ; [45 51],[6.36363636 7.63636364] ; [43.63636364 52.36363636],0
p1,1,0.444129,0.585592,[ 1 34] ; [ 15 233],[ 1.97879859 33.02120141] ; [ 14.02120141 233.97879859],0
p2,1,0.458229,0.550216,[28  7] ; [184  64],[26.21908127  8.78091873] ; [185.78091873  62.21908127],0
u3,1,0.472578,0.515942,[8 6] ; [45 51],[6.74545455 7.25454545] ; [46.25454545 49.74545455],0
a2,1,0.510914,0.432195,[ 5 30] ; [ 47 202],[ 6.4084507 28.5915493] ; [ 45.5915493 203.4084507],0
p5,1,0.562479,0.335431,[ 3 32] ; [ 15 234],[ 2.21830986 32.78169014] ; [ 15.78169014 233.21830986],0
d4,1,0.577472,0.31034,[27  8] ; [181  68],[25.63380282  9.36619718] ; [182.36619718  66.63380282],0
r4,1,0.593014,0.285662,[28  7] ; [189  60],[26.74295775  8.25704225] ; [190.25704225  58.74295775],0
b5,1,0.594746,0.282993,[23 12] ; [152  97],[21.56690141 13.43309859] ; [153.43309859  95.56690141],0
a4,1,0.719172,0.129288,[13 22] ; [100 148],[13.97526502 21.02473498] ; [ 99.02473498 148.97526502],0
d2,1,0.774039,0.082424,[13 22] ; [ 98 149],[13.77659574 21.22340426] ; [ 97.22340426 149.77659574],0
p11,1,0.804292,0.061403,[26  9] ; [180  69],[25.38732394  9.61267606] ; [180.61267606  68.38732394],0
r2,1,0.858269,0.03189,[30  5] ; [208  38],[29.64412811  5.35587189] ; [208.35587189  37.64412811],0
a8,1,0.864109,0.029291,[ 3 30] ; [ 23 206],[ 3.27480916 29.72519084] ; [ 22.72519084 206.27480916],0
a3,1,0.883448,0.021491,[21 14] ; [152  96],[21.39575972 13.60424028] ; [151.60424028  96.39575972],0
a6,1,0.908426,0.01323,[22 13] ; [159  90],[22.30633803 12.69366197] ; [158.69366197  90.30633803],0
b1,1,0.913502,0.011799,[14 21] ; [102 147],[14.29577465 20.70422535] ; [101.70422535 147.29577465],0
n5,1,0.919295,0.010266,[22 12] ; [162  85],[22.2633452 11.7366548] ; [161.7366548  85.2633452],0
b2,1,0.9286,0.008029,[ 7 13] ; [49 87],[ 7.17948718 12.82051282] ; [48.82051282 87.17948718],0
b3,1,0.9286,0.008029,[ 7 13] ; [49 87],[ 7.17948718 12.82051282] ; [48.82051282 87.17948718],0
a7,1,0.979033,0.000691,[23 11] ; [169  80],[23.06713781 10.93286219] ; [168.93286219  80.06713781],0
n2,1,0.98856,0.000206,[7 4] ; [52 30],[6.97849462 4.02150538] ; [52.02150538 29.97849462],0
p12,1,0.990785,0.000133,[ 1 34] ; [  7 241],[ 0.98939929 34.01060071] ; [  7.01060071 240.98939929],0
