Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.010742,6.507537,[ 1 12] ; [21 24],[4.93103448 8.06896552] ; [17.06896552 27.93103448],0
b2,1,0.010742,6.507537,[ 1 12] ; [21 24],[4.93103448 8.06896552] ; [17.06896552 27.93103448],0
s6,1,0.0115,6.386384,[11  7] ; [24 57],[ 6.36363636 11.63636364] ; [28.63636364 52.36363636],0
p2,1,0.017663,5.629236,[14  4] ; [37 42],[9.46391753 8.53608247] ; [41.53608247 37.46391753],0
d2,1,0.030425,4.685111,[11  6] ; [29 51],[7.01030928 9.98969072] ; [32.98969072 47.01030928],0
u3,1,0.032259,4.584668,[5 4] ; [ 6 25],[2.475 6.525] ; [ 8.525 22.475],0
s3,1,0.088705,2.897726,[9 8] ; [25 55],[ 5.95876289 11.04123711] ; [28.04123711 51.95876289],0
p5,1,0.095267,2.783038,[ 2 16] ; [ 2 78],[ 0.73469388 17.26530612] ; [ 3.26530612 76.73469388],0
n3,1,0.113043,2.511161,[1 4] ; [23 17],[2.66666667 2.33333333] ; [21.33333333 18.66666667],0
s2,1,0.140974,2.167297,[ 7 11] ; [18 63],[ 4.54545455 13.45454545] ; [20.45454545 60.54545455],0
d3,1,0.141637,2.160083,[12  6] ; [38 42],[9.18367347 8.81632653] ; [40.81632653 39.18367347],0
r2,1,0.162685,1.949086,[11  4] ; [42 36],[8.5483871 6.4516129] ; [44.4516129 33.5483871],0
d4,1,0.172598,1.860234,[14  3] ; [53 28],[11.62244898  5.37755102] ; [55.37755102 25.62244898],0
d1,1,0.178114,1.813288,[10  8] ; [31 50],[ 7.45454545 10.54545455] ; [33.54545455 47.45454545],0
r1,1,0.195781,1.67357,[ 8 10] ; [23 57],[ 5.69387755 12.30612245] ; [25.30612245 54.69387755],0
d5,1,0.197627,1.659821,[14  4] ; [50 31],[11.63636364  6.36363636] ; [52.36363636 28.63636364],0
v3,1,0.201963,1.628123,[ 2 16] ; [20 60],[ 4.04081633 13.95918367] ; [17.95918367 62.04081633],0
p11,1,0.212686,1.553049,[10  8] ; [32 49],[ 7.63636364 10.36363636] ; [34.36363636 46.63636364],0
v2,1,0.212768,1.552491,[9 9] ; [26 50],[ 6.70212766 11.29787234] ; [28.29787234 47.70212766],0
p1,1,0.216446,1.527778,[ 3 15] ; [ 6 75],[ 1.63636364 16.36363636] ; [ 7.36363636 73.63636364],0
a4,1,0.235584,1.406823,[9 9] ; [28 52],[ 6.79591837 11.20408163] ; [30.20408163 49.79591837],0
p4,1,0.26192,1.258581,[ 6 12] ; [17 64],[ 4.18181818 13.81818182] ; [18.81818182 62.18181818],0
b4,1,0.264821,1.243376,[13  5] ; [47 34],[10.90909091  7.09090909] ; [49.09090909 31.90909091],0
s8,1,0.276707,1.183193,[ 4 14] ; [10 71],[ 2.54545455 15.45454545] ; [11.45454545 69.54545455],0
s7,1,0.291824,1.111188,[ 6 11] ; [17 57],[ 4.2967033 12.7032967] ; [18.7032967 55.2967033],0
p3,1,0.331962,0.941231,[ 5 13] ; [14 65],[ 3.5257732 14.4742268] ; [15.4742268 63.5257732],0
a1,1,0.345389,0.890326,[ 1 17] ; [11 70],[ 2.18181818 15.81818182] ; [ 9.81818182 71.18181818],0
