Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.320868,[14  2] ; [ 5 26],[6.46808511 9.53191489] ; [12.53191489 18.46808511],1
p2,1,0.002437,9.1875,[10  6] ; [ 6 26],[ 5.33333333 10.66666667] ; [10.66666667 21.33333333],0
p11,1,0.007118,7.242857,[11  5] ; [ 9 23],[6.66666667 9.33333333] ; [13.33333333 18.66666667],0
n6,1,0.012592,6.225542,[11  4] ; [11 21],[7.0212766 7.9787234] ; [14.9787234 17.0212766],0
s3,1,0.029491,4.738724,[8 8] ; [ 6 25],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
b4,1,0.030383,4.6875,[14  2] ; [18 14],[10.66666667  5.33333333] ; [21.33333333 10.66666667],0
r3,1,0.032269,4.584132,[12  3] ; [15 17],[8.61702128 6.38297872] ; [18.38297872 13.61702128],0
b3,1,0.055153,3.677451,[7 3] ; [ 7 14],[4.51612903 5.48387097] ; [ 9.48387097 11.51612903],0
b2,1,0.055153,3.677451,[7 3] ; [ 7 14],[4.51612903 5.48387097] ; [ 9.48387097 11.51612903],0
s2,1,0.089162,2.889435,[ 6 10] ; [ 5 27],[ 3.66666667 12.33333333] ; [ 7.33333333 24.66666667],0
r1,1,0.144036,2.134301,[ 4 12] ; [15 17],[6.33333333 9.66666667] ; [12.66666667 19.33333333],0
p3,1,0.148209,2.090592,[ 4 12] ; [ 3 29],[ 2.33333333 13.66666667] ; [ 4.66666667 27.33333333],0
n1,1,0.17753,1.818182,[3 1] ; [ 6 10],[1.8 2.2] ; [7.2 8.8],0
u1,1,0.205903,1.6,[ 2 14] ; [ 1 31],[ 1. 15.] ; [ 2. 30.],0
a6,1,0.217044,1.52381,[ 5 11] ; [16 16],[7. 9.] ; [14. 18.],0
p6,1,0.217771,1.519,[ 2 14] ; [ 1 30],[ 1.0212766 14.9787234] ; [ 1.9787234 29.0212766],0
s5,1,0.228339,1.451175,[ 4 11] ; [ 4 28],[ 2.55319149 12.44680851] ; [ 5.44680851 26.55319149],0
a1,1,0.247391,1.337979,[ 1 15] ; [ 6 26],[ 2.33333333 13.66666667] ; [ 4.66666667 27.33333333],0
r2,1,0.269964,1.216931,[8 8] ; [20 10],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
p1,1,0.273322,1.2,[ 4 12] ; [ 4 28],[ 2.66666667 13.33333333] ; [ 5.33333333 26.66666667],0
p4,1,0.273322,1.2,[ 4 12] ; [ 4 28],[ 2.66666667 13.33333333] ; [ 5.33333333 26.66666667],0
a4,1,0.347275,0.88339,[ 4 12] ; [12 19],[ 5.44680851 10.55319149] ; [10.55319149 20.44680851],0
n3,1,0.347756,0.881629,[2 1] ; [ 6 10],[1.26315789 1.73684211] ; [6.73684211 9.26315789],0
s4,1,0.354539,0.857143,[ 1 15] ; [ 5 27],[ 2. 14.] ; [ 4. 28.],0
