Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,34.307021,[27  6] ; [ 3 29],[15.23076923 17.76923077] ; [14.76923077 17.23076923],1
n2,1,0.000844,11.142954,[13  1] ; [4 9],[8.81481481 5.18518519] ; [8.18518519 4.81481481],1
r3,1,0.001218,10.462779,[28  5] ; [15 17],[21.83076923 11.16923077] ; [21.16923077 10.83076923],0
p11,1,0.001869,9.673812,[22 11] ; [ 9 23],[15.73846154 17.26153846] ; [15.26153846 16.73846154],0
s8,1,0.006351,7.447917,[11 22] ; [ 2 30],[ 6.6 26.4] ; [ 6.4 25.6],0
r4,1,0.007711,7.099356,[19 14] ; [ 8 24],[13.70769231 19.29230769] ; [13.29230769 18.70769231],0
n3,1,0.034625,4.463591,[10  4] ; [4 9],[7.25925926 6.74074074] ; [6.74074074 6.25925926],0
s2,1,0.067329,3.346964,[13 20] ; [ 6 26],[ 9.64615385 23.35384615] ; [ 9.35384615 22.64615385],0
p6,1,0.08121,3.040508,[ 9 24] ; [ 3 27],[ 6.28571429 26.71428571] ; [ 5.71428571 24.28571429],0
s5,1,0.085883,2.949905,[ 8 23] ; [ 3 29],[ 5.41269841 25.58730159] ; [ 5.58730159 26.41269841],0
d2,1,0.100951,2.69045,[13 19] ; [19 12],[16.25396825 15.74603175] ; [15.74603175 15.25396825],0
b4,1,0.105109,2.626263,[23 10] ; [16 16],[19.8 13.2] ; [19.2 12.8],0
v4,1,0.105109,2.626263,[23 10] ; [16 16],[19.8 13.2] ; [19.2 12.8],0
v1,1,0.105645,2.618182,[13 19] ; [ 7 25],[10. 22.] ; [10. 22.],0
p1,1,0.136595,2.215909,[ 9 24] ; [ 4 28],[ 6.6 26.4] ; [ 6.4 25.6],0
n5,1,0.164849,1.929171,[24  9] ; [18 14],[21.32307692 11.67692308] ; [20.67692308 11.32307692],0
a7,1,0.171746,1.867633,[19 14] ; [13 19],[16.24615385 16.75384615] ; [15.75384615 16.24615385],0
b5,1,0.172815,1.85835,[22 11] ; [16 16],[19.29230769 13.70769231] ; [18.70769231 13.29230769],0
d3,1,0.173745,1.850328,[13 20] ; [18 14],[15.73846154 17.26153846] ; [15.26153846 16.73846154],0
p3,1,0.205742,1.601141,[11 22] ; [ 6 25],[ 8.765625 24.234375] ; [ 8.234375 22.765625],0
u2,1,0.216201,1.529412,[6 7] ; [ 3 10],[4.5 8.5] ; [4.5 8.5],0
n6,1,0.220407,1.50172,[22 11] ; [16 15],[19.59375 13.40625] ; [18.40625 12.59375],0
d5,1,0.239261,1.384943,[18 15] ; [22 10],[20.30769231 12.69230769] ; [19.69230769 12.30769231],0
s3,1,0.247284,1.338586,[13 20] ; [ 8 23],[10.828125 22.171875] ; [10.171875 20.828125],0
a6,1,0.37859,0.775275,[16 17] ; [19 13],[17.76923077 15.23076923] ; [17.23076923 14.76923077],0
n1,1,0.391153,0.735354,[7 7] ; [4 8],[5.92307692 8.07692308] ; [5.07692308 6.92307692],0
s7,1,0.420515,0.648875,[ 8 24] ; [ 5 25],[ 6.70967742 25.29032258] ; [ 6.29032258 23.70967742],0
v3,1,0.456238,0.555109,[ 8 22] ; [ 6 26],[ 6.77419355 23.22580645] ; [ 7.22580645 24.77419355],0
p7,1,0.477654,0.504215,[12 21] ; [ 9 23],[10.66153846 22.33846154] ; [10.33846154 21.66153846],0
s6,1,0.492404,0.471269,[13 20] ; [10 22],[11.67692308 21.32307692] ; [11.32307692 20.67692308],0
n4,1,0.542567,0.370804,[20 13] ; [17 15],[18.78461538 14.21538462] ; [18.21538462 13.78461538],0
d1,1,0.542567,0.370804,[13 20] ; [15 17],[14.21538462 18.78461538] ; [13.78461538 18.21538462],0
p5,1,0.57309,0.31754,[ 2 30] ; [ 1 30],[ 1.52380952 30.47619048] ; [ 1.47619048 29.52380952],0
v2,1,0.583378,0.300806,[11 18] ; [10 22],[ 9.98360656 19.01639344] ; [11.01639344 20.98360656],0
p4,1,0.632885,0.228168,[10 23] ; [ 8 24],[ 9.13846154 23.86153846] ; [ 8.86153846 23.13846154],0
s1,1,0.657574,0.196485,[ 3 30] ; [ 4 28],[ 3.55384615 29.44615385] ; [ 3.44615385 28.55384615],0
p8,1,0.664852,0.187683,[ 9 24] ; [ 7 24],[ 8.25 24.75] ; [ 7.75 23.25],0
u3,1,0.68017,0.169935,[5 8] ; [4 9],[4.5 8.5] ; [4.5 8.5],0
a1,1,0.682617,0.167195,[ 4 29] ; [ 5 27],[ 4.56923077 28.43076923] ; [ 4.43076923 27.56923077],0
b1,1,0.708329,0.139952,[16 17] ; [17 15],[16.75384615 16.24615385] ; [16.24615385 15.75384615],0
r2,1,0.720829,0.1277,[23  9] ; [21 10],[22.34920635  9.65079365] ; [21.65079365  9.34920635],0
a5,1,0.72162,0.126946,[20 13] ; [18 14],[19.29230769 13.70769231] ; [18.70769231 13.29230769],0
s4,1,0.783432,0.075542,[ 6 27] ; [ 5 27],[ 5.58461538 27.41538462] ; [ 5.41538462 26.58461538],0
d4,1,0.857497,0.032242,[22 11] ; [22 10],[22.33846154 10.66153846] ; [21.66153846 10.33846154],0
b2,1,0.897014,0.016753,[ 9 12] ; [ 9 13],[ 8.79069767 12.20930233] ; [ 9.20930233 12.79069767],0
b3,1,0.897014,0.016753,[ 9 12] ; [ 9 13],[ 8.79069767 12.20930233] ; [ 9.20930233 12.79069767],0
a3,1,0.919323,0.010259,[20 13] ; [19 13],[19.8 13.2] ; [19.2 12.8],0
a4,1,0.955284,0.003144,[13 20] ; [12 19],[12.890625 20.109375] ; [12.109375 18.890625],0
a2,1,0.962933,0.00216,[ 4 29] ; [ 4 28],[ 4.06153846 28.93846154] ; [ 3.93846154 28.06153846],0
u1,1,0.974659,0.001009,[ 2 31] ; [ 2 30],[ 2.03076923 30.96923077] ; [ 1.96923077 30.03076923],0
p12,1,0.982366,0.000489,[ 1 32] ; [ 1 31],[ 1.01538462 31.98461538] ; [ 0.98461538 31.01538462],0
