Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-05,18.18658,[73  3] ; [24 12],[65.82142857 10.17857143] ; [31.17857143  4.82142857],1
r4,1,0.001456,10.133886,[65 11] ; [21 15],[58.35714286 17.64285714] ; [27.64285714  8.35714286],0
n5,1,0.001965,9.582359,[51 25] ; [13 23],[43.42857143 32.57142857] ; [20.57142857 15.42857143],0
r2,1,0.002323,9.274936,[72  4] ; [27  9],[67.17857143  8.82142857] ; [31.82142857  4.17857143],0
p4,1,0.011301,6.417377,[40 35] ; [10 26],[33.78378378 41.21621622] ; [16.21621622 19.78378378],0
n2,1,0.012844,6.190454,[19  5] ; [ 7 10],[15.2195122  8.7804878] ; [10.7804878  6.2195122],0
r3,1,0.015786,5.826543,[71  5] ; [28  8],[67.17857143  8.82142857] ; [31.82142857  4.17857143],0
s7,1,0.020912,5.334074,[27 45] ; [ 5 28],[21.94285714 50.05714286] ; [10.05714286 22.94285714],0
p10,1,0.022365,5.217149,[26 49] ; [ 5 31],[20.94594595 54.05405405] ; [10.05405405 25.94594595],0
s6,1,0.02531,5.002573,[42 33] ; [12 24],[36.48648649 38.51351351] ; [17.51351351 18.48648649],0
u1,1,0.026824,4.902087,[17 59] ; [ 2 34],[12.89285714 63.10714286] ; [ 6.10714286 29.89285714],0
n4,1,0.028026,4.826485,[56 20] ; [19 17],[50.89285714 25.10714286] ; [24.10714286 11.89285714],0
s1,1,0.056853,3.626874,[ 2 74] ; [ 4 31],[ 4.10810811 71.89189189] ; [ 1.89189189 33.10810811],0
p11,1,0.058292,3.585312,[42 34] ; [13 23],[37.32142857 38.67857143] ; [17.67857143 18.32142857],0
a4,1,0.06002,3.536842,[24 52] ; [18 18],[28.5 47.5] ; [13.5 22.5],0
s8,1,0.062371,3.47318,[20 55] ; [ 4 32],[16.21621622 58.78378378] ; [ 7.78378378 28.21621622],0
n1,1,0.067538,3.341858,[13 11] ; [ 4 12],[10.2 13.8] ; [6.8 9.2],0
p7,1,0.071871,3.23977,[36 38] ; [11 25],[31.61818182 42.38181818] ; [15.38181818 20.61818182],0
v3,1,0.075993,3.148587,[28 48] ; [ 7 28],[23.96396396 52.03603604] ; [11.03603604 23.96396396],0
s4,1,0.08497,2.967178,[13 61] ; [ 2 34],[10.09090909 63.90909091] ; [ 4.90909091 31.09090909],0
n3,1,0.086791,2.93291,[19  6] ; [8 8],[16.46341463  8.53658537] ; [10.53658537  5.46341463],0
v1,1,0.103379,2.652632,[31 45] ; [ 9 27],[27.14285714 48.85714286] ; [12.85714286 23.14285714],0
a5,1,0.111885,2.527388,[43 33] ; [26 10],[46.82142857 29.17857143] ; [22.17857143 13.82142857],0
p2,1,0.143542,2.139571,[51 25] ; [19 17],[47.5 28.5] ; [22.5 13.5],0
v2,1,0.169851,1.884259,[37 37] ; [13 23],[33.63636364 40.36363636] ; [16.36363636 19.63636364],0
b3,1,0.181051,1.788975,[17 28] ; [ 5 18],[14.55882353 30.44117647] ; [ 7.44117647 15.55882353],0
b2,1,0.181051,1.788975,[17 28] ; [ 5 18],[14.55882353 30.44117647] ; [ 7.44117647 15.55882353],0
b5,1,0.184482,1.761144,[52 24] ; [20 16],[48.85714286 27.14285714] ; [23.14285714 12.85714286],0
p8,1,0.199214,1.648128,[29 47] ; [ 9 26],[26.01801802 49.98198198] ; [11.98198198 23.01801802],0
p3,1,0.211892,1.558455,[26 49] ; [ 8 27],[23.18181818 51.81818182] ; [10.81818182 24.18181818],0
s5,1,0.215296,1.53545,[13 61] ; [ 3 32],[10.86238532 63.13761468] ; [ 5.13761468 29.86238532],0
p6,1,0.230416,1.438292,[18 56] ; [ 5 30],[15.6146789 58.3853211] ; [ 7.3853211 27.6146789],0
a6,1,0.24724,1.338834,[51 25] ; [28  8],[53.60714286 22.39285714] ; [25.39285714 10.60714286],0
s2,1,0.349581,0.874979,[25 49] ; [ 9 27],[22.87272727 51.12727273] ; [11.12727273 24.87272727],0
d3,1,0.362037,0.830815,[55 21] ; [23 13],[52.92857143 23.07142857] ; [25.07142857 10.92857143],0
a3,1,0.393506,0.728082,[48 28] ; [25 10],[49.98198198 26.01801802] ; [23.01801802 11.98198198],0
d1,1,0.426036,0.633606,[42 34] ; [17 19],[40.03571429 35.96428571] ; [18.96428571 17.03571429],0
d4,1,0.51701,0.419853,[63 13] ; [28  8],[61.75 14.25] ; [29.25  6.75],0
b1,1,0.520568,0.412768,[45 31] ; [19 17],[43.42857143 32.57142857] ; [20.57142857 15.42857143],0
a2,1,0.531932,0.390699,[17 59] ; [10 26],[18.32142857 57.67857143] ; [ 8.67857143 27.32142857],0
d5,1,0.614792,0.253255,[58 18] ; [29  7],[59.03571429 16.96428571] ; [27.96428571  8.03571429],0
a8,1,0.655072,0.199566,[ 6 61] ; [ 4 30],[ 6.63366337 60.36633663] ; [ 3.36633663 30.63366337],0
u3,1,0.710644,0.137634,[16 12] ; [7 4],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
a1,1,0.73635,0.11336,[ 5 71] ; [ 3 33],[ 5.42857143 70.57142857] ; [ 2.57142857 33.42857143],0
r1,1,0.75803,0.094906,[59 17] ; [27  9],[58.35714286 17.64285714] ; [27.64285714  8.35714286],0
u2,1,0.88012,0.022746,[13 14] ; [5 6],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
p1,1,0.903407,0.014728,[ 6 70] ; [ 3 32],[ 6.16216216 69.83783784] ; [ 2.83783784 32.16216216],0
s3,1,0.92049,0.009963,[32 43] ; [15 21],[31.75675676 43.24324324] ; [15.24324324 20.75675676],0
b4,1,0.940215,0.005625,[48 28] ; [23 13],[48.17857143 27.82142857] ; [22.82142857 13.17857143],0
d2,1,1.0,0.0,[38 38] ; [18 18],[38. 38.] ; [18. 18.],0
