Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.973215,[14 44] ; [17  5],[22.475 35.525] ; [ 8.525 13.475],1
s6,1,2.1e-05,18.09667,[18 39] ; [18  3],[26.30769231 30.69230769] ; [ 9.69230769 11.30769231],1
s7,1,4.1e-05,16.832099,[11 41] ; [14  5],[18.30985915 33.69014085] ; [ 6.69014085 12.30985915],1
r4,1,0.000826,11.181768,[26 32] ; [19  3],[32.625 25.375] ; [12.375  9.625],1
r1,1,0.00122,10.459377,[24 34] ; [18  4],[30.45 27.55] ; [11.55 10.45],0
r3,1,0.00407,8.252378,[33 25] ; [20  2],[38.425 19.575] ; [14.575  7.425],0
v2,1,0.004177,8.205195,[16 40] ; [14  8],[21.53846154 34.46153846] ; [ 8.46153846 13.53846154],0
u2,1,0.005425,7.731863,[ 7 22] ; [5 1],[ 9.94285714 19.05714286] ; [2.05714286 3.94285714],0
d1,1,0.007866,7.063741,[18 40] ; [14  8],[23.2 34.8] ; [ 8.8 13.2],0
u3,1,0.010098,6.617535,[ 8 21] ; [5 1],[10.77142857 18.22857143] ; [2.22857143 3.77142857],0
s5,1,0.012376,6.256129,[11 46] ; [10 11],[15.34615385 41.65384615] ; [ 5.65384615 15.34615385],0
p4,1,0.016858,5.711098,[19 37] ; [14  8],[23.69230769 32.30769231] ; [ 9.30769231 12.69230769],0
n6,1,0.023384,5.13973,[30 27] ; [17  4],[34.34615385 22.65384615] ; [12.65384615  8.34615385],0
v1,1,0.027443,4.8627,[16 41] ; [12 10],[20.20253165 36.79746835] ; [ 7.79746835 14.20253165],0
p10,1,0.033471,4.521516,[20 37] ; [13  8],[24.11538462 32.88461538] ; [ 8.88461538 12.11538462],0
n1,1,0.03722,4.340326,[ 8 18] ; [8 4],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
p2,1,0.042494,4.115407,[27 30] ; [16  6],[31.02531646 25.97468354] ; [11.97468354 10.02531646],0
d3,1,0.045892,3.985537,[20 38] ; [13  9],[23.925 34.075] ; [ 9.075 12.925],0
p9,1,0.052617,3.75603,[23 32] ; [14  7],[26.77631579 28.22368421] ; [10.22368421 10.77631579],0
r2,1,0.066127,3.376623,[40 16] ; [20  2],[43.07692308 12.92307692] ; [16.92307692  5.07692308],0
a3,1,0.078713,3.091286,[29 28] ; [16  6],[32.46835443 24.53164557] ; [12.53164557  9.46835443],0
d2,1,0.085998,2.947743,[24 33] ; [14  8],[27.41772152 29.58227848] ; [10.58227848 11.41772152],0
d5,1,0.08973,2.879202,[30 28] ; [16  6],[33.35 24.65] ; [12.65  9.35],0
p6,1,0.121179,2.402015,[ 9 47] ; [ 7 15],[11.48717949 44.51282051] ; [ 4.51282051 17.48717949],0
s3,1,0.150848,2.06366,[23 33] ; [13  9],[25.84615385 30.15384615] ; [10.15384615 11.84615385],0
b4,1,0.185189,1.755486,[30 28] ; [15  7],[32.625 25.375] ; [12.375  9.625],0
p1,1,0.199362,1.647039,[ 3 55] ; [ 3 19],[ 4.35 53.65] ; [ 1.65 20.35],0
