Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,282.541643,[ 66 238] ; [289  39],[170.75949367 133.24050633] ; [184.24050633 143.75949367],1
s6,1,0.0,116.007487,[140 163] ; [283  44],[203.44285714  99.55714286] ; [219.55714286 107.44285714],1
s7,1,0.0,109.792801,[ 75 217] ; [216 101],[139.5270936 152.4729064] ; [151.4729064 165.5270936],1
s5,1,0.0,73.632612,[ 47 255] ; [151 165],[ 96.75728155 205.24271845] ; [101.24271845 214.75728155],1
s8,1,0.0,69.942973,[ 76 230] ; [190 140],[127.98113208 178.01886792] ; [138.01886792 191.98113208],1
s4,1,0.0,25.933379,[ 26 278] ; [ 77 250],[ 49.62282092 254.37717908] ; [ 53.37717908 273.62282092],1
p9,1,3.8e-05,16.963016,[237  66] ; [293  32],[255.71656051  47.28343949] ; [274.28343949  50.71656051],1
p10,1,8.4e-05,15.456439,[229  75] ; [286  41],[248.1141046  55.8858954] ; [266.8858954  60.1141046],1
u1,1,0.000209,13.747904,[ 48 260] ; [ 92 240],[ 67.375 240.625] ; [ 72.625 259.375],1
p12,1,0.000284,13.169896,[ 12 292] ; [ 39 292],[ 24.41574803 279.58425197] ; [ 26.58425197 304.41574803],1
p6,1,0.000327,12.907464,[ 88 216] ; [140 188],[109.67088608 194.32911392] ; [118.32911392 209.67088608],1
p4,1,0.000839,11.152689,[163 143] ; [218 111],[183.6 122.4] ; [197.4 131.6],1
d2,1,0.001604,9.954893,[130 178] ; [180 149],[149.89010989 158.10989011] ; [160.10989011 168.89010989],0
d1,1,0.00251,9.13333,[175 133] ; [227 105],[193.4625 114.5375] ; [208.5375 123.4625],0
n5,1,0.004878,7.924035,[208  98] ; [257  73],[223.72641509  82.27358491] ; [241.27358491  88.72641509],0
d4,1,0.010619,6.527952,[248  60] ; [290  40],[259.72413793  48.27586207] ; [278.27586207  51.72413793],0
s1,1,0.015024,5.913646,[  5 299] ; [ 17 310],[ 10.59904913 293.40095087] ; [ 11.40095087 315.59904913],0
a2,1,0.022957,5.171781,[ 76 232] ; [109 223],[ 89.03125 218.96875] ; [ 95.96875 236.03125],0
r3,1,0.02902,4.766403,[290  18] ; [322   8],[295.44827586  12.55172414] ; [316.55172414  13.44827586],0
n6,1,0.03618,4.388596,[248  59] ; [285  43],[257.68661417  49.31338583] ; [275.31338583  52.68661417],0
u4,1,0.043237,4.08612,[  3 305] ; [ 11 321],[  6.7375 301.2625] ; [  7.2625 324.7375],0
a8,1,0.071205,3.255012,[ 30 242] ; [ 49 253],[ 37.43554007 234.56445993] ; [ 41.56445993 260.43554007],0
n2,1,0.079229,3.080649,[48 24] ; [52 13],[52.55474453 19.44525547] ; [47.44525547 17.55474453],0
p2,1,0.091023,2.856195,[249  58] ; [284  46],[256.87755102  50.12244898] ; [276.12244898  53.87755102],0
a5,1,0.120126,2.415678,[220  88] ; [255  77],[228.59375  79.40625] ; [246.40625  85.59375],0
r4,1,0.120558,2.410056,[284  24] ; [316  16],[288.75  19.25] ; [311.25  20.75],0
p7,1,0.122103,2.390134,[180 122] ; [208 109],[189.29886914 112.70113086] ; [198.70113086 118.29886914],0
u3,1,0.129208,2.301993,[55 41] ; [58 27],[59.93370166 36.06629834] ; [53.06629834 31.93370166],0
v1,1,0.129956,2.293032,[152 150] ; [181 140],[161.42215088 140.57784912] ; [171.57784912 149.42215088],0
p5,1,0.134904,2.235139,[ 28 279] ; [ 42 285],[ 33.89589905 273.10410095] ; [ 36.10410095 290.89589905],0
a4,1,0.141807,2.158235,[127 179] ; [157 175],[136.21316614 169.78683386] ; [147.78683386 184.21316614],0
p3,1,0.163293,1.943465,[144 164] ; [172 157],[152.79120879 155.20879121] ; [163.20879121 165.79120879],0
a3,1,0.18462,1.760037,[212  94] ; [245  86],[219.5321821  86.4678179] ; [237.4678179  93.5321821],0
n4,1,0.201119,1.634229,[225  82] ; [257  74],[231.93416928  75.06583072] ; [250.06583072  80.93416928],0
