Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.640023,[16  8] ; [14 71],[ 6.60550459 17.39449541] ; [23.39449541 61.60550459],1
s6,1,3.6e-05,17.096895,[23  1] ; [41 43],[14.22222222  9.77777778] ; [49.77777778 34.22222222],1
p4,1,0.000196,13.871338,[16  7] ; [23 61],[ 8.38317757 14.61682243] ; [30.61682243 53.38317757],1
s5,1,0.000599,11.779537,[13 10] ; [16 64],[ 6.47572816 16.52427184] ; [22.52427184 57.47572816],1
p7,1,0.00226,9.325276,[15  9] ; [23 58],[ 8.68571429 15.31428571] ; [29.31428571 51.68571429],0
p5,1,0.008163,6.997367,[ 6 18] ; [ 5 76],[ 2.51428571 21.48571429] ; [ 8.48571429 72.51428571],0
v1,1,0.018978,5.503574,[16  8] ; [32 49],[10.97142857 13.02857143] ; [37.02857143 43.97142857],0
s2,1,0.026231,4.940712,[16  8] ; [34 49],[11.21495327 12.78504673] ; [38.78504673 44.21495327],0
u3,1,0.03994,4.220438,[9 1] ; [19 16],[6.22222222 3.77777778] ; [21.77777778 13.22222222],0
s8,1,0.045705,3.992447,[14  9] ; [32 53],[ 9.7962963 13.2037037] ; [36.2037037 48.7962963],0
p9,1,0.072041,3.235892,[21  3] ; [58 26],[17.55555556  6.44444444] ; [61.44444444 22.55555556],0
p12,1,0.081644,3.031863,[ 5 19] ; [ 7 78],[ 2.64220183 21.35779817] ; [ 9.35779817 75.64220183],0
p1,1,0.090053,2.87342,[ 4 20] ; [ 5 80],[ 1.98165138 22.01834862] ; [ 7.01834862 77.98165138],0
a2,1,0.099374,2.715556,[ 1 23] ; [15 70],[ 3.52293578 20.47706422] ; [12.47706422 72.52293578],0
s7,1,0.122911,2.379829,[13 10] ; [32 51],[ 9.76415094 13.23584906] ; [35.23584906 47.76415094],0
u2,1,0.168551,1.895784,[8 2] ; [19 15],[6.13636364 3.86363636] ; [20.86363636 13.13636364],0
p3,1,0.187342,1.738398,[11 12] ; [28 57],[ 8.30555556 14.69444444] ; [30.69444444 54.30555556],0
n3,1,0.216086,1.530179,[1 2] ; [20  9],[1.96875 1.03125] ; [19.03125  9.96875],0
b4,1,0.250909,1.318238,[18  6] ; [53 32],[15.63302752  8.36697248] ; [55.36697248 29.63302752],0
r2,1,0.268998,1.22185,[23  1] ; [74 10],[21.55555556  2.44444444] ; [75.44444444  8.55555556],0
v2,1,0.306706,1.044806,[13  8] ; [39 40],[10.92 10.08] ; [41.08 37.92],0
u1,1,0.319868,0.989486,[ 2 22] ; [14 71],[ 3.52293578 20.47706422] ; [12.47706422 72.52293578],0
r4,1,0.319868,0.989486,[22  2] ; [71 14],[20.47706422  3.52293578] ; [72.52293578 12.47706422],0
r1,1,0.321258,0.983818,[15  9] ; [62 23],[16.95412844  7.04587156] ; [60.04587156 24.95412844],0
