Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,27.598369,[ 5 13] ; [85 15],[13.72881356  4.27118644] ; [76.27118644 23.72881356],1
b1,1,0.011524,6.382679,[12  6] ; [35 65],[ 7.16949153 10.83050847] ; [39.83050847 60.16949153],0
s7,1,0.014498,5.976481,[8 9] ; [73 23],[12.18584071  4.81415929] ; [68.81415929 27.18584071],0
p4,1,0.022278,5.223977,[ 5 13] ; [57 43],[9.45762712 8.54237288] ; [52.54237288 47.45762712],0
d3,1,0.036527,4.37235,[ 7 11] ; [65 35],[10.98305085  7.01694915] ; [61.01694915 38.98305085],0
v1,1,0.052933,3.746028,[ 5 13] ; [49 44],[8.75675676 9.24324324] ; [45.24324324 47.75675676],0
p11,1,0.079202,3.081197,[9 9] ; [71 29],[12.20338983  5.79661017] ; [67.79661017 32.20338983],0
b4,1,0.097384,2.747872,[14  4] ; [57 43],[10.83050847  7.16949153] ; [60.16949153 39.83050847],0
p8,1,0.112394,2.520231,[ 2 16] ; [29 71],[ 4.72881356 13.27118644] ; [26.27118644 73.72881356],0
r1,1,0.121424,2.398862,[17  1] ; [79 21],[14.6440678  3.3559322] ; [81.3559322 18.6440678],0
p6,1,0.129804,2.294842,[ 2 16] ; [28 72],[ 4.57627119 13.42372881] ; [25.42372881 74.57627119],0
d1,1,0.139829,2.179842,[9 9] ; [68 32],[11.74576271  6.25423729] ; [65.25423729 34.74576271],0
d4,1,0.143175,2.143503,[13  5] ; [86 14],[15.10169492  2.89830508] ; [83.89830508 16.10169492],0
s3,1,0.198597,1.652659,[10  7] ; [74 26],[12.20512821  4.79487179] ; [71.79487179 28.20512821],0
a5,1,0.2224,1.488816,[11  7] ; [75 25],[13.11864407  4.88135593] ; [72.88135593 27.11864407],0
p2,1,0.227289,1.457749,[10  8] ; [70 30],[12.20338983  5.79661017] ; [67.79661017 32.20338983],0
s2,1,0.233982,1.416492,[10  7] ; [73 27],[12.05982906  4.94017094] ; [70.94017094 29.05982906],0
b5,1,0.264301,1.246087,[10  8] ; [69 31],[12.05084746  5.94915254] ; [66.94915254 33.05084746],0
v2,1,0.282214,1.156399,[ 7 10] ; [52 42],[9.03603604 7.96396396] ; [49.96396396 44.03603604],0
n6,1,0.305025,1.052096,[14  4] ; [87 13],[15.40677966  2.59322034] ; [85.59322034 14.40677966],0
p3,1,0.357668,0.846064,[ 6 12] ; [45 55],[ 7.77966102 10.22033898] ; [43.22033898 56.77966102],0
n2,1,0.367448,0.812276,[5 1] ; [20 11],[4.05405405 1.94594595] ; [20.94594595 10.05405405],0
a4,1,0.385162,0.754162,[ 7 11] ; [50 50],[8.69491525 9.30508475] ; [48.30508475 51.69491525],0
n4,1,0.394374,0.725412,[13  5] ; [81 19],[14.33898305  3.66101695] ; [79.66101695 20.33898305],0
n3,1,0.418944,0.653274,[4 1] ; [19 12],[3.19444444 1.80555556] ; [19.80555556 11.19444444],0
p1,1,0.421461,0.646239,[ 1 17] ; [12 88],[ 1.98305085 16.01694915] ; [11.01694915 88.98305085],0
s6,1,0.517159,0.419556,[14  4] ; [84 16],[14.94915254  3.05084746] ; [83.05084746 16.94915254],0
r4,1,0.550478,0.356462,[17  1] ; [90 10],[16.3220339  1.6779661] ; [90.6779661  9.3220339],0
b2,1,0.578126,0.309275,[4 9] ; [28 44],[4.89411765 8.10588235] ; [27.10588235 44.89411765],0
b3,1,0.578126,0.309275,[4 9] ; [28 44],[4.89411765 8.10588235] ; [27.10588235 44.89411765],0
v4,1,0.581261,0.304201,[17  1] ; [97  3],[17.38983051  0.61016949] ; [96.61016949  3.38983051],0
