Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,7e-06,20.242048,[ 37 119] ; [19 10],[ 47.22162162 108.77837838] ; [ 8.77837838 20.22162162],1
p12,1,3.2e-05,17.299816,[  5 154] ; [ 7 23],[ 10.0952381 148.9047619] ; [ 1.9047619 28.0952381],1
n3,1,0.008318,6.963672,[26  5] ; [1 3],[23.91428571  7.08571429] ; [3.08571429 0.91428571],0
r2,1,0.021649,5.273798,[150   8] ; [25  5],[147.07446809  10.92553191] ; [27.92553191  2.07446809],0
p11,1,0.035189,4.435972,[122  38] ; [28  2],[126.31578947  33.68421053] ; [23.68421053  6.31578947],0
v3,1,0.040405,4.200776,[60 97] ; [17 12],[64.99462366 92.00537634] ; [12.00537634 16.99462366],0
a1,1,0.053858,3.717094,[  7 153] ; [ 4 26],[  9.26315789 150.73684211] ; [ 1.73684211 28.26315789],0
a5,1,0.062642,3.466006,[119  41] ; [27  3],[122.94736842  37.05263158] ; [23.05263158  6.94736842],0
p9,1,0.06842,3.320527,[133  26] ; [28  1],[136.16489362  22.83510638] ; [24.83510638  4.16489362],0
u2,1,0.069537,3.293926,[23 29] ; [5 1],[25.10344828 26.89655172] ; [2.89655172 3.10344828],0
p4,1,0.071584,3.246322,[120  40] ; [27  3],[123.78947368  36.21052632] ; [23.21052632  6.78947368],0
p10,1,0.099736,2.709759,[128  30] ; [28  2],[131.10638298  26.89361702] ; [24.89361702  5.10638298],0
b2,1,0.112734,2.515468,[34 60] ; [12 10],[37.27586207 56.72413793] ; [ 8.72413793 13.27586207],0
b3,1,0.112734,2.515468,[34 60] ; [12 10],[37.27586207 56.72413793] ; [ 8.72413793 13.27586207],0
u3,1,0.121162,2.40223,[26 26] ; [5 1],[27.79310345 24.20689655] ; [3.20689655 2.79310345],0
p7,1,0.121746,2.394708,[116  42] ; [26  4],[119.34042553  38.65957447] ; [22.65957447  7.34042553],0
r3,1,0.124878,2.355045,[151   9] ; [26  4],[149.05263158  10.94736842] ; [27.94736842  2.05263158],0
s7,1,0.129632,2.29691,[51 97] ; [13 13],[54.43678161 93.56321839] ; [ 9.56321839 16.43678161],0
p1,1,0.142643,2.149211,[ 13 147] ; [ 5 25],[ 15.15789474 144.84210526] ; [ 2.84210526 27.15789474],0
a8,1,0.144853,2.125636,[ 19 115] ; [ 1 25],[ 16.75 117.25] ; [ 3.25 22.75],0
a3,1,0.166399,1.915091,[107  52] ; [24  6],[110.20634921  48.79365079] ; [20.79365079  9.20634921],0
b5,1,0.174667,1.842424,[96 64] ; [14 16],[92.63157895 67.36842105] ; [17.36842105 12.63157895],0
a6,1,0.192756,1.696429,[109  51] ; [24  6],[112.  48.] ; [21.  9.],0
n6,1,0.243744,1.358809,[136  24] ; [27  2],[137.98941799  22.01058201] ; [25.01058201  3.98941799],0
n5,1,0.250219,1.322082,[116  42] ; [25  5],[118.5  39.5] ; [22.5  7.5],0
d5,1,0.300542,1.071788,[135  25] ; [23  7],[133.05263158  26.94736842] ; [24.94736842  5.05263158],0
b4,1,0.302621,1.062607,[85 75] ; [19 11],[87.57894737 72.42105263] ; [16.42105263 13.57894737],0
p8,1,0.313887,1.014251,[99 59] ; [21  8],[101.39037433  56.60962567] ; [18.60962567 10.39037433],0
a2,1,0.324524,0.970626,[ 40 120] ; [ 5 25],[ 37.89473684 122.10526316] ; [ 7.10526316 22.89473684],0
s6,1,0.326901,0.961135,[78 81] ; [16 11],[80.35483871 78.64516129] ; [13.64516129 13.35483871],0
s2,1,0.337183,0.921114,[ 27 132] ; [ 3 27],[ 25.23809524 133.76190476] ; [ 4.76190476 25.23809524],0
p6,1,0.35936,0.840129,[69 87] ; [16 14],[71.29032258 84.70967742] ; [13.70967742 16.29032258],0
v2,1,0.368572,0.808474,[95 63] ; [20  9],[97.1657754 60.8342246] ; [17.8342246 11.1657754],0
p2,1,0.382388,0.763011,[134  26] ; [27  3],[135.57894737  24.42105263] ; [25.42105263  4.57894737],0
a4,1,0.432196,0.616915,[76 83] ; [12 18],[74.03174603 84.96825397] ; [13.96825397 16.03174603],0
s8,1,0.463176,0.538208,[ 49 109] ; [11 18],[ 50.69518717 107.30481283] ; [ 9.30481283 19.69518717],0
v4,1,0.46541,0.532853,[154   6] ; [28  2],[153.26315789   6.73684211] ; [28.73684211  1.26315789],0
n4,1,0.520791,0.412326,[125  35] ; [25  5],[126.31578947  33.68421053] ; [23.68421053  6.31578947],0
d3,1,0.559802,0.340047,[110  50] ; [19 11],[108.63157895  51.36842105] ; [20.36842105  9.63157895],0
u1,1,0.743048,0.107466,[ 28 132] ; [ 6 24],[ 28.63157895 131.36842105] ; [ 5.36842105 24.63157895],0
d1,1,0.767854,0.087133,[90 70] ; [16 14],[89.26315789 70.73684211] ; [16.73684211 13.26315789],0
v1,1,0.78307,0.075801,[99 59] ; [18 12],[98.32978723 59.67021277] ; [18.67021277 11.32978723],0
s1,1,0.797995,0.065507,[  4 155] ; [ 1 29],[  4.20634921 154.79365079] ; [ 0.79365079 29.20634921],0
