Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.210147,[ 2 14] ; [78 11],[12.19047619  3.80952381] ; [67.80952381 21.19047619],1
r3,1,0.0,27.339936,[ 6 10] ; [81  8],[13.25714286  2.74285714] ; [73.74285714 15.25714286],1
r2,1,0.0,25.766292,[9 6] ; [87  2],[13.84615385  1.15384615] ; [82.15384615  6.84615385],1
p2,1,1.9e-05,18.321167,[ 1 15] ; [57 32],[8.83809524 7.16190476] ; [49.16190476 39.83809524],1
n6,1,0.000238,13.508315,[ 3 12] ; [62 27],[9.375 5.625] ; [55.625 33.375],1
r1,1,0.003165,8.710069,[8 8] ; [74 15],[12.4952381  3.5047619] ; [69.5047619 19.4952381],0
n2,1,0.003622,8.464095,[3 8] ; [23  7],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
p11,1,0.007491,7.151237,[ 3 13] ; [49 40],[7.92380952 8.07619048] ; [44.07619048 44.92380952],0
n3,1,0.037401,4.332062,[3 7] ; [19  9],[5.78947368 4.21052632] ; [16.21052632 11.78947368],0
p7,1,0.041459,4.157153,[ 3 13] ; [41 48],[6.7047619 9.2952381] ; [37.2952381 51.7047619],0
a6,1,0.065359,3.395894,[8 8] ; [65 24],[11.12380952  4.87619048] ; [61.87619048 27.12380952],0
p10,1,0.067321,3.347158,[ 1 15] ; [24 63],[ 3.88349515 12.11650485] ; [21.11650485 65.88349515],0
n5,1,0.06975,3.288887,[ 6 10] ; [55 34],[9.2952381 6.7047619] ; [51.7047619 37.2952381],0
a1,1,0.114172,2.495501,[ 3 13] ; [ 6 83],[ 1.37142857 14.62857143] ; [ 7.62857143 81.37142857],0
s1,1,0.122803,2.381198,[ 3 13] ; [ 6 81],[ 1.39805825 14.60194175] ; [ 7.60194175 79.39805825],0
n4,1,0.144349,2.130969,[9 7] ; [66 23],[11.42857143  4.57142857] ; [63.57142857 25.42857143],0
v1,1,0.158707,1.986501,[ 4 12] ; [39 50],[6.55238095 9.44761905] ; [36.44761905 52.55238095],0
s2,1,0.161652,1.958702,[ 3 13] ; [32 55],[ 5.4368932 10.5631068] ; [29.5631068 57.4368932],0
s7,1,0.167796,1.902525,[ 2 12] ; [27 56],[4.18556701 9.81443299] ; [24.81443299 58.18556701],0
p8,1,0.173132,1.855616,[ 3 12] ; [34 55],[5.33653846 9.66346154] ; [31.66346154 57.33653846],0
b5,1,0.195481,1.675817,[ 6 10] ; [49 40],[8.38095238 7.61904762] ; [46.61904762 42.38095238],0
s3,1,0.237762,1.393815,[ 5 11] ; [42 47],[7.16190476 8.83809524] ; [39.83809524 49.16190476],0
s6,1,0.240388,1.378319,[ 5 11] ; [41 46],[7.14563107 8.85436893] ; [38.85436893 48.14563107],0
d2,1,0.274453,1.194356,[11  4] ; [52 37],[9.08653846 5.91346154] ; [53.91346154 35.08653846],0
