Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.878897,[16 25] ; [95 21],[28.98726115 12.01273885] ; [82.01273885 33.98726115],1
s7,1,0.000124,14.729266,[ 7 34] ; [56 52],[17.33557047 23.66442953] ; [45.66442953 62.33557047],1
p10,1,0.000204,13.798002,[21 20] ; [91 21],[30.0130719 10.9869281] ; [81.9869281 30.0130719],1
v1,1,0.001864,9.678644,[ 9 30] ; [59 55],[17.33333333 21.66666667] ; [50.66666667 63.33333333],0
p8,1,0.006564,7.388584,[14 27] ; [66 46],[21.4379085 19.5620915] ; [58.5620915 53.4379085],0
d2,1,0.01198,6.313834,[ 4 37] ; [34 82],[ 9.92356688 31.07643312] ; [28.07643312 87.92356688],0
s6,1,0.012222,6.278403,[16 24] ; [71 42],[22.74509804 17.25490196] ; [64.25490196 48.74509804],0
a5,1,0.028322,4.808338,[15 26] ; [65 50],[21.02564103 19.97435897] ; [58.97435897 56.02564103],0
p1,1,0.046262,3.972026,[ 2 39] ; [20 94],[ 5.81935484 35.18064516] ; [16.18064516 97.81935484],0
s8,1,0.05399,3.71301,[ 9 32] ; [44 70],[14.01935484 26.98064516] ; [38.98064516 75.01935484],0
s3,1,0.058352,3.583625,[15 25] ; [61 50],[20.13245033 19.86754967] ; [55.86754967 55.13245033],0
s2,1,0.063092,3.45417,[12 28] ; [53 60],[16.99346405 23.00653595] ; [48.00653595 64.99346405],0
a1,1,0.079587,3.073318,[ 3 38] ; [  2 114],[ 1.30573248 39.69426752] ; [  3.69426752 112.30573248],0
v3,1,0.079912,3.0667,[ 9 31] ; [43 71],[13.50649351 26.49350649] ; [38.49350649 75.50649351],0
s5,1,0.085314,2.960646,[ 7 32] ; [36 75],[11.18 27.82] ; [31.82 79.18],0
p6,1,0.090791,2.860288,[ 9 31] ; [42 71],[13.33333333 26.66666667] ; [37.66666667 75.33333333],0
p9,1,0.115592,2.476048,[28 13] ; [90 22],[31.62091503  9.37908497] ; [86.37908497 25.62091503],0
a4,1,0.126335,2.336974,[ 4 37] ; [23 90],[ 7.18831169 33.81168831] ; [19.81168831 93.18831169],0
p5,1,0.136588,2.215987,[ 3 38] ; [19 94],[ 5.85714286 35.14285714] ; [16.14285714 96.85714286],0
b1,1,0.142622,2.149442,[13 28] ; [52 64],[16.97452229 24.02547771] ; [48.02547771 67.97452229],0
a2,1,0.144525,2.12911,[ 1 40] ; [ 11 105],[ 3.13375796 37.86624204] ; [  8.86624204 107.13375796],0
n1,1,0.160008,1.974146,[2 9] ; [11 15],[3.86486486 7.13513514] ; [ 9.13513514 16.86486486],0
a3,1,0.169187,1.890134,[16 24] ; [60 54],[19.74025974 20.25974026] ; [56.25974026 57.74025974],0
u3,1,0.169708,1.885522,[ 8 16] ; [28 28],[10.8 13.2] ; [25.2 30.8],0
b3,1,0.172221,1.863507,[ 6 18] ; [28 41],[ 8.77419355 15.22580645] ; [25.22580645 43.77419355],0
b2,1,0.172221,1.863507,[ 6 18] ; [28 41],[ 8.77419355 15.22580645] ; [25.22580645 43.77419355],0
r2,1,0.189766,1.719432,[34  7] ; [105  11],[36.29936306  4.70063694] ; [102.70063694  13.29936306],0
r1,1,0.209014,1.578243,[25 16] ; [83 33],[28.20382166 12.79617834] ; [79.79617834 36.20382166],0
b4,1,0.22429,1.476707,[21 20] ; [72 44],[24.2866242 16.7133758] ; [68.7133758 47.2866242],0
d3,1,0.23969,1.382415,[20 21] ; [44 71],[16.82051282 24.17948718] ; [47.17948718 67.82051282],0
v2,1,0.272181,1.205721,[15 24] ; [54 57],[17.94 21.06] ; [51.06 59.94],0
p3,1,0.283111,1.152095,[13 28] ; [47 67],[15.87096774 25.12903226] ; [44.12903226 69.87096774],0
d1,1,0.291247,1.113846,[ 1 40] ; [  8 108],[ 2.35031847 38.64968153] ; [  6.64968153 109.35031847],0
a8,1,0.327275,0.95965,[ 6 34] ; [10 97],[ 4.3537415 35.6462585] ; [11.6462585 95.3537415],0
a7,1,0.347153,0.883838,[28 13] ; [69 46],[25.49358974 15.50641026] ; [71.50641026 43.49358974],0
r4,1,0.348029,0.88063,[32  9] ; [98 18],[33.94904459  7.05095541] ; [96.05095541 19.94904459],0
b5,1,0.359046,0.841226,[26 15] ; [64 52],[23.50318471 17.49681529] ; [66.49681529 49.50318471],0
p2,1,0.387378,0.747155,[32  9] ; [81 33],[29.89032258 11.10967742] ; [83.10967742 30.89032258],0
r3,1,0.391506,0.73426,[38  3] ; [101  14],[36.53205128  4.46794872] ; [102.46794872  12.53205128],0
p12,1,0.45162,0.566582,[ 3 38] ; [ 13 100],[ 4.25974026 36.74025974] ; [ 11.74025974 101.25974026],0
p4,1,0.472958,0.515057,[18 23] ; [57 56],[19.96753247 21.03246753] ; [55.03246753 57.96753247],0
s4,1,0.519491,0.414903,[ 6 35] ; [22 93],[ 7.35897436 33.64102564] ; [20.64102564 94.35897436],0
v4,1,0.53452,0.385792,[39  2] ; [107   9],[38.12738854  2.87261146] ; [107.87261146   8.12738854],0
p7,1,0.562632,0.335168,[25 16] ; [63 50],[23.42857143 17.57142857] ; [64.57142857 48.42857143],0
u2,1,0.601461,0.272798,[12 12] ; [24 31],[10.93670886 13.06329114] ; [25.06329114 29.93670886],0
p11,1,0.620967,0.244511,[31 10] ; [92 24],[32.12101911  8.87898089] ; [90.87898089 25.12101911],0
a6,1,0.630306,0.231647,[26 15] ; [68 47],[24.70512821 16.29487179] ; [69.29487179 45.70512821],0
d4,1,0.639014,0.220033,[21 20] ; [54 61],[19.71153846 21.28846154] ; [55.28846154 59.71153846],0
n3,1,0.662771,0.190175,[8 3] ; [17  9],[7.43243243 3.56756757] ; [17.56756757  8.43243243],0
n2,1,0.739805,0.110298,[8 3] ; [21  6],[8.39473684 2.60526316] ; [20.60526316  6.39473684],0
