Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8.6e-05,15.413263,[26 38] ; [40 12],[36.4137931 27.5862069] ; [29.5862069 22.4137931],1
p3,1,0.002149,9.418118,[23 40] ; [ 6 46],[15.88695652 47.11304348] ; [13.11304348 38.88695652],0
a8,1,0.00219,9.382903,[ 2 58] ; [11 38],[ 7.1559633 52.8440367] ; [ 5.8440367 43.1559633],0
r1,1,0.006168,7.500445,[46 17] ; [25 27],[38.89565217 24.10434783] ; [32.10434783 19.89565217],0
u3,1,0.011939,6.319892,[16  5] ; [ 7 12],[12.075  8.925] ; [10.925  8.075],0
d4,1,0.022028,5.243563,[54 10] ; [33 17],[48.84210526 15.15789474] ; [38.15789474 11.84210526],0
u2,1,0.033722,4.508752,[16  4] ; [ 9 10],[12.82051282  7.17948718] ; [12.17948718  6.82051282],0
d5,1,0.06506,3.403449,[48 16] ; [30 21],[43.40869565 20.59130435] ; [34.59130435 16.40869565],0
s4,1,0.076008,3.148253,[14 50] ; [ 5 47],[10.48275862 53.51724138] ; [ 8.51724138 43.48275862],0
r3,1,0.084594,2.974359,[52 12] ; [35 17],[48. 16.] ; [39. 13.],0
a1,1,0.094046,2.803719,[ 3 61] ; [ 7 45],[ 5.51724138 58.48275862] ; [ 4.48275862 47.51724138],0
r4,1,0.099923,2.706779,[44 20] ; [28 24],[39.72413793 24.27586207] ; [32.27586207 19.72413793],0
p4,1,0.116504,2.463701,[22 42] ; [11 41],[18.20689655 45.79310345] ; [14.79310345 37.20689655],0
s8,1,0.17035,1.879862,[18 46] ; [ 9 43],[14.89655172 49.10344828] ; [12.10344828 39.89655172],0
p7,1,0.181996,1.78125,[18 46] ; [20 30],[21.33333333 42.66666667] ; [16.66666667 33.33333333],0
n1,1,0.197513,1.660667,[ 8 20] ; [11 13],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
n2,1,0.22053,1.500917,[16 12] ; [19  7],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
a6,1,0.255498,1.292989,[36 28] ; [34 17],[38.95652174 25.04347826] ; [31.04347826 19.95652174],0
a5,1,0.264996,1.242469,[41 23] ; [28 24],[38.06896552 25.93103448] ; [30.93103448 21.06896552],0
a4,1,0.339976,0.910522,[29 35] ; [19 33],[26.48275862 37.51724138] ; [21.51724138 30.48275862],0
