Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.2e-05,19.134499,[254  32] ; [55 25],[241.45901639  44.54098361] ; [67.54098361 12.45901639],1
v2,1,0.000454,12.293862,[183  99] ; [34 45],[169.51246537 112.48753463] ; [47.48753463 31.51246537],1
a8,1,0.001374,10.240168,[ 56 200] ; [ 4 69],[ 46.68693009 209.31306991] ; [13.31306991 59.68693009],0
s5,1,0.001722,9.824783,[116 162] ; [46 28],[127.94318182 150.05681818] ; [34.05681818 39.94318182],0
s2,1,0.003063,8.769372,[200  87] ; [69 11],[210.36239782  76.63760218] ; [58.63760218 21.36239782],0
b3,1,0.008092,7.013042,[ 96 113] ; [11 34],[ 88.04330709 120.95669291] ; [18.95669291 26.04330709],0
b2,1,0.008092,7.013042,[ 96 113] ; [11 34],[ 88.04330709 120.95669291] ; [18.95669291 26.04330709],0
v3,1,0.014017,6.035974,[137 141] ; [27 53],[127.35195531 150.64804469] ; [36.64804469 43.35195531],0
s3,1,0.016664,5.731384,[204  80] ; [68 12],[212.21978022  71.78021978] ; [59.78021978 20.21978022],0
r4,1,0.032782,4.557142,[267  21] ; [68 12],[262.17391304  25.82608696] ; [72.82608696  7.17391304],0
r1,1,0.04437,4.042442,[245  41] ; [61 19],[239.1147541  46.8852459] ; [66.8852459 13.1147541],0
r3,1,0.048521,3.891835,[279   8] ; [73  6],[276.02185792  10.97814208] ; [75.97814208  3.02185792],0
n5,1,0.058959,3.566442,[239  45] ; [60 20],[233.28571429  50.71428571] ; [65.71428571 14.28571429],0
v1,1,0.066924,3.356888,[172 108] ; [40 40],[164.88888889 115.11111111] ; [47.11111111 32.88888889],0
a5,1,0.085704,2.953264,[231  57] ; [57 23],[225.39130435  62.60869565] ; [62.60869565 17.39130435],0
n6,1,0.090615,2.863408,[256  27] ; [67 13],[251.815427  31.184573] ; [71.184573  8.815427],0
v4,1,0.093767,2.808479,[280   5] ; [75  4],[277.9532967   7.0467033] ; [77.0467033  1.9532967],0
p5,1,0.112543,2.518139,[ 54 233] ; [ 9 71],[ 49.26702997 237.73297003] ; [13.73297003 66.26702997],0
n3,1,0.150614,2.066024,[38 20] ; [15  3],[40.44736842 17.55263158] ; [12.55263158  5.44736842],0
a3,1,0.154335,2.028877,[238  48] ; [61 19],[233.64480874  52.35519126] ; [65.35519126 14.64480874],0
p9,1,0.16713,1.908496,[264  22] ; [69 10],[260.9260274  25.0739726] ; [72.0739726  6.9260274],0
d4,1,0.182349,1.778379,[247  40] ; [64 16],[243.20708447  43.79291553] ; [67.79291553 12.20708447],0
n2,1,0.189527,1.721288,[43 15] ; [16  2],[45.02631579 12.97368421] ; [13.97368421  4.02631579],0
n1,1,0.215231,1.535889,[29 29] ; [ 6 12],[26.71052632 31.28947368] ; [8.28947368 9.71052632],0
d3,1,0.238594,1.388884,[204  84] ; [62 18],[208.17391304  79.82608696] ; [57.82608696 22.17391304],0
u4,1,0.252337,1.31032,[ 11 277] ; [ 1 79],[  9.39130435 278.60869565] ; [ 2.60869565 77.39130435],0
p8,1,0.263668,1.249394,[172 112] ; [52 25],[176.22160665 107.77839335] ; [47.77839335 29.22160665],0
p4,1,0.287894,1.129443,[211  76] ; [54 26],[207.23433243  79.76566757] ; [57.76566757 22.23433243],0
b5,1,0.291222,1.113962,[161 127] ; [50 30],[165.13043478 122.86956522] ; [45.86956522 34.13043478],0
s8,1,0.321802,0.981609,[199  87] ; [51 29],[195.35519126  90.64480874] ; [54.64480874 25.35519126],0
s6,1,0.341921,0.903214,[234  49] ; [68 10],[236.74792244  46.25207756] ; [65.25207756 12.74792244],0
p10,1,0.388255,0.744402,[252  33] ; [67 12],[249.76648352  35.23351648] ; [69.23351648  9.76648352],0
a1,1,0.393788,0.727213,[ 18 270] ; [ 3 77],[ 16.43478261 271.56521739] ; [ 4.56521739 75.43478261],0
p12,1,0.427366,0.629971,[ 30 256] ; [ 6 74],[ 28.13114754 257.86885246] ; [ 7.86885246 72.13114754],0
a7,1,0.445876,0.581115,[207  81] ; [54 26],[204.26086957  83.73913043] ; [56.73913043 23.26086957],0
p6,1,0.485765,0.485894,[133 151] ; [40 38],[135.72375691 148.27624309] ; [37.27624309 40.72375691],0
p1,1,0.537942,0.379366,[ 32 255] ; [ 7 73],[ 30.4986376 256.5013624] ; [ 8.5013624 71.4986376],0
a6,1,0.57455,0.315128,[184 103] ; [54 26],[186.11989101 100.88010899] ; [51.88010899 28.11989101],0
p3,1,0.613714,0.254802,[174 113] ; [46 34],[172.04359673 114.95640327] ; [47.95640327 32.04359673],0
r2,1,0.642743,0.215172,[272  11] ; [75  4],[271.27348066  11.72651934] ; [75.72651934  3.27348066],0
p7,1,0.653872,0.201054,[211  71] ; [58 17],[212.48739496  69.51260504] ; [56.51260504 18.48739496],0
d2,1,0.683651,0.166044,[155 133] ; [41 39],[153.39130435 134.60869565] ; [42.60869565 37.39130435],0
u1,1,0.696878,0.15174,[ 66 222] ; [20 60],[ 67.30434783 220.69565217] ; [18.69565217 61.30434783],0
s1,1,0.748262,0.102998,[ 12 272] ; [ 4 75],[ 12.51790634 271.48209366] ; [ 3.48209366 75.51790634],0
u2,1,0.785125,0.074336,[32 16] ; [12  7],[31.52238806 16.47761194] ; [12.47761194  6.52238806],0
a2,1,0.786468,0.073387,[ 80 208] ; [21 59],[ 79.04347826 208.95652174] ; [21.95652174 58.04347826],0
p11,1,0.801033,0.063509,[234  54] ; [64 16],[233.2173913  54.7826087] ; [64.7826087 15.2173913],0
b4,1,0.816619,0.053775,[159 129] ; [43 37],[158.08695652 129.91304348] ; [43.91304348 36.08695652],0
b1,1,0.838346,0.04162,[108 180] ; [31 49],[108.7826087 179.2173913] ; [30.2173913 49.7826087],0
d1,1,0.927953,0.008176,[178 110] ; [49 31],[177.65217391 110.34782609] ; [49.34782609 30.65217391],0
a4,1,0.970289,0.001387,[137 150] ; [38 42],[136.85286104 150.14713896] ; [38.14713896 41.85286104],0
u3,1,0.973256,0.001124,[34 16] ; [13  6],[34.05797101 15.94202899] ; [12.94202899  6.05797101],0
d5,1,0.986961,0.000267,[237  50] ; [66 14],[236.95095368  50.04904632] ; [66.04904632 13.95095368],0
