Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,40.164911,[115   6] ; [5 8],[108.35820896  12.64179104] ; [11.64179104  1.35820896],1
r4,1,0.0,38.407549,[109  12] ; [ 3 10],[101.13432836  19.86567164] ; [10.86567164  2.13432836],1
r1,1,9e-06,19.782834,[91 30] ; [ 2 11],[83.97761194 37.02238806] ; [9.02238806 3.97761194],1
r3,1,6.2e-05,16.02753,[111  10] ; [7 6],[106.55223881  14.44776119] ; [11.44776119  1.55223881],1
a7,1,0.002389,9.223699,[80 41] ; [ 3 10],[74.94776119 46.05223881] ; [8.05223881 4.94776119],0
d1,1,0.00728,7.202523,[66 55] ; [ 2 11],[61.40298507 59.59701493] ; [6.59701493 6.40298507],0
d5,1,0.01352,6.099728,[87 34] ; [5 8],[83.07462687 37.92537313] ; [8.92537313 4.07462687],0
a4,1,0.028905,4.773271,[56 63] ; [ 2 11],[52.28787879 66.71212121] ; [5.71212121 7.28787879],0
v2,1,0.046695,3.956338,[60 55] ; [ 3 10],[56.6015625 58.3984375] ; [6.3984375 6.6015625],0
a5,1,0.049149,3.870255,[80 41] ; [5 8],[76.75373134 44.24626866] ; [8.24626866 4.75373134],0
p1,1,0.060584,3.521318,[  9 112] ; [ 3 10],[ 10.8358209 110.1641791] ; [ 1.1641791 11.8358209],0
d3,1,0.062045,3.481868,[70 51] ; [4 9],[66.82089552 54.17910448] ; [7.17910448 5.82089552],0
p10,1,0.064004,3.430456,[77 42] ; [5 8],[73.92424242 45.07575758] ; [8.07575758 4.92424242],0
a3,1,0.070207,3.278172,[77 43] ; [5 8],[73.98496241 46.01503759] ; [8.01503759 4.98496241],0
s7,1,0.072281,3.230453,[50 65] ; [ 2 10],[47.08661417 67.91338583] ; [4.91338583 7.08661417],0
a6,1,0.087988,2.910802,[76 45] ; [5 8],[73.14179104 47.85820896] ; [7.85820896 5.14179104],0
p9,1,0.106725,2.602064,[77 41] ; [5 7],[74.43076923 43.56923077] ; [7.56923077 4.43076923],0
a8,1,0.174113,1.847166,[  7 108] ; [ 2 10],[  8.1496063 106.8503937] ; [ 0.8503937 11.1496063],0
s8,1,0.17556,1.834811,[51 69] ; [ 3 10],[48.72180451 71.27819549] ; [5.27819549 7.72180451],0
v1,1,0.178518,1.809918,[50 68] ; [ 3 10],[47.74045802 70.25954198] ; [5.25954198 7.74045802],0
d2,1,0.197308,1.662187,[59 60] ; [4 9],[56.79545455 62.20454545] ; [6.20454545 6.79545455],0
s5,1,0.21254,1.554038,[37 78] ; [ 2 11],[35.0390625 79.9609375] ; [3.9609375 9.0390625],0
