Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,27.072334,[95  9] ; [15 15],[85.37313433 18.62686567] ; [24.62686567  5.37313433],1
n4,1,0.0,26.139306,[91 13] ; [13 17],[80.71641791 23.28358209] ; [23.28358209  6.71641791],1
p10,1,0.001243,10.424767,[83 18] ; [16 14],[76.32824427 24.67175573] ; [22.67175573  7.32824427],0
p9,1,0.00376,8.396366,[83 19] ; [16 13],[77.08396947 24.91603053] ; [21.91603053  7.08396947],0
s7,1,0.006515,7.402074,[55 39] ; [ 9 21],[48.51612903 45.48387097] ; [15.48387097 14.51612903],0
s8,1,0.009028,6.817356,[48 55] ; [ 6 24],[41.81954887 61.18045113] ; [12.18045113 17.81954887],0
s4,1,0.017695,5.626134,[ 8 95] ; [ 7 23],[11.61654135 91.38345865] ; [ 3.38345865 26.61654135],0
p6,1,0.027889,4.834915,[40 62] ; [ 5 24],[35.03816794 66.96183206] ; [ 9.96183206 19.03816794],0
p7,1,0.030694,4.670001,[69 32] ; [14 16],[63.99236641 37.00763359] ; [19.00763359 10.99236641],0
d3,1,0.052948,3.745573,[38 65] ; [17 13],[42.59398496 60.40601504] ; [12.40601504 17.59398496],0
b4,1,0.059335,3.555866,[60 44] ; [23  7],[64.41791045 39.58208955] ; [18.58208955 11.41791045],0
n1,1,0.062109,3.480145,[12 10] ; [1 6],[ 9.86206897 12.13793103] ; [3.13793103 3.86206897],0
a8,1,0.100027,2.705114,[15 83] ; [ 1 27],[12.44444444 85.55555556] ; [ 3.55555556 24.44444444],0
s2,1,0.140637,2.170978,[53 49] ; [11 19],[49.45454545 52.54545455] ; [14.54545455 15.45454545],0
v2,1,0.150693,2.065219,[74 28] ; [17 12],[70.85496183 31.14503817] ; [20.14503817  8.85496183],0
r1,1,0.206989,1.592361,[84 20] ; [21  9],[81.49253731 22.50746269] ; [23.50746269  6.49253731],0
p11,1,0.207963,1.585548,[78 26] ; [19 11],[75.28358209 28.71641791] ; [21.71641791  8.28358209],0
p4,1,0.243331,1.361194,[56 45] ; [13 17],[53.19847328 47.80152672] ; [15.80152672 14.19847328],0
p3,1,0.264785,1.243568,[56 46] ; [13 17],[53.31818182 48.68181818] ; [15.68181818 14.31818182],0
d4,1,0.268815,1.222786,[57 46] ; [20 10],[59.63157895 43.36842105] ; [17.36842105 12.63157895],0
p2,1,0.280395,1.165172,[78 24] ; [20 10],[75.72727273 26.27272727] ; [22.27272727  7.72727273],0
d5,1,0.284666,1.14468,[60 44] ; [14 16],[57.43283582 46.56716418] ; [16.56716418 13.43283582],0
s3,1,0.305219,1.051252,[54 46] ; [13 17],[51.53846154 48.46153846] ; [15.46153846 14.53846154],0
a7,1,0.311529,1.024184,[61 41] ; [21  9],[63.36363636 38.63636364] ; [18.63636364 11.36363636],0
p5,1,0.314111,1.013309,[18 84] ; [ 3 27],[16.22727273 85.77272727] ; [ 4.77272727 25.22727273],0
a2,1,0.328594,0.954431,[ 9 95] ; [ 1 29],[ 7.76119403 96.23880597] ; [ 2.23880597 27.76119403],0
n2,1,0.334428,0.931677,[20  3] ; [5 2],[19.16666667  3.83333333] ; [5.83333333 1.16666667],0
s6,1,0.348215,0.87995,[68 32] ; [17 12],[65.89147287 34.10852713] ; [19.10852713  9.89147287],0
a6,1,0.383575,0.759213,[56 47] ; [19 11],[58.08270677 44.91729323] ; [16.91729323 13.08270677],0
d2,1,0.390144,0.738492,[17 87] ; [ 3 27],[15.52238806 88.47761194] ; [ 4.47761194 25.52238806],0
p12,1,0.431549,0.618651,[ 6 96] ; [ 3 27],[ 6.95454545 95.04545455] ; [ 2.04545455 27.95454545],0
a5,1,0.460822,0.543896,[66 37] ; [17 13],[64.27819549 38.72180451] ; [18.72180451 11.27819549],0
a4,1,0.488052,0.480819,[27 76] ; [ 6 24],[25.55639098 77.44360902] ; [ 7.44360902 22.55639098],0
v4,1,0.54831,0.360354,[97  7] ; [27  3],[96.23880597  7.76119403] ; [27.76119403  2.23880597],0
b5,1,0.550406,0.35659,[56 48] ; [18 12],[57.43283582 46.56716418] ; [16.56716418 13.43283582],0
a3,1,0.612373,0.256733,[67 36] ; [18 12],[65.82706767 37.17293233] ; [19.17293233 10.82706767],0
v1,1,0.642711,0.215214,[62 39] ; [17 13],[60.90839695 40.09160305] ; [18.09160305 11.90839695],0
b2,1,0.662405,0.190616,[27 35] ; [ 6 10],[26.23076923 35.76923077] ; [6.76923077 9.23076923],0
b3,1,0.662405,0.190616,[27 35] ; [ 6 10],[26.23076923 35.76923077] ; [6.76923077 9.23076923],0
p8,1,0.677856,0.172549,[52 50] ; [14 16],[51. 51.] ; [15. 15.],0
r3,1,0.684995,0.164557,[96  8] ; [27  3],[95.46268657  8.53731343] ; [27.53731343  2.46268657],0
a1,1,0.686848,0.162519,[ 5 99] ; [ 2 28],[ 5.43283582 98.56716418] ; [ 1.56716418 28.43283582],0
s1,1,0.709869,0.138407,[ 5 96] ; [ 1 29],[ 4.6259542 96.3740458] ; [ 1.3740458 28.6259542],0
u2,1,0.738005,0.111888,[19 17] ; [7 5],[19.5 16.5] ; [6.5 5.5],0
n3,1,0.752976,0.099047,[17  5] ; [5 2],[16.68965517  5.31034483] ; [5.31034483 1.68965517],0
p1,1,0.816998,0.05355,[12 90] ; [ 4 26],[12.36363636 89.63636364] ; [ 3.63636364 26.36363636],0
b1,1,0.845852,0.037796,[43 61] ; [13 17],[43.46268657 60.53731343] ; [12.53731343 17.46268657],0
u3,1,0.852304,0.034663,[19 18] ; [6 5],[19.27083333 17.72916667] ; [5.72916667 5.27083333],0
r2,1,0.854979,0.033405,[98  6] ; [28  2],[97.79104478  6.20895522] ; [28.20895522  1.79104478],0
s5,1,0.921682,0.009666,[32 68] ; [ 9 20],[31.78294574 68.21705426] ; [ 9.21705426 19.78294574],0
r4,1,0.927484,0.008283,[93 11] ; [27  3],[93.13432836 10.86567164] ; [26.86567164  3.13432836],0
