Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,41.797752,[ 1 25] ; [116  49],[15.92670157 10.07329843] ; [101.07329843  63.92670157],1
d4,1,0.000105,15.053377,[15 11] ; [145  20],[21.78010471  4.21989529] ; [138.21989529  26.78010471],1
d2,1,0.00011,14.948832,[ 7 19] ; [110  55],[15.92670157 10.07329843] ; [101.07329843  63.92670157],1
a4,1,0.000134,14.582324,[ 5 21] ; [98 67],[14.02094241 11.97905759] ; [88.97905759 76.02094241],1
v2,1,0.00023,13.572568,[ 6 19] ; [101  59],[14.45945946 10.54054054] ; [92.54054054 67.45945946],1
d3,1,0.001897,9.646606,[11 15] ; [120  45],[17.83246073  8.16753927] ; [113.16753927  51.83246073],0
p10,1,0.002207,9.368551,[15 11] ; [137  27],[20.8  5.2] ; [131.2  32.8],0
a5,1,0.003969,8.297933,[15 11] ; [136  29],[20.55497382  5.44502618] ; [130.44502618  34.55497382],0
a2,1,0.012334,6.262169,[ 3 23] ; [ 60 105],[ 8.57591623 17.42408377] ; [ 54.42408377 110.57591623],0
a6,1,0.023266,5.148522,[13 13] ; [119  46],[17.96858639  8.03141361] ; [114.03141361  50.96858639],0
s6,1,0.037434,4.330564,[17  9] ; [135  28],[20.91005291  5.08994709] ; [131.08994709  31.91005291],0
a3,1,0.043087,4.092002,[17  9] ; [136  29],[20.82722513  5.17277487] ; [132.17277487  32.82722513],0
v3,1,0.060959,3.511112,[ 6 19] ; [68 87],[10.27777778 14.72222222] ; [63.72222222 91.27777778],0
v4,1,0.064974,3.405629,[22  4] ; [154   9],[24.21164021  1.78835979] ; [151.78835979  11.21164021],0
p9,1,0.077728,3.111769,[19  7] ; [141  22],[22.01058201  3.98941799] ; [137.98941799  25.01058201],0
r2,1,0.084207,2.981778,[23  3] ; [155   6],[24.7486631  1.2513369] ; [153.2513369   7.7486631],0
p3,1,0.085615,2.954956,[ 7 19] ; [74 91],[11.02617801 14.97382199] ; [69.97382199 95.02617801],0
b5,1,0.094357,2.798416,[14 12] ; [116  49],[17.69633508  8.30366492] ; [112.30366492  52.69633508],0
s8,1,0.099018,2.721286,[13 13] ; [110  55],[16.7434555  9.2565445] ; [106.2565445  58.7434555],0
p4,1,0.100337,2.700186,[10 16] ; [92 73],[13.88481675 12.11518325] ; [88.11518325 76.88481675],0
s2,1,0.122361,2.386833,[15 11] ; [119  45],[18.33684211  7.66315789] ; [115.66315789  48.33684211],0
r3,1,0.122979,2.378961,[23  3] ; [157   7],[24.63157895  1.36842105] ; [155.36842105   8.63157895],0
b4,1,0.129604,2.297245,[11 15] ; [96 69],[14.56544503 11.43455497] ; [92.43455497 72.56544503],0
p11,1,0.135051,2.233458,[15 11] ; [119  46],[18.2408377  7.7591623] ; [115.7591623  49.2408377],0
r1,1,0.163962,1.937296,[18  8] ; [133  31],[20.66315789  5.33684211] ; [130.33684211  33.66315789],0
p5,1,0.16557,1.922601,[ 3 22] ; [  8 153],[ 1.47849462 23.52150538] ; [  9.52150538 151.47849462],0
p1,1,0.173534,1.852144,[ 3 23] ; [  8 157],[ 1.4973822 24.5026178] ; [  9.5026178 155.4973822],0
