Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.005389,7.743956,[12  3] ; [ 4 10],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
p6,1,0.011235,6.427706,[9 6] ; [ 2 12],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
p4,1,0.035078,4.441387,[9 6] ; [ 3 11],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
a8,1,0.065436,3.393939,[5 9] ; [ 1 13],[ 3. 11.] ; [ 3. 11.],0
d3,1,0.089019,2.892033,[6 9] ; [10  4],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
a6,1,0.095547,2.778345,[10  5] ; [5 9],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
a5,1,0.095882,2.772736,[11  4] ; [6 8],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
s8,1,0.121573,2.396939,[6 9] ; [ 2 12],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
d5,1,0.153046,2.041629,[8 7] ; [11  3],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
p3,1,0.190932,1.710408,[9 6] ; [5 9],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
d1,1,0.190932,1.710408,[6 9] ; [9 5],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
p9,1,0.195646,1.674579,[11  4] ; [7 7],[9.31034483 5.68965517] ; [8.68965517 5.31034483],0
r2,1,0.224765,1.473684,[8 6] ; [11  3],[9.5 4.5] ; [9.5 4.5],0
v1,1,0.23099,1.434756,[ 5 10] ; [ 2 12],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
b2,1,0.250829,1.318681,[4 9] ; [4 3],[5.2 7.8] ; [2.8 4.2],0
b3,1,0.250829,1.318681,[4 9] ; [4 3],[5.2 7.8] ; [2.8 4.2],0
n2,1,0.293718,1.1025,[3 1] ; [2 3],[2.22222222 1.77777778] ; [2.77777778 2.22222222],0
s7,1,0.340018,0.910364,[6 8] ; [3 9],[4.84615385 9.15384615] ; [4.15384615 7.84615385],0
n5,1,0.359339,0.840201,[11  4] ; [8 6],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
b1,1,0.36249,0.829248,[10  5] ; [7 7],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
n3,1,0.465209,0.533333,[3 1] ; [2 2],[2.5 1.5] ; [2.5 1.5],0
p8,1,0.472423,0.516303,[5 9] ; [ 3 10],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
a3,1,0.473521,0.513747,[10  5] ; [11  3],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
p1,1,0.500802,0.453236,[ 1 14] ; [ 2 12],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
b4,1,0.517613,0.418647,[9 6] ; [10  4],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
r4,1,0.549563,0.3581,[7 8] ; [5 9],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
s4,1,0.564144,0.332579,[ 2 13] ; [ 3 11],[ 2.5862069 12.4137931] ; [ 2.4137931 11.5862069],0
p11,1,0.572645,0.318277,[7 8] ; [8 6],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
s2,1,0.572645,0.318277,[7 8] ; [8 6],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
v2,1,0.572645,0.318277,[7 8] ; [8 6],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
p2,1,0.588439,0.292788,[9 6] ; [7 7],[8.27586207 6.72413793] ; [7.72413793 6.27586207],0
v3,1,0.662521,0.190476,[ 4 10] ; [ 3 11],[ 3.5 10.5] ; [ 3.5 10.5],0
d4,1,0.741854,0.108503,[11  4] ; [11  3],[11.37931034  3.62068966] ; [10.62068966  3.37931034],0
n6,1,0.812126,0.056494,[9 6] ; [9 5],[9.31034483 5.68965517] ; [8.68965517 5.31034483],0
s6,1,0.841596,0.039941,[7 6] ; [7 7],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
u2,1,0.850436,0.035556,[2 3] ; [1 2],[1.875 3.125] ; [1.125 1.875],0
a7,1,0.857541,0.032222,[7 8] ; [7 7],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
r1,1,0.857541,0.032222,[7 8] ; [7 7],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
n1,1,0.857714,0.032143,[3 1] ; [4 1],[3.11111111 0.88888889] ; [3.88888889 1.11111111],0
d2,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
p10,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
n4,1,0.892772,0.01817,[10  5] ; [9 5],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
a4,1,0.892772,0.01817,[ 5 10] ; [5 9],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
s5,1,0.900552,0.015616,[ 4 10] ; [4 9],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
r3,1,0.908697,0.013152,[11  4] ; [10  4],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
s1,1,0.940754,0.005524,[ 2 13] ; [ 2 12],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
p12,1,1.0,0.0,[ 1 13] ; [ 1 13],[ 1. 13.] ; [ 1. 13.],0
