Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.211765,[33  2] ; [1 6],[28.33333333  6.66666667] ; [5.66666667 1.33333333],1
n6,1,0.006481,7.411391,[32  2] ; [4 3],[29.85365854  4.14634146] ; [6.14634146 0.85365854],0
d2,1,0.067605,3.340235,[23 12] ; [2 5],[20.83333333 14.16666667] ; [4.16666667 2.83333333],0
s6,1,0.084471,2.976706,[25  8] ; [3 4],[23.1  9.9] ; [4.9 2.1],0
v1,1,0.176287,1.828648,[23 10] ; [3 4],[21.45 11.55] ; [4.55 2.45],0
a4,1,0.194924,1.68,[14 21] ; [1 6],[12.5 22.5] ; [2.5 4.5],0
a7,1,0.194924,1.68,[21 14] ; [6 1],[22.5 12.5] ; [4.5 2.5],0
s5,1,0.308063,1.038961,[21 12] ; [3 4],[19.8 13.2] ; [4.2 2.8],0
b4,1,0.325062,0.968471,[22 13] ; [3 4],[20.83333333 14.16666667] ; [4.16666667 2.83333333],0
a3,1,0.359397,0.84,[26  9] ; [4 3],[25. 10.] ; [5. 2.],0
v2,1,0.375825,0.784314,[16 18] ; [4 2],[17. 17.] ; [3. 3.],0
p8,1,0.43825,0.600861,[20 14] ; [3 4],[19.07317073 14.92682927] ; [3.92682927 3.07317073],0
s7,1,0.477099,0.505488,[19 14] ; [3 4],[18.15 14.85] ; [3.85 3.15],0
d5,1,0.482096,0.494118,[29  6] ; [5 2],[28.33333333  6.66666667] ; [5.66666667 1.33333333],0
b5,1,0.488174,0.480549,[20 15] ; [3 4],[19.16666667 15.83333333] ; [3.83333333 3.16666667],0
a5,1,0.516937,0.42,[26  9] ; [6 1],[26.66666667  8.33333333] ; [5.33333333 1.66666667],0
p7,1,0.529134,0.396054,[19 15] ; [3 4],[18.24390244 15.75609756] ; [3.75609756 3.24390244],0
d1,1,0.558185,0.342857,[24 11] ; [4 3],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
s2,1,0.569764,0.323077,[14 21] ; [2 5],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
s8,1,0.626924,0.236255,[16 18] ; [4 3],[16.58536585 17.41463415] ; [3.41463415 3.58536585],0
p3,1,0.665706,0.186667,[23 12] ; [4 3],[22.5 12.5] ; [4.5 2.5],0
b1,1,0.678845,0.171429,[17 18] ; [4 3],[17.5 17.5] ; [3.5 3.5],0
p2,1,0.725238,0.123529,[28  7] ; [6 1],[28.33333333  6.66666667] ; [5.66666667 1.33333333],0
u3,1,0.735317,0.114286,[5 4] ; [2 1],[5.25 3.75] ; [1.75 1.25],0
b2,1,0.743421,0.107143,[12 13] ; [2 3],[11.66666667 13.33333333] ; [2.33333333 2.66666667],0
b3,1,0.743421,0.107143,[12 13] ; [2 3],[11.66666667 13.33333333] ; [2.33333333 2.66666667],0
p12,1,0.852745,0.034454,[ 4 30] ; [1 6],[ 4.14634146 29.85365854] ; [0.85365854 6.14634146],0
r2,1,0.8531,0.034286,[29  6] ; [6 1],[29.16666667  5.83333333] ; [5.83333333 1.16666667],0
r1,1,0.875284,0.024633,[26  9] ; [5 2],[25.83333333  9.16666667] ; [5.16666667 1.83333333],0
d3,1,0.881342,0.022281,[24 11] ; [5 2],[24.16666667 10.83333333] ; [4.83333333 2.16666667],0
a6,1,0.888196,0.019765,[21 14] ; [4 3],[20.83333333 14.16666667] ; [4.16666667 2.83333333],0
s3,1,0.889732,0.019222,[16 19] ; [3 4],[15.83333333 19.16666667] ; [3.16666667 3.83333333],0
a8,1,0.898141,0.016387,[ 4 28] ; [1 6],[ 4.1025641 27.8974359] ; [0.8974359 6.1025641],0
p4,1,0.909048,0.013051,[25  9] ; [5 2],[24.87804878  9.12195122] ; [5.12195122 1.87804878],0
r4,1,1.0,0.0,[30  5] ; [6 1],[30.  5.] ; [6. 1.],0
v3,1,1.0,0.0,[17 17] ; [3 3],[17. 17.] ; [3. 3.],0
u1,1,1.0,0.0,[ 5 30] ; [1 6],[ 5. 30.] ; [1. 6.],0
d4,1,1.0,0.0,[30  5] ; [6 1],[30.  5.] ; [6. 1.],0
