Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.9e-05,17.471888,[50 17] ; [ 3 13],[42.78313253 24.21686747] ; [10.21686747  5.78313253],1
v4,1,0.00024,13.489547,[61  5] ; [9 7],[56.34146341  9.65853659] ; [13.65853659  2.34146341],1
r1,1,0.000691,11.512011,[40 27] ; [ 2 14],[33.90361446 33.09638554] ; [8.09638554 7.90361446],1
p11,1,0.016736,5.723888,[50 17] ; [7 9],[46.01204819 20.98795181] ; [10.98795181  5.01204819],0
a3,1,0.017164,5.679569,[30 37] ; [ 2 14],[25.8313253 41.1686747] ; [6.1686747 9.8313253],0
p10,1,0.01722,5.673799,[40 26] ; [ 4 11],[35.85185185 30.14814815] ; [8.14814815 6.85185185],0
s7,1,0.017795,5.616188,[25 40] ; [ 1 14],[21.125 43.875] ; [ 4.875 10.125],0
v1,1,0.06572,3.386801,[24 42] ; [ 2 14],[20.92682927 45.07317073] ; [ 5.07317073 10.92682927],0
v3,1,0.065903,3.382226,[18 46] ; [ 1 15],[15.2 48.8] ; [ 3.8 12.2],0
b1,1,0.067005,3.354904,[29 38] ; [11  5],[32.28915663 34.71084337] ; [7.71084337 8.28915663],0
u3,1,0.0759,3.150579,[15 22] ; [ 2 12],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
r3,1,0.081963,3.025532,[52 15] ; [9 7],[49.24096386 17.75903614] ; [11.75903614  4.24096386],0
a5,1,0.086931,2.930301,[28 39] ; [ 3 13],[25.02409639 41.97590361] ; [ 5.97590361 10.02409639],0
s8,1,0.106961,2.598562,[22 45] ; [ 2 14],[19.37349398 47.62650602] ; [ 4.62650602 11.37349398],0
a4,1,0.111216,2.53685,[16 50] ; [ 1 15],[13.68292683 52.31707317] ; [ 3.31707317 12.68292683],0
b2,1,0.122606,2.383709,[15 28] ; [1 9],[12.98113208 30.01886792] ; [3.01886792 6.98113208],0
b3,1,0.122606,2.383709,[15 28] ; [1 9],[12.98113208 30.01886792] ; [3.01886792 6.98113208],0
s6,1,0.131011,2.280479,[34 31] ; [ 5 11],[31.2962963 33.7037037] ; [7.7037037 8.2962963],0
d5,1,0.158238,1.990988,[25 42] ; [ 3 13],[22.60240964 44.39759036] ; [ 5.39759036 10.60240964],0
a6,1,0.160355,1.970873,[34 33] ; [ 5 11],[31.48192771 35.51807229] ; [7.51807229 8.48192771],0
p4,1,0.179392,1.80265,[29 38] ; [ 4 12],[26.63855422 40.36144578] ; [6.36144578 9.63855422],0
s5,1,0.185469,1.753247,[13 51] ; [ 1 15],[11.2 52.8] ; [ 2.8 13.2],0
n1,1,0.198203,1.655568,[13 15] ; [2 7],[11.35135135 16.64864865] ; [3.64864865 5.35135135],0
b5,1,0.202391,1.625033,[30 37] ; [10  6],[32.28915663 34.71084337] ; [7.71084337 8.28915663],0
p6,1,0.228161,1.452287,[19 48] ; [ 2 13],[17.15853659 49.84146341] ; [ 3.84146341 11.15853659],0
s3,1,0.235752,1.405817,[31 34] ; [ 5 11],[28.88888889 36.11111111] ; [7.11111111 8.88888889],0
s2,1,0.255617,1.292339,[22 44] ; [ 3 13],[20.12195122 45.87804878] ; [ 4.87804878 11.12195122],0
p9,1,0.271502,1.209143,[41 25] ; [7 8],[39.11111111 26.88888889] ; [8.88888889 6.11111111],0
n3,1,0.29627,1.090909,[20  7] ; [5 4],[18.75  8.25] ; [6.25 2.75],0
n2,1,0.341864,0.903429,[21  8] ; [5 4],[19.84210526  9.15789474] ; [6.15789474 2.84210526],0
s1,1,0.385237,0.753923,[ 4 61] ; [ 2 14],[ 4.81481481 60.18518519] ; [ 1.18518519 14.81481481],0
n4,1,0.473919,0.512823,[48 19] ; [10  6],[46.81927711 20.18072289] ; [11.18072289  4.81927711],0
a8,1,0.497124,0.461071,[ 8 53] ; [ 3 12],[ 8.82894737 52.17105263] ; [ 2.17105263 12.82894737],0
n5,1,0.502287,0.450102,[49 18] ; [13  3],[50.04819277 16.95180723] ; [11.95180723  4.04819277],0
s4,1,0.518351,0.417173,[12 55] ; [ 4 12],[12.91566265 54.08433735] ; [ 3.08433735 12.91566265],0
n6,1,0.553385,0.351288,[47 20] ; [10  6],[46.01204819 20.98795181] ; [10.98795181  5.01204819],0
p2,1,0.555804,0.347021,[43 24] ; [9 7],[41.97590361 25.02409639] ; [10.02409639  5.97590361],0
p1,1,0.609221,0.261311,[ 7 60] ; [ 1 15],[ 6.45783133 60.54216867] ; [ 1.54216867 14.45783133],0
p3,1,0.619262,0.246907,[21 46] ; [ 4 12],[20.18072289 46.81927711] ; [ 4.81927711 11.18072289],0
p5,1,0.665983,0.186337,[ 6 61] ; [ 2 14],[ 6.45783133 60.54216867] ; [ 1.54216867 14.45783133],0
p8,1,0.730439,0.118709,[24 43] ; [ 5 11],[23.40963855 43.59036145] ; [ 5.59036145 10.40963855],0
