Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,50.835507,[181  69] ; [38 77],[150. 100.] ; [69. 46.],1
p6,1,0.0,32.360539,[145 104] ; [29 83],[120.0166205 128.9833795] ; [53.9833795 58.0166205],1
p8,1,1.6e-05,18.567978,[167  81] ; [49 64],[148.38781163  99.61218837] ; [67.61218837 45.38781163],1
p5,1,2.8e-05,17.540132,[ 54 192] ; [  5 109],[ 40.31666667 205.68333333] ; [18.68333333 95.31666667],1
n5,1,0.00032,12.9497,[214  35] ; [79 34],[201.53867403  47.46132597] ; [91.46132597 21.53867403],1
p2,1,0.000659,11.60156,[224  25] ; [88 27],[213.42857143  35.57142857] ; [98.57142857 16.42857143],1
p7,1,0.000945,10.932872,[191  57] ; [64 43],[178.14084507  69.85915493] ; [76.85915493 30.14084507],1
d1,1,0.003453,8.551213,[180  70] ; [65 50],[167.80821918  82.19178082] ; [77.19178082 37.80821918],0
n4,1,0.010382,6.568197,[215  34] ; [86 28],[206.47107438  42.52892562] ; [94.52892562 19.47107438],0
d3,1,0.02703,4.888878,[183  67] ; [71 44],[173.97260274  76.02739726] ; [80.02739726 34.97260274],0
a5,1,0.03668,4.365218,[210  40] ; [86 29],[202.73972603  47.26027397] ; [93.26027397 21.73972603],0
n6,1,0.041354,4.161456,[225  23] ; [95 19],[219.22651934  28.77348066] ; [100.77348066  13.22651934],0
d2,1,0.043847,4.062461,[152  98] ; [57 58],[143.15068493 106.84931507] ; [65.84931507 49.15068493],0
v1,1,0.045037,4.017238,[163  80] ; [61 48],[154.63636364  88.36363636] ; [69.36363636 39.63636364],0
a2,1,0.048836,3.880985,[ 77 173] ; [24 91],[ 69.17808219 180.82191781] ; [31.82191781 83.17808219],0
u1,1,0.054577,3.694952,[ 64 186] ; [19 96],[ 56.84931507 193.15068493] ; [26.15068493 88.84931507],0
p12,1,0.078214,3.101619,[ 36 213] ; [  9 105],[ 30.8677686 218.1322314] ; [14.1322314 99.8677686],0
n2,1,0.082774,3.009567,[32 17] ; [25  5],[35.35443038 13.64556962] ; [21.64556962  8.35443038],0
a3,1,0.083234,3.000592,[206  44] ; [85 29],[199.86263736  50.13736264] ; [91.13736264 22.86263736],0
s2,1,0.09332,2.816151,[185  63] ; [76 39],[178.31404959  69.68595041] ; [82.68595041 32.31404959],0
u4,1,0.094189,2.801274,[ 14 236] ; [  2 113],[ 10.95890411 239.04109589] ; [  5.04109589 109.95890411],0
d4,1,0.140775,2.169466,[218  31] ; [94 21],[213.42857143  35.57142857] ; [98.57142857 16.42857143],0
s5,1,0.157318,1.999823,[115 122] ; [44 65],[108.91040462 128.08959538] ; [50.08959538 58.91040462],0
r1,1,0.208348,1.58287,[213  35] ; [92 22],[208.95027624  39.04972376] ; [96.04972376 17.95027624],0
p10,1,0.227634,1.455582,[232  17] ; [102  12],[229.10743802  19.89256198] ; [104.89256198   9.10743802],0
u2,1,0.259897,1.269307,[30 14] ; [16 13],[27.7260274 16.2739726] ; [18.2739726 10.7260274],0
a4,1,0.288225,1.127892,[128 122] ; [52 63],[123.28767123 126.71232877] ; [56.71232877 58.28767123],0
v2,1,0.310852,1.027051,[143  99] ; [70 38],[147.27428571  94.72571429] ; [65.72571429 42.27428571],0
a1,1,0.313688,1.015082,[ 15 235] ; [  4 111],[ 13.01369863 236.98630137] ; [  5.98630137 109.01369863],0
v4,1,0.318677,0.994368,[242   6] ; [110   5],[240.48484848   7.51515152] ; [111.51515152   3.48484848],0
s6,1,0.357477,0.846737,[212  34] ; [94 20],[209.1  36.9] ; [96.9 17.1],0
s7,1,0.409974,0.678877,[188  49] ; [86 28],[185.00854701  51.99145299] ; [88.99145299 25.00854701],0
b1,1,0.471182,0.519202,[ 99 151] ; [41 74],[ 95.89041096 154.10958904] ; [44.10958904 70.89041096],0
s1,1,0.501786,0.451158,[ 10 237] ; [  3 111],[  8.89473684 238.10526316] ; [  4.10526316 109.89473684],0
a6,1,0.503979,0.446549,[169  81] ; [73 41],[166.20879121  83.79120879] ; [75.79120879 38.20879121],0
b4,1,0.556582,0.345657,[143 107] ; [62 53],[140.4109589 109.5890411] ; [64.5890411 50.4109589],0
b3,1,0.575957,0.312817,[81 92] ; [34 45],[78.9484127 94.0515873] ; [36.0515873 42.9484127],0
b2,1,0.575957,0.312817,[81 92] ; [34 45],[78.9484127 94.0515873] ; [36.0515873 42.9484127],0
r3,1,0.582549,0.302132,[242   8] ; [110   5],[241.09589041   8.90410959] ; [110.90410959   4.09589041],0
d5,1,0.609262,0.261251,[213  36] ; [96 19],[211.37637363  37.62362637] ; [97.62362637 17.37637363],0
r4,1,0.616319,0.251075,[234  16] ; [106   9],[232.87671233  17.12328767] ; [107.12328767   7.87671233],0
p1,1,0.621457,0.243825,[ 28 220] ; [ 11 104],[ 26.6446281 221.3553719] ; [ 12.3553719 102.6446281],0
s4,1,0.655345,0.199228,[ 47 202] ; [24 91],[ 48.56868132 200.43131868] ; [22.43131868 92.56868132],0
p11,1,0.660075,0.193432,[209  41] ; [94 21],[207.53424658  42.46575342] ; [95.46575342 19.53424658],0
s3,1,0.674473,0.176414,[181  65] ; [87 28],[182.62603878  63.37396122] ; [85.37396122 29.62603878],0
v3,1,0.679258,0.170963,[115 123] ; [51 60],[113.2034384 124.7965616] ; [52.7965616 58.2034384],0
u3,1,0.712061,0.136227,[29 15] ; [21  9],[29.72972973 14.27027027] ; [20.27027027  9.72972973],0
a8,1,0.745053,0.105735,[ 41 190] ; [20 84],[ 42.06268657 188.93731343] ; [18.93731343 85.06268657],0
