Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000228,13.588816,[10 28] ; [41 23],[19. 19.] ; [32. 32.],1
a8,1,0.016612,5.736869,[ 2 35] ; [13 40],[ 6.16666667 30.83333333] ; [ 8.83333333 44.16666667],0
p9,1,0.033236,4.533601,[28 10] ; [54  6],[31.79591837  6.20408163] ; [50.20408163  9.79591837],0
p8,1,0.063021,3.456041,[10 27] ; [28 33],[14.34693878 22.65306122] ; [23.65306122 37.34693878],0
a6,1,0.080205,3.060748,[18 20] ; [41 22],[22.1980198 15.8019802] ; [36.8019802 26.1980198],0
n3,1,0.092373,2.832522,[6 5] ; [15  3],[7.96551724 3.03448276] ; [13.03448276  4.96551724],0
b5,1,0.111881,2.527454,[17 21] ; [39 25],[20.8627451 17.1372549] ; [35.1372549 28.8627451],0
p11,1,0.115331,2.479607,[31  7] ; [43 21],[27.56862745 10.43137255] ; [46.43137255 17.56862745],0
d2,1,0.137266,2.208344,[23 15] ; [29 35],[19.37254902 18.62745098] ; [32.62745098 31.37254902],0
p3,1,0.146772,2.105479,[14 24] ; [15 49],[10.80392157 27.19607843] ; [18.19607843 45.80392157],0
v3,1,0.207407,1.589437,[ 8 30] ; [20 41],[10.74747475 27.25252525] ; [17.25252525 43.74747475],0
u1,1,0.269516,1.219209,[ 4 34] ; [12 52],[ 5.96078431 32.03921569] ; [10.03921569 53.96078431],0
a1,1,0.280716,1.163619,[ 3 35] ; [ 2 62],[ 1.8627451 36.1372549] ; [ 3.1372549 60.8627451],0
v1,1,0.285817,1.139221,[22 15] ; [30 32],[19.43434343 17.56565657] ; [32.56565657 29.43434343],0
p6,1,0.295526,1.094276,[10 26] ; [12 52],[ 7.92 28.08] ; [14.08 49.92],0
p2,1,0.297454,1.085572,[26 12] ; [49 14],[28.21782178  9.78217822] ; [46.78217822 16.21782178],0
s6,1,0.298293,1.081811,[28  9] ; [53 10],[29.97  7.03] ; [51.03 11.97],0
r2,1,0.306343,1.046376,[36  2] ; [60  1],[36.84848485  1.15151515] ; [59.15151515  1.84848485],0
d5,1,0.320225,0.988028,[27 11] ; [51 13],[29.05882353  8.94117647] ; [48.94117647 15.05882353],0
a3,1,0.353196,0.86194,[29  8] ; [44 19],[27.01  9.99] ; [45.99 17.01],0
b3,1,0.3574,0.847008,[13 13] ; [15 24],[11.2 14.8] ; [16.8 22.2],0
b2,1,0.3574,0.847008,[13 13] ; [15 24],[11.2 14.8] ; [16.8 22.2],0
r1,1,0.369072,0.806788,[28 10] ; [52 12],[29.80392157  8.19607843] ; [50.19607843 13.80392157],0
s3,1,0.39743,0.716089,[28 10] ; [40 21],[26.1010101 11.8989899] ; [41.8989899 19.1010101],0
v2,1,0.441793,0.59162,[18 19] ; [34 26],[19.83505155 17.16494845] ; [32.16494845 27.83505155],0
p5,1,0.442434,0.589963,[ 2 36] ; [ 6 57],[ 3.00990099 34.99009901] ; [ 4.99009901 58.00990099],0
p10,1,0.447031,0.578169,[29  9] ; [52 11],[30.47524752  7.52475248] ; [50.52475248 12.47524752],0
r4,1,0.477425,0.504739,[32  6] ; [57  7],[33.15686275  4.84313725] ; [55.84313725  8.15686275],0
s7,1,0.484997,0.487606,[19 19] ; [36 27],[20.69306931 17.30693069] ; [34.30693069 28.69306931],0
n5,1,0.489669,0.477253,[26 11] ; [40 23],[24.42 12.58] ; [41.58 21.42],0
d1,1,0.504955,0.444508,[17 21] ; [33 31],[18.62745098 19.37254902] ; [31.37254902 32.62745098],0
s4,1,0.514636,0.42463,[11 26] ; [15 48],[ 9.62 27.38] ; [16.38 46.62],0
p12,1,0.520063,0.413768,[ 5 32] ; [ 6 58],[ 4.02970297 32.97029703] ; [ 6.97029703 57.02970297],0
n2,1,0.565927,0.329545,[10  1] ; [15  3],[9.48275862 1.51724138] ; [15.51724138  2.48275862],0
p1,1,0.582738,0.30183,[ 3 35] ; [ 7 55],[ 3.8 34.2] ; [ 6.2 55.8],0
s1,1,0.590666,0.289306,[ 2 36] ; [ 2 62],[ 1.49019608 36.50980392] ; [ 2.50980392 61.49019608],0
p7,1,0.615677,0.25199,[22 15] ; [32 27],[20.8125 16.1875] ; [33.1875 25.8125],0
r3,1,0.658082,0.195862,[34  4] ; [58  5],[34.61386139  3.38613861] ; [57.38613861  5.61386139],0
s2,1,0.678544,0.171769,[24 14] ; [43 21],[24.96078431 13.03921569] ; [42.03921569 21.96078431],0
n6,1,0.695433,0.153267,[30  7] ; [53 10],[30.71  6.29] ; [52.29 10.71],0
d4,1,0.714106,0.134211,[31  7] ; [54 10],[31.66666667  6.33333333] ; [53.33333333 10.66666667],0
n1,1,0.72759,0.121336,[6 5] ; [11  7],[6.44827586 4.55172414] ; [10.55172414  7.44827586],0
s8,1,0.73873,0.111246,[20 18] ; [31 32],[19.18811881 18.81188119] ; [31.81188119 31.18811881],0
a4,1,0.787734,0.072498,[15 23] ; [27 37],[15.64705882 22.35294118] ; [26.35294118 37.64705882],0
