Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,6.2e-05,16.045781,[33  5] ; [20 25],[24.26506024 13.73493976] ; [28.73493976 16.26506024],1
p5,1,0.012371,6.256859,[ 7 30] ; [ 1 43],[ 3.65432099 33.34567901] ; [ 4.34567901 39.65432099],0
s4,1,0.014868,5.932058,[16 22] ; [ 8 37],[10.98795181 27.01204819] ; [13.01204819 31.98795181],0
s6,1,0.016156,5.785861,[33  4] ; [30 15],[28.42682927  8.57317073] ; [34.57317073 10.42682927],0
r4,1,0.018029,5.593343,[29  9] ; [23 22],[23.80722892 14.19277108] ; [28.19277108 16.80722892],0
p6,1,0.022535,5.203983,[18 19] ; [11 34],[13.08536585 23.91463415] ; [15.91463415 29.08536585],0
b3,1,0.033224,4.534186,[ 9 15] ; [ 4 27],[ 5.67272727 18.32727273] ; [ 7.32727273 23.67272727],0
b2,1,0.033224,4.534186,[ 9 15] ; [ 4 27],[ 5.67272727 18.32727273] ; [ 7.32727273 23.67272727],0
r2,1,0.045194,4.011374,[34  3] ; [33 11],[30.60493827  6.39506173] ; [36.39506173  7.60493827],0
s7,1,0.06502,3.404471,[23 13] ; [19 25],[18.9 17.1] ; [23.1 20.9],0
d3,1,0.082134,3.022156,[27 11] ; [23 21],[23.17073171 14.82926829] ; [26.82926829 17.17073171],0
b5,1,0.085378,2.959424,[21 17] ; [33 12],[24.72289157 13.27710843] ; [29.27710843 15.72289157],0
v4,1,0.134033,2.245163,[35  2] ; [37  7],[32.88888889  4.11111111] ; [39.11111111  4.88888889],0
d4,1,0.157006,2.002832,[32  6] ; [32 13],[29.30120482  8.69879518] ; [34.69879518 10.30120482],0
a6,1,0.184294,1.762652,[19 19] ; [29 16],[21.97590361 16.02409639] ; [26.02409639 18.97590361],0
a5,1,0.230223,1.439485,[26 12] ; [25 20],[23.34939759 14.65060241] ; [27.65060241 17.34939759],0
n6,1,0.230913,1.435232,[32  6] ; [33 12],[29.75903614  8.24096386] ; [35.24096386  9.75903614],0
n3,1,0.298698,1.08,[7 8] ; [8 4],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
d5,1,0.301695,1.066687,[29  9] ; [29 15],[26.87804878 11.12195122] ; [31.12195122 12.87804878],0
a7,1,0.320344,0.987539,[24 14] ; [23 21],[21.7804878 16.2195122] ; [25.2195122 18.7804878],0
a1,1,0.335953,0.925813,[ 6 32] ; [ 4 41],[ 4.57831325 33.42168675] ; [ 5.42168675 39.57831325],0
a2,1,0.339487,0.912369,[ 2 36] ; [ 5 40],[ 3.20481928 34.79518072] ; [ 3.79518072 41.20481928],0
p11,1,0.342308,0.901767,[27 11] ; [36  9],[28.84337349  9.15662651] ; [34.15662651 10.84337349],0
p8,1,0.36812,0.81,[18 18] ; [18 27],[16. 20.] ; [20. 25.],0
n4,1,0.394476,0.725099,[21 17] ; [29 16],[22.89156627 15.10843373] ; [27.10843373 17.89156627],0
n5,1,0.410454,0.677485,[22 16] ; [30 15],[23.80722892 14.19277108] ; [28.19277108 16.80722892],0
v1,1,0.434173,0.611635,[20 17] ; [19 23],[18.26582278 18.73417722] ; [20.73417722 21.26582278],0
p7,1,0.439619,0.597277,[19 17] ; [27 17],[20.7 15.3] ; [25.3 18.7],0
s3,1,0.451335,0.567297,[29  9] ; [31 14],[27.46987952 10.53012048] ; [32.53012048 12.46987952],0
p2,1,0.452966,0.563219,[27 10] ; [36  9],[28.42682927  8.57317073] ; [34.57317073 10.42682927],0
a4,1,0.455452,0.557049,[13 25] ; [12 33],[11.44578313 26.55421687] ; [13.55421687 31.44578313],0
u3,1,0.463744,0.536842,[10  6] ; [9 9],[8.94117647 7.05882353] ; [10.05882353  7.94117647],0
d1,1,0.478579,0.502099,[19 19] ; [19 26],[17.39759036 20.60240964] ; [20.60240964 24.39759036],0
u2,1,0.491967,0.472222,[9 7] ; [ 8 10],[8. 8.] ; [9. 9.],0
v2,1,0.495844,0.46382,[17 18] ; [18 26],[15.50632911 19.49367089] ; [19.49367089 24.50632911],0
n1,1,0.500352,0.454189,[6 9] ; [3 8],[5.19230769 9.80769231] ; [3.80769231 7.19230769],0
p1,1,0.503944,0.44662,[ 4 33] ; [ 3 42],[ 3.15853659 33.84146341] ; [ 3.84146341 41.15853659],0
p12,1,0.510407,0.433233,[ 3 35] ; [ 2 43],[ 2.28915663 35.71084337] ; [ 2.71084337 42.28915663],0
b1,1,0.520666,0.412573,[17 21] ; [17 28],[15.56626506 22.43373494] ; [18.43373494 26.56626506],0
d2,1,0.522016,0.409909,[11 27] ; [16 29],[12.36144578 25.63855422] ; [14.63855422 30.36144578],0
a8,1,0.531273,0.391957,[ 2 34] ; [ 4 39],[ 2.73417722 33.26582278] ; [ 3.26582278 39.73417722],0
p9,1,0.598824,0.276773,[32  5] ; [37  8],[31.13414634  5.86585366] ; [37.86585366  7.13414634],0
r3,1,0.695502,0.153194,[34  4] ; [39  6],[33.42168675  4.57831325] ; [39.57831325  5.42168675],0
p4,1,0.817852,0.053042,[21 17] ; [26 19],[21.51807229 16.48192771] ; [25.48192771 19.51807229],0
n2,1,0.824653,0.049091,[12  3] ; [10  2],[12.22222222  2.77777778] ; [9.77777778 2.22222222],0
a3,1,0.845929,0.037758,[22 16] ; [27 18],[22.43373494 15.56626506] ; [26.56626506 18.43373494],0
u1,1,0.86225,0.030106,[ 2 36] ; [ 2 43],[ 1.8313253 36.1686747] ; [ 2.1686747 42.8313253],0
v3,1,0.876226,0.024259,[ 9 26] ; [12 32],[ 9.30379747 25.69620253] ; [11.69620253 32.30379747],0
p10,1,0.894189,0.017691,[30  7] ; [37  8],[30.23170732  6.76829268] ; [36.76829268  8.23170732],0
s8,1,0.919651,0.010176,[19 19] ; [23 22],[19.22891566 18.77108434] ; [22.77108434 22.22891566],0
p3,1,0.949113,0.004073,[18 20] ; [21 24],[17.85542169 20.14457831] ; [21.14457831 23.85542169],0
