Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.00241,9.207516,[25 44] ; [ 5 41],[18. 51.] ; [12. 34.],0
s8,1,0.003642,8.454115,[28 42] ; [ 7 40],[20.94017094 49.05982906] ; [14.05982906 32.94017094],0
s2,1,0.003656,8.447458,[33 36] ; [10 37],[25.57758621 43.42241379] ; [17.42241379 29.57758621],0
d4,1,0.006266,7.472296,[62  8] ; [32 15],[56.23931624 13.76068376] ; [37.76068376  9.23931624],0
p10,1,0.007915,7.052566,[60  8] ; [32 15],[54.4 13.6] ; [37.6  9.4],0
s3,1,0.010626,6.526773,[36 34] ; [13 34],[29.31623932 40.68376068] ; [19.68376068 27.31623932],0
p4,1,0.011011,6.463564,[59 11] ; [30 17],[53.24786325 16.75213675] ; [35.75213675 11.24786325],0
b4,1,0.013805,6.062865,[50 20] ; [23 24],[43.67521368 26.32478632] ; [29.32478632 17.67521368],0
r4,1,0.091491,2.847948,[67  3] ; [41  6],[64.61538462  5.38461538] ; [43.38461538  3.61538462],0
s4,1,0.108027,2.582854,[13 54] ; [ 4 43],[ 9.99122807 57.00877193] ; [ 7.00877193 39.99122807],0
p2,1,0.127363,2.32435,[59 11] ; [44  3],[61.62393162  8.37606838] ; [41.37606838  5.62393162],0
u3,1,0.134332,2.241715,[16 11] ; [ 7 12],[13.5 13.5] ; [9.5 9.5],0
a8,1,0.166966,1.909974,[10 54] ; [ 3 41],[ 7.7037037 56.2962963] ; [ 5.2962963 38.7037037],0
d5,1,0.170469,1.878816,[59 11] ; [34 12],[56.12068966 13.87931034] ; [36.87931034  9.12068966],0
a4,1,0.187161,1.739822,[35 34] ; [18 29],[31.52586207 37.47413793] ; [21.47413793 25.52586207],0
r1,1,0.223832,1.479632,[56 14] ; [33 14],[53.24786325 16.75213675] ; [35.75213675 11.24786325],0
p8,1,0.225929,1.466307,[52 18] ; [30 17],[49.05982906 20.94017094] ; [32.94017094 14.05982906],0
n3,1,0.241696,1.370677,[5 4] ; [11  3],[6.26086957 2.73913043] ; [9.73913043 4.26086957],0
p11,1,0.245346,1.349611,[62  8] ; [38  9],[59.82905983 10.17094017] ; [40.17094017  6.82905983],0
p5,1,0.252954,1.306915,[ 7 63] ; [ 2 45],[ 5.38461538 64.61538462] ; [ 3.61538462 43.38461538],0
a5,1,0.270729,1.213051,[50 20] ; [29 18],[47.26495726 22.73504274] ; [31.73504274 15.26495726],0
b3,1,0.286785,1.134652,[15 24] ; [13 12],[17.0625 21.9375] ; [10.9375 14.0625],0
b2,1,0.286785,1.134652,[15 24] ; [13 12],[17.0625 21.9375] ; [10.9375 14.0625],0
p3,1,0.304692,1.053544,[41 29] ; [23 24],[38.29059829 31.70940171] ; [25.70940171 21.29059829],0
