Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-06,21.033654,[37 63] ; [54 21],[52. 48.] ; [39. 36.],1
a8,1,0.00015,14.37413,[ 2 91] ; [14 56],[ 9.12883436 83.87116564] ; [ 6.87116564 63.12883436],1
d4,1,0.004934,7.903641,[82 18] ; [46 27],[73.98843931 26.01156069] ; [54.01156069 18.98843931],0
u3,1,0.016948,5.701754,[28 12] ; [10 15],[23.38461538 16.61538462] ; [14.61538462 10.38461538],0
p3,1,0.036945,4.352958,[39 60] ; [18 56],[32.61849711 66.38150289] ; [24.38150289 49.61849711],0
p9,1,0.085478,2.957532,[55 44] ; [50 23],[60.43604651 38.56395349] ; [44.56395349 28.43604651],0
d3,1,0.086663,2.935294,[65 35] ; [38 35],[59.53757225 40.46242775] ; [43.46242775 29.53757225],0
p7,1,0.111504,2.532774,[41 57] ; [39 33],[46.11764706 51.88235294] ; [33.88235294 38.11764706],0
b4,1,0.148301,2.089638,[59 41] ; [36 39],[54.28571429 45.71428571] ; [40.71428571 34.28571429],0
s1,1,0.154642,2.025851,[ 8 92] ; [ 2 69],[ 5.84795322 94.15204678] ; [ 4.15204678 66.84795322],0
a6,1,0.161958,1.955848,[60 40] ; [52 22],[64.36781609 35.63218391] ; [47.63218391 26.36781609],0
p1,1,0.178708,1.808335,[11 88] ; [ 4 71],[ 8.53448276 90.46551724] ; [ 6.46551724 68.53448276],0
r3,1,0.179557,1.801288,[85 15] ; [57 17],[81.6091954 18.3908046] ; [60.3908046 13.6091954],0
r1,1,0.205694,1.601479,[71 28] ; [47 28],[67.13793103 31.86206897] ; [50.86206897 24.13793103],0
n2,1,0.209482,1.575,[21 14] ; [21  7],[23.33333333 11.66666667] ; [18.66666667  9.33333333],0
d1,1,0.218355,1.515152,[48 52] ; [29 46],[44. 56.] ; [33. 42.],0
n1,1,0.240584,1.377167,[11 24] ; [12 14],[13.19672131 21.80327869] ; [ 9.80327869 16.19672131],0
s4,1,0.246858,1.340996,[20 80] ; [10 65],[17.14285714 82.85714286] ; [12.85714286 62.14285714],0
a3,1,0.248095,1.334001,[59 41] ; [50 24],[62.64367816 37.35632184] ; [46.35632184 27.64367816],0
u2,1,0.2508,1.318841,[28 12] ; [14 11],[25.84615385 14.15384615] ; [16.15384615  8.84615385],0
a1,1,0.261649,1.260012,[ 5 95] ; [ 7 68],[ 6.85714286 93.14285714] ; [ 5.14285714 69.85714286],0
d5,1,0.264775,1.243619,[74 26] ; [49 25],[70.68965517 29.31034483] ; [52.31034483 21.68965517],0
p10,1,0.310691,1.027737,[50 49] ; [42 30],[53.26315789 45.73684211] ; [38.73684211 33.26315789],0
