Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.046366,3.968254,[13  2] ; [8 7],[10.5  4.5] ; [10.5  4.5],0
p7,1,0.048954,3.876923,[6 9] ; [10  3],[8.57142857 6.42857143] ; [7.42857143 5.57142857],0
p4,1,0.05818,3.588517,[7 8] ; [12  3],[9.5 5.5] ; [9.5 5.5],0
p11,1,0.067889,3.333333,[10  5] ; [14  1],[12.  3.] ; [12.  3.],0
s4,1,0.067889,3.333333,[ 1 14] ; [ 5 10],[ 3. 12.] ; [ 3. 12.],0
v3,1,0.121335,2.4,[7 8] ; [ 3 12],[ 5. 10.] ; [ 5. 10.],0
p3,1,0.136037,2.222222,[ 4 11] ; [8 7],[6. 9.] ; [6. 9.],0
p10,1,0.191071,1.709342,[11  4] ; [12  1],[12.32142857  2.67857143] ; [10.67857143  2.32142857],0
n4,1,0.231998,1.428571,[12  3] ; [9 6],[10.5  4.5] ; [10.5  4.5],0
a5,1,0.255704,1.291866,[11  4] ; [8 7],[9.5 5.5] ; [9.5 5.5],0
n1,1,0.280087,1.166667,[5 3] ; [2 4],[4. 4.] ; [3. 3.],0
p5,1,0.282745,1.153846,[ 1 14] ; [ 3 12],[ 2. 13.] ; [ 2. 13.],0
n6,1,0.344085,0.895153,[12  3] ; [9 5],[10.86206897  4.13793103] ; [10.13793103  3.86206897],0
a4,1,0.456057,0.555556,[7 8] ; [ 5 10],[6. 9.] ; [6. 9.],0
b4,1,0.464214,0.535714,[9 6] ; [7 8],[8. 7.] ; [8. 7.],0
d1,1,0.464214,0.535714,[8 7] ; [6 9],[7. 8.] ; [7. 8.],0
v4,1,0.511612,0.430769,[12  3] ; [9 4],[11.25  3.75] ; [9.75 3.25],0
u2,1,0.527089,0.4,[2 3] ; [3 2],[2.5 2.5] ; [2.5 2.5],0
b2,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
b3,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
s6,1,0.598702,0.276958,[11  4] ; [9 5],[10.34482759  4.65517241] ; [9.65517241 4.34482759],0
p2,1,0.624206,0.24,[13  2] ; [12  3],[12.5  2.5] ; [12.5  2.5],0
n3,1,0.639994,0.21875,[5 3] ; [3 3],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
r3,1,0.665984,0.186335,[11  4] ; [12  3],[11.5  3.5] ; [11.5  3.5],0
s7,1,0.683949,0.165714,[12  3] ; [12  2],[12.4137931  2.5862069] ; [11.5862069  2.4137931],0
v1,1,0.704738,0.14359,[6 7] ; [8 7],[6.5 6.5] ; [7.5 7.5],0
b1,1,0.712547,0.135747,[7 8] ; [6 9],[6.5 8.5] ; [6.5 8.5],0
d2,1,0.712547,0.135747,[7 8] ; [6 9],[6.5 8.5] ; [6.5 8.5],0
b5,1,0.712547,0.135747,[8 7] ; [9 6],[8.5 6.5] ; [8.5 6.5],0
a7,1,0.715001,0.133333,[7 8] ; [8 7],[7.5 7.5] ; [7.5 7.5],0
d3,1,0.715001,0.133333,[8 7] ; [7 8],[7.5 7.5] ; [7.5 7.5],0
s5,1,0.744785,0.105965,[ 4 10] ; [ 3 10],[ 3.62962963 10.37037037] ; [3.37037037 9.62962963],0
r1,1,0.781793,0.07672,[ 5 10] ; [ 4 10],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
p6,1,0.875948,0.02437,[6 9] ; [6 8],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
s3,1,0.884799,0.020993,[10  5] ; [9 4],[10.17857143  4.82142857] ; [8.82142857 4.17857143],0
s2,1,0.892772,0.01817,[10  5] ; [9 5],[9.82758621 5.17241379] ; [9.17241379 4.82758621],0
a8,1,0.916299,0.011045,[ 1 14] ; [ 1 12],[ 1.07142857 13.92857143] ; [ 0.92857143 12.07142857],0
n5,1,0.924393,0.009006,[12  3] ; [11  3],[11.89655172  3.10344828] ; [11.10344828  2.89655172],0
p9,1,0.940754,0.005524,[13  2] ; [12  2],[12.93103448  2.06896552] ; [12.06896552  1.93103448],0
d4,1,1.0,0.0,[12  3] ; [12  3],[12.  3.] ; [12.  3.],0
v2,1,1.0,0.0,[8 7] ; [8 7],[8. 7.] ; [8. 7.],0
u3,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
a6,1,1.0,0.0,[7 8] ; [7 8],[7. 8.] ; [7. 8.],0
a3,1,1.0,0.0,[10  5] ; [10  5],[10.  5.] ; [10.  5.],0
a2,1,1.0,0.0,[ 2 13] ; [ 2 13],[ 2. 13.] ; [ 2. 13.],0
r2,1,1.0,0.0,[7 6] ; [7 6],[7. 6.] ; [7. 6.],0
