Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,97.068022,[221 108] ; [ 38 140],[168.06903353 160.93096647] ; [90.93096647 87.06903353],1
p6,1,0.0,68.876275,[166 162] ; [ 23 153],[123. 205.] ; [ 66. 110.],1
p7,1,0.0,41.738102,[242  86] ; [75 94],[209.20724346 118.79275654] ; [107.79275654  61.20724346],1
p2,1,0.0,40.168365,[301  28] ; [125  54],[275.89370079  53.10629921] ; [150.10629921  28.89370079],1
p8,1,0.0,35.305616,[211 116] ; [ 64 110],[179.49101796 147.50898204] ; [95.50898204 78.49101796],1
p10,1,3.5e-05,17.098466,[288  39] ; [131  47],[271.31287129  55.68712871] ; [147.68712871  30.31287129],1
v1,1,4.3e-05,16.714746,[203 119] ; [76 97],[181.49090909 140.50909091] ; [97.50909091 75.49090909],1
p11,1,4.5e-05,16.637037,[275  55] ; [121  58],[256.73870334  73.26129666] ; [139.26129666  39.73870334],1
s6,1,0.0001,15.13846,[237  83] ; [101  76],[217.62575453 102.37424547] ; [120.37424547  56.62575453],1
n5,1,0.000262,13.327347,[264  63] ; [117  60],[247.19642857  79.80357143] ; [133.80357143  43.19642857],1
n6,1,0.00043,12.396819,[289  38] ; [136  42],[275.1980198  51.8019802] ; [149.8019802  28.1980198],1
s8,1,0.000682,11.538202,[163 163] ; [ 61 117],[144.88888889 181.11111111] ; [79.11111111 98.88888889],1
s2,1,0.000762,11.33139,[185 138] ; [ 74 104],[166.98003992 156.01996008] ; [92.01996008 85.98003992],1
s7,1,0.000794,11.255811,[172 138] ; [ 68 104],[154.35684647 155.64315353] ; [85.64315353 86.35684647],1
r4,1,0.001471,10.114677,[310  20] ; [153  26],[300.17681729  29.82318271] ; [162.82318271  16.17681729],0
p5,1,0.001745,9.800505,[ 49 278] ; [ 10 168],[ 38.2039604 288.7960396] ; [ 20.7960396 157.2039604],0
n4,1,0.002869,8.888749,[277  52] ; [131  48],[264.23622047  64.76377953] ; [143.76377953  35.23622047],0
r1,1,0.004224,8.185018,[289  37] ; [141  37],[278.13492063  47.86507937] ; [151.86507937  26.13492063],0
u1,1,0.00594,7.568339,[104 226] ; [ 36 143],[ 90.76620825 239.23379175] ; [ 49.23379175 129.76620825],0
p9,1,0.006022,7.543761,[293  35] ; [140  34],[282.91633466  45.08366534] ; [150.08366534  23.91633466],0
p12,1,0.007268,7.205451,[ 39 291] ; [  8 168],[ 30.65217391 299.34782609] ; [ 16.34782609 159.65217391],0
v4,1,0.00751,7.146758,[317  10] ; [162  15],[310.7797619  16.2202381] ; [168.2202381   8.7797619],0
s5,1,0.016529,5.745712,[121 197] ; [ 46 123],[109.04722793 208.95277207] ; [ 57.95277207 111.04722793],0
d1,1,0.024904,5.030575,[240  90] ; [113  66],[228.86051081 101.13948919] ; [124.13948919  54.86051081],0
s3,1,0.027737,4.844324,[188 133] ; [85 91],[176.32394366 144.67605634] ; [96.67605634 79.32394366],0
p1,1,0.045298,4.007509,[ 36 292] ; [ 10 168],[ 29.81818182 298.18181818] ; [ 16.18181818 161.81818182],0
u3,1,0.0638,3.43575,[48 19] ; [21 18],[43.61320755 23.38679245] ; [25.38679245 13.61320755],0
a8,1,0.083381,2.99774,[ 37 251] ; [ 31 133],[ 43.32743363 244.67256637] ; [ 24.67256637 139.32743363],0
v2,1,0.09607,2.769601,[205 114] ; [95 73],[196.50924025 122.49075975] ; [103.49075975  64.50924025],0
d3,1,0.097111,2.752352,[274  56] ; [137  41],[266.98818898  63.01181102] ; [144.01181102  33.98818898],0
r3,1,0.100892,2.691386,[315  13] ; [164  13],[311.11287129  16.88712871] ; [167.88712871   9.11287129],0
d2,1,0.138276,2.197044,[198 131] ; [95 83],[190.1321499 138.8678501] ; [102.8678501  75.1321499],0
v3,1,0.150987,2.062248,[132 183] ; [ 61 112],[124.57991803 190.42008197] ; [ 68.42008197 104.57991803],0
b5,1,0.159365,1.980245,[210 120] ; [125  54],[217.19056974 112.80943026] ; [117.80943026  61.19056974],0
u2,1,0.178093,1.813462,[42 27] ; [18 20],[38.69158879 30.30841121] ; [21.30841121 16.69158879],0
r2,1,0.179358,1.802937,[314  12] ; [163  11],[311.004  14.996] ; [165.996   8.004],0
s4,1,0.240092,1.380055,[ 55 269] ; [ 23 154],[ 50.44311377 273.55688623] ; [ 27.55688623 149.44311377],0
b3,1,0.261299,1.26186,[ 83 132] ; [30 64],[ 78.62459547 136.37540453] ; [34.37540453 59.62459547],0
b2,1,0.261299,1.26186,[ 83 132] ; [30 64],[ 78.62459547 136.37540453] ; [34.37540453 59.62459547],0
a2,1,0.287036,1.133473,[132 198] ; [ 63 116],[126.42436149 203.57563851] ; [ 68.57563851 110.42436149],0
b1,1,0.293677,1.10269,[128 202] ; [ 61 118],[122.53438114 207.46561886] ; [ 66.46561886 112.53438114],0
n3,1,0.354272,0.858097,[43 16] ; [35 19],[40.72566372 18.27433628] ; [37.27433628 16.72566372],0
a1,1,0.378636,0.775125,[ 21 309] ; [  8 171],[ 18.80157171 311.19842829] ; [ 10.19842829 168.80157171],0
s1,1,0.400229,0.707639,[ 12 315] ; [  4 171],[ 10.42231076 316.57768924] ; [  5.57768924 169.42231076],0
d4,1,0.50473,0.444976,[287  43] ; [151  27],[284.52755906  45.47244094] ; [153.47244094  24.52755906],0
d5,1,0.552817,0.352295,[288  42] ; [152  26],[285.82677165  44.17322835] ; [154.17322835  23.82677165],0
a6,1,0.612025,0.257237,[270  60] ; [148  29],[272.07100592  57.92899408] ; [145.92899408  31.07100592],0
n2,1,0.687121,0.16222,[42 17] ; [41 14],[42.95614035 16.04385965] ; [40.04385965 14.95614035],0
a4,1,0.723286,0.125366,[180 149] ; [95 84],[178.1003937 150.8996063] ; [96.8996063 82.1003937],0
u4,1,0.732689,0.116657,[  9 320] ; [  4 175],[  8.41929134 320.58070866] ; [  4.58070866 174.41929134],0
n1,1,0.814196,0.055233,[21 38] ; [20 33],[21.59821429 37.40178571] ; [19.40178571 33.59821429],0
b4,1,0.819967,0.051796,[197 133] ; [105  74],[195.7956778 134.2043222] ; [106.2043222  72.7956778],0
a3,1,0.998918,2e-06,[261  69] ; [140  37],[261.00591716  68.99408284] ; [139.99408284  37.00591716],0
