Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.469613,[26  8] ; [44 94],[13.8372093 20.1627907] ; [56.1627907 81.8372093],1
p2,1,3.5e-05,17.09832,[33  2] ; [79 60],[22.52873563 12.47126437] ; [89.47126437 49.52873563],1
p8,1,0.000138,14.534293,[21 14] ; [ 36 102],[11.53179191 23.46820809] ; [45.46820809 92.53179191],1
p4,1,0.000757,11.34291,[21 14] ; [41 98],[12.47126437 22.52873563] ; [49.52873563 89.47126437],1
p3,1,0.002564,9.09467,[18 17] ; [ 35 104],[10.66091954 24.33908046] ; [42.33908046 96.66091954],0
s7,1,0.002851,8.900146,[13 21] ; [ 20 111],[ 6.8 27.2] ; [ 26.2 104.8],0
a7,1,0.009895,6.653689,[28  6] ; [82 58],[21.49425287 12.50574713] ; [88.50574713 51.49425287],0
p9,1,0.013835,6.059091,[28  7] ; [78 58],[21.69590643 13.30409357] ; [84.30409357 51.69590643],0
v4,1,0.016681,5.72967,[33  2] ; [105  33],[27.91907514  7.08092486] ; [110.08092486  27.91907514],0
r3,1,0.019376,5.467294,[32  3] ; [101  38],[26.75287356  8.24712644] ; [106.24712644  32.75287356],0
b4,1,0.022836,5.180921,[13 22] ; [82 58],[19. 16.] ; [76. 64.],0
r4,1,0.022858,5.1793,[28  7] ; [83 57],[22.2 12.8] ; [88.8 51.2],0
s4,1,0.034413,4.47408,[ 7 28] ; [ 11 129],[ 3.6 31.4] ; [ 14.4 125.6],0
n6,1,0.041021,4.175157,[28  7] ; [85 53],[22.86127168 12.13872832] ; [90.13872832 47.86127168],0
r2,1,0.056292,3.643397,[32  2] ; [111  27],[28.26744186  5.73255814] ; [114.73255814  23.26744186],0
b3,1,0.056419,3.639645,[11  9] ; [27 57],[ 7.30769231 12.69230769] ; [30.69230769 53.30769231],0
b2,1,0.056419,3.639645,[11  9] ; [27 57],[ 7.30769231 12.69230769] ; [30.69230769 53.30769231],0
s8,1,0.074755,3.175403,[ 7 28] ; [ 13 127],[ 4. 31.] ; [ 16. 124.],0
p10,1,0.110973,2.540306,[24 11] ; [74 64],[19.8265896 15.1734104] ; [78.1734104 59.8265896],0
n3,1,0.116169,2.468226,[8 2] ; [26 23],[5.76271186 4.23728814] ; [28.23728814 20.76271186],0
d1,1,0.122823,2.380952,[18 17] ; [52 88],[14. 21.] ; [56. 84.],0
n2,1,0.124795,2.356082,[8 2] ; [28 24],[5.80645161 4.19354839] ; [30.19354839 21.80645161],0
u1,1,0.125395,2.348602,[ 5 30] ; [  9 131],[ 2.8 32.2] ; [ 11.2 128.8],0
d3,1,0.131453,2.27526,[22 11] ; [73 67],[18.12138728 14.87861272] ; [76.87861272 63.12138728],0
v3,1,0.168019,1.900527,[ 7 28] ; [ 15 119],[ 4.55621302 30.44378698] ; [ 17.44378698 116.55621302],0
u2,1,0.176238,1.829062,[9 5] ; [27 34],[6.72 7.28] ; [29.28 31.72],0
a2,1,0.226811,1.460748,[ 7 28] ; [ 17 123],[ 4.8 30.2] ; [ 19.2 120.8],0
v1,1,0.242587,1.365497,[ 7 28] ; [41 96],[ 9.76744186 25.23255814] ; [38.23255814 98.76744186],0
n4,1,0.313426,1.016183,[24 11] ; [83 57],[21.4 13.6] ; [85.6 54.4],0
p11,1,0.319014,0.992983,[23 12] ; [79 61],[20.4 14.6] ; [81.6 58.4],0
a8,1,0.322855,0.977345,[ 5 26] ; [ 13 118],[ 3.44444444 27.55555556] ; [ 14.55555556 116.44444444],0
b1,1,0.397155,0.716922,[12 23] ; [59 81],[14.2 20.8] ; [56.8 83.2],0
a1,1,0.415545,0.662879,[ 1 34] ; [  9 131],[ 2. 33.] ; [  8. 132.],0
s1,1,0.428708,0.626322,[ 1 33] ; [  9 130],[ 1.96531792 32.03468208] ; [  8.03468208 130.96531792],0
s5,1,0.456882,0.553522,[ 4 29] ; [ 11 126],[ 2.91176471 30.08823529] ; [ 12.08823529 124.91176471],0
a6,1,0.486384,0.484516,[23 12] ; [83 57],[21.2 13.8] ; [84.8 55.2],0
a4,1,0.492941,0.470101,[14 21] ; [47 92],[12.27011494 22.72988506] ; [48.72988506 90.27011494],0
n5,1,0.565945,0.329514,[23 12] ; [84 55],[21.52298851 13.47701149] ; [85.47701149 53.52298851],0
a3,1,0.632394,0.228828,[21 13] ; [79 59],[19.76744186 14.23255814] ; [80.23255814 57.76744186],0
s2,1,0.641783,0.216418,[ 7 28] ; [ 23 115],[ 6.06936416 28.93063584] ; [ 23.93063584 114.06936416],0
r1,1,0.67861,0.171694,[20 15] ; [74 65],[18.90804598 16.09195402] ; [75.09195402 63.90804598],0
u3,1,0.697331,0.151263,[7 7] ; [27 34],[6.34666667 7.65333333] ; [27.65333333 33.34666667],0
s3,1,0.7459,0.105009,[ 9 26] ; [39 98],[ 9.76744186 25.23255814] ; [38.23255814 98.76744186],0
b5,1,0.757044,0.095707,[22 13] ; [84 56],[21.2 13.8] ; [84.8 55.2],0
n1,1,0.776896,0.080296,[4 6] ; [18 33],[3.60655738 6.39344262] ; [18.39344262 32.60655738],0
d2,1,0.806742,0.059845,[15 20] ; [56 82],[14.36416185 20.63583815] ; [56.63583815 81.36416185],0
a5,1,0.819547,0.052042,[20 15] ; [77 63],[19.4 15.6] ; [77.6 62.4],0
