Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,8.8e-05,15.384303,[4 7] ; [292  60],[8.96969697 2.03030303] ; [287.03030303  64.96969697],1
r4,1,0.000402,12.52365,[7 4] ; [329  25],[10.1260274  0.8739726] ; [325.8739726  28.1260274],1
d5,1,0.011103,6.448711,[6 5] ; [295  57],[9.12121212 1.87878788] ; [291.87878788  60.12121212],0
s1,1,0.012402,6.252464,[2 9] ; [ 12 339],[ 0.42541436 10.57458564] ; [ 13.57458564 337.42541436],0
d4,1,0.016739,5.723552,[7 4] ; [309  42],[9.60220994 1.39779006] ; [306.39779006  44.60220994],0
d1,1,0.036998,4.350505,[4 7] ; [236 118],[7.23287671 3.76712329] ; [232.76712329 121.23287671],0
v2,1,0.11837,2.438757,[4 7] ; [203 136],[6.50571429 4.49428571] ; [200.49428571 138.50571429],0
b5,1,0.133648,2.249615,[9 2] ; [210 144],[6.6 4.4] ; [212.4 141.6],0
s6,1,0.18129,1.78702,[8 3] ; [302  46],[9.49860724 1.50139276] ; [300.50139276  47.49860724],0
p6,1,0.185797,1.750637,[7 4] ; [151 196],[4.8547486 6.1452514] ; [153.1452514 193.8547486],0
p3,1,0.197022,1.66431,[4 7] ; [196 154],[6.09418283 4.90581717] ; [193.90581717 156.09418283],0
v3,1,0.252669,1.308487,[3 8] ; [151 187],[4.85386819 6.14613181] ; [149.14613181 188.85386819],0
s4,1,0.254413,1.298907,[4 7] ; [ 76 272],[2.45125348 8.54874652] ; [ 77.54874652 270.45125348],0
a5,1,0.263573,1.249893,[10  1] ; [270  83],[8.46153846 2.53846154] ; [271.53846154  81.46153846],0
d3,1,0.266821,1.233016,[6 5] ; [247 105],[7.66666667 3.33333333] ; [245.33333333 106.66666667],0
d2,1,0.316164,1.00475,[4 7] ; [182 170],[5.63636364 5.36363636] ; [180.36363636 171.63636364],0
s3,1,0.324245,0.971746,[8 2] ; [314  36],[8.94444444 1.05555556] ; [313.05555556  36.94444444],0
p8,1,0.326823,0.961447,[8 3] ; [201 146],[6.42178771 4.57821229] ; [202.57821229 144.42178771],0
p10,1,0.331908,0.941439,[9 2] ; [318  33],[9.93646409 1.06353591] ; [317.06353591  33.93646409],0
p9,1,0.336121,0.925172,[9 2] ; [316  33],[9.93055556 1.06944444] ; [315.06944444  33.93055556],0
r2,1,0.361526,0.832584,[10  1] ; [338  13],[10.57458564  0.42541436] ; [337.42541436  13.57458564],0
n4,1,0.431416,0.619008,[10  1] ; [289  65],[9.0109589 1.9890411] ; [289.9890411  64.0109589],0
p7,1,0.437724,0.602242,[6 4] ; [241  97],[7.09770115 2.90229885] ; [239.90229885  98.09770115],0
n5,1,0.450387,0.569677,[10  1] ; [289  63],[9.06060606 1.93939394] ; [289.93939394  62.06060606],0
a4,1,0.462596,0.539607,[4 7] ; [168 185],[5.1978022 5.8021978] ; [166.8021978 186.1978022],0
a7,1,0.535739,0.383494,[7 4] ; [254  98],[7.90909091 3.09090909] ; [253.09090909  98.90909091],0
s8,1,0.564666,0.331689,[6 5] ; [222 130],[6.90909091 4.09090909] ; [221.09090909 130.90909091],0
p5,1,0.633296,0.227618,[ 1 10] ; [ 49 297],[1.54061625 9.45938375] ; [ 48.45938375 297.54061625],0
a1,1,0.664647,0.187928,[ 1 10] ; [ 21 333],[ 0.6630137 10.3369863] ; [ 21.3369863 332.6630137],0
s5,1,0.666137,0.186154,[6 5] ; [163 177],[5.2962963 5.7037037] ; [163.7037037 176.2962963],0
s7,1,0.685439,0.164068,[7 4] ; [240 106],[7.61064426 3.38935574] ; [239.38935574 106.61064426],0
p2,1,0.694993,0.153733,[9 2] ; [301  49],[9.44598338 1.55401662] ; [300.55401662  49.44598338],0
b4,1,0.718307,0.13012,[7 4] ; [206 148],[6.41917808 4.58082192] ; [206.58082192 147.41917808],0
v1,1,0.731442,0.117792,[6 5] ; [203 137],[6.54985755 4.45014245] ; [202.45014245 137.54985755],0
n1,1,0.772858,0.083312,[2 2] ; [26 35],[1.72307692 2.27692308] ; [26.27692308 34.72307692],0
a3,1,0.776654,0.080476,[8 3] ; [269  83],[8.39393939 2.60606061] ; [268.60606061  83.39393939],0
n3,1,0.777919,0.079542,[3 1] ; [43 20],[2.74626866 1.25373134] ; [43.25373134 19.74626866],0
b2,1,0.789617,0.071186,[4 5] ; [ 92 138],[3.61506276 5.38493724] ; [ 92.38493724 137.61506276],0
b3,1,0.789617,0.071186,[4 5] ; [ 92 138],[3.61506276 5.38493724] ; [ 92.38493724 137.61506276],0
n6,1,0.809864,0.057889,[10  1] ; [310  40],[9.75069252 1.24930748] ; [310.24930748  39.75069252],0
p4,1,0.823319,0.049853,[7 4] ; [234 116],[7.3434903 3.6565097] ; [233.6565097 116.3434903],0
u2,1,0.84779,0.036841,[2 1] ; [52 33],[1.84090909 1.15909091] ; [52.15909091 32.84090909],0
a6,1,0.896672,0.016865,[7 4] ; [230 121],[7.20165746 3.79834254] ; [229.79834254 121.20165746],0
p1,1,0.924108,0.009074,[ 1 10] ; [ 29 321],[ 0.91412742 10.08587258] ; [ 29.08587258 320.91412742],0
u3,1,0.954283,0.003287,[2 1] ; [58 27],[2.04545455 0.95454545] ; [57.95454545 27.04545455],0
b1,1,0.995828,2.7e-05,[4 7] ; [129 225],[4.00821918 6.99178082] ; [128.99178082 225.00821918],0
