Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,61.00546,[79  1] ; [34 46],[56.5 23.5] ; [56.5 23.5],1
d3,1,0.0,49.514066,[68 12] ; [24 56],[46. 34.] ; [46. 34.],1
d2,1,0.0,41.627406,[57 23] ; [16 63],[36.72955975 43.27044025] ; [36.27044025 42.72955975],1
a2,1,0.0,29.679832,[30 52] ; [ 2 78],[16.19753086 65.80246914] ; [15.80246914 64.19753086],1
a4,1,1e-06,23.623962,[52 30] ; [20 59],[36.67080745 45.32919255] ; [35.32919255 43.67080745],1
a5,1,4.5e-05,16.640918,[66 16] ; [40 40],[53.65432099 28.34567901] ; [52.34567901 27.65432099],1
s7,1,0.000216,13.684091,[41 36] ; [18 57],[29.88815789 47.11184211] ; [29.11184211 45.88815789],1
a3,1,0.000538,11.980733,[63 19] ; [40 39],[52.45962733 29.54037267] ; [50.54037267 28.45962733],1
a7,1,0.000739,11.388809,[62 20] ; [40 40],[51.62962963 30.37037037] ; [50.37037037 29.62962963],1
s8,1,0.004845,7.93624,[39 42] ; [21 58],[30.375 50.625] ; [29.625 49.375],0
n2,1,0.00538,7.747027,[22 13] ; [21  1],[26.40350877  8.59649123] ; [16.59649123  5.40350877],0
p9,1,0.018723,5.527224,[59 21] ; [43 34],[51.97452229 28.02547771] ; [50.02547771 26.97452229],0
a6,1,0.023096,5.16129,[56 24] ; [42 38],[49. 31.] ; [49. 31.],0
a8,1,0.050458,3.826164,[ 3 72] ; [10 68],[ 6.37254902 68.62745098] ; [ 6.62745098 71.37254902],0
n4,1,0.055484,3.667492,[58 24] ; [45 35],[52.13580247 29.86419753] ; [50.86419753 29.13580247],0
u3,1,0.107901,2.584704,[15  4] ; [23 17],[12.23728814  6.76271186] ; [25.76271186 14.23728814],0
n3,1,0.110912,2.541176,[20 14] ; [16  4],[22.66666667 11.33333333] ; [13.33333333  6.66666667],0
r2,1,0.113369,2.506613,[78  3] ; [72  8],[75.46583851  5.53416149] ; [74.53416149  5.46583851],0
b4,1,0.11781,2.446197,[51 31] ; [40 40],[46.0617284 35.9382716] ; [44.9382716 35.0617284],0
s2,1,0.145189,2.122079,[42 40] ; [31 47],[37.4125 44.5875] ; [35.5875 42.4125],0
