Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.252284,[46 45] ; [ 1 35],[33.67716535 57.32283465] ; [13.32283465 22.67716535],1
d3,1,2.4e-05,17.813094,[67 24] ; [12 24],[56.60629921 34.39370079] ; [22.39370079 13.60629921],1
d4,1,7.2e-05,15.744956,[73 18] ; [16 20],[63.77165354 27.22834646] ; [25.22834646 10.77165354],1
r1,1,0.001891,9.652875,[69 22] ; [17 19],[61.62204724 29.37795276] ; [24.37795276 11.62204724],0
v3,1,0.003119,8.736807,[39 46] ; [ 6 29],[31.875 53.125] ; [13.125 21.875],0
a7,1,0.00737,7.180609,[63 27] ; [16 20],[56.42857143 33.57142857] ; [22.57142857 13.42857143],0
a6,1,0.013232,6.13784,[55 36] ; [13 23],[48.72440945 42.27559055] ; [19.27559055 16.72440945],0
r4,1,0.027784,4.841403,[82  9] ; [27  9],[78.1023622 12.8976378] ; [30.8976378  5.1023622],0
r3,1,0.034294,4.48,[88  2] ; [32  4],[85.71428571  4.28571429] ; [34.28571429  1.71428571],0
p3,1,0.038739,4.272268,[61 30] ; [17 19],[55.88976378 35.11023622] ; [22.11023622 13.88976378],0
v4,1,0.100687,2.694622,[89  2] ; [32  3],[87.38888889  3.61111111] ; [33.61111111  1.38888889],0
n2,1,0.132543,2.262465,[15  4] ; [4 4],[13.37037037  5.62962963] ; [5.62962963 2.37037037],0
u3,1,0.149561,2.076719,[30 17] ; [10 12],[27.24637681 19.75362319] ; [12.75362319  9.24637681],0
p6,1,0.175512,1.835226,[44 45] ; [13 23],[40.584 48.416] ; [16.416 19.584],0
s4,1,0.181035,1.789111,[19 70] ; [ 4 32],[16.376 72.624] ; [ 6.624 29.376],0
a3,1,0.192978,1.694737,[44 46] ; [13 23],[40.71428571 49.28571429] ; [16.28571429 19.71428571],0
n3,1,0.200679,1.637427,[15  5] ; [4 4],[13.57142857  6.42857143] ; [5.42857143 2.57142857],0
p1,1,0.201545,1.631146,[ 8 83] ; [ 6 30],[10.03149606 80.96850394] ; [ 3.96850394 32.03149606],0
a4,1,0.201616,1.630632,[22 69] ; [ 5 31],[19.34645669 71.65354331] ; [ 7.65354331 28.34645669],0
p2,1,0.207232,1.590661,[81 10] ; [29  7],[78.81889764 12.18110236] ; [31.18110236  4.81889764],0
n1,1,0.227195,1.458333,[10 10] ; [2 6],[ 8.57142857 11.42857143] ; [3.42857143 4.57142857],0
p11,1,0.234907,1.410901,[70 21] ; [24 12],[67.35433071 23.64566929] ; [26.64566929  9.35433071],0
s1,1,0.239866,1.381381,[ 3 86] ; [ 3 33],[ 4.272 84.728] ; [ 1.728 34.272],0
