Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,3.6e-05,17.069127,[34 37] ; [35  5],[44.13513514 26.86486486] ; [24.86486486 15.13513514],1
r3,1,0.000332,12.881238,[48 22] ; [39  1],[55.36363636 14.63636364] ; [31.63636364  8.36363636],1
r4,1,0.000759,11.337764,[40 31] ; [35  5],[47.97297297 23.02702703] ; [27.02702703 12.97297297],1
d3,1,0.003001,8.807042,[16 55] ; [20 20],[23.02702703 47.97297297] ; [12.97297297 27.02702703],0
p11,1,0.003231,8.67207,[41 30] ; [34  6],[47.97297297 23.02702703] ; [27.02702703 12.97297297],0
p7,1,0.003982,8.292009,[20 48] ; [23 17],[27.07407407 40.92592593] ; [15.92592593 24.07407407],0
a7,1,0.004957,7.89502,[30 41] ; [28 12],[37.0990991 33.9009009] ; [20.9009009 19.0990991],0
s8,1,0.006831,7.316938,[ 8 62] ; [13 27],[13.36363636 56.63636364] ; [ 7.63636364 32.36363636],0
v3,1,0.009456,6.734694,[15 55] ; [18 22],[21. 49.] ; [12. 28.],0
a6,1,0.00968,6.692822,[28 43] ; [26 14],[34.54054054 36.45945946] ; [19.45945946 20.54054054],0
v1,1,0.011837,6.335055,[21 48] ; [21 17],[27.08411215 41.91588785] ; [14.91588785 23.08411215],0
s6,1,0.02667,4.912034,[25 45] ; [23 17],[30.54545455 39.45454545] ; [17.45454545 22.54545455],0
a5,1,0.029516,4.737251,[24 47] ; [22 18],[29.42342342 41.57657658] ; [16.57657658 23.42342342],0
p3,1,0.04344,4.078203,[10 61] ; [12 28],[14.07207207 56.92792793] ; [ 7.92792793 32.07207207],0
n6,1,0.044255,4.046803,[43 27] ; [32  8],[47.72727273 22.27272727] ; [27.27272727 12.72727273],0
r2,1,0.071734,3.242897,[54 17] ; [36  4],[57.56756757 13.43243243] ; [32.43243243  7.56756757],0
s2,1,0.071938,3.238227,[19 52] ; [17 22],[23.23636364 47.76363636] ; [12.76363636 26.23636364],0
p10,1,0.08637,2.94076,[36 35] ; [27 13],[40.2972973 30.7027027] ; [22.7027027 17.2972973],0
p9,1,0.099938,2.706527,[41 28] ; [30 10],[44.94495413 24.05504587] ; [26.05504587 13.94495413],0
a8,1,0.1114,2.534246,[ 5 62] ; [ 7 33],[ 7.51401869 59.48598131] ; [ 4.48598131 35.51401869],0
p8,1,0.163713,1.939592,[19 51] ; [16 24],[22.27272727 47.72727273] ; [12.72727273 27.27272727],0
s3,1,0.175358,1.836534,[27 42] ; [21 19],[30.3853211 38.6146789] ; [17.6146789 22.3853211],0
p2,1,0.195297,1.677199,[39 32] ; [27 13],[42.21621622 28.78378378] ; [23.78378378 16.21621622],0
n3,1,0.198358,1.654422,[16 12] ; [8 2],[17.68421053 10.31578947] ; [6.31578947 3.68421053],0
a3,1,0.214318,1.542014,[29 39] ; [22 18],[32.11111111 35.88888889] ; [18.88888889 21.11111111],0
a1,1,0.215608,1.533369,[ 6 65] ; [ 1 39],[ 4.47747748 66.52252252] ; [ 2.52252252 37.47747748],0
s7,1,0.231714,1.430312,[17 51] ; [14 25],[19.70093458 48.29906542] ; [11.29906542 27.70093458],0
n2,1,0.274375,1.194743,[22  8] ; [9 1],[23.25  6.75] ; [7.75 2.25],0
n4,1,0.311189,1.025621,[41 30] ; [27 13],[43.4954955 27.5045045] ; [24.5045045 15.4954955],0
b4,1,0.314951,1.009797,[39 32] ; [18 22],[36.45945946 34.54054054] ; [20.54054054 19.45945946],0
d4,1,0.314951,1.009797,[32 39] ; [22 18],[34.54054054 36.45945946] ; [19.45945946 20.54054054],0
u2,1,0.323449,0.974948,[14 28] ; [8 9],[15.66101695 26.33898305] ; [ 6.33898305 10.66101695],0
n1,1,0.329804,0.949668,[11 19] ; [2 8],[ 9.75 20.25] ; [3.25 6.75],0
s5,1,0.38588,0.751886,[13 57] ; [10 29],[14.7706422 55.2293578] ; [ 8.2293578 30.7706422],0
u3,1,0.391366,0.734694,[16 26] ; [9 9],[17.5 24.5] ; [ 7.5 10.5],0
a4,1,0.400854,0.705764,[11 59] ; [ 4 36],[ 9.54545455 60.45454545] ; [ 5.45454545 34.54545455],0
p6,1,0.413953,0.66742,[11 57] ; [ 9 31],[12.59259259 55.40740741] ; [ 7.40740741 32.59259259],0
s4,1,0.428791,0.626097,[15 56] ; [ 6 34],[13.43243243 57.56756757] ; [ 7.56756757 32.43243243],0
d2,1,0.428791,0.626097,[15 56] ; [ 6 34],[13.43243243 57.56756757] ; [ 7.56756757 32.43243243],0
b5,1,0.471784,0.517794,[37 34] ; [18 22],[35.18018018 35.81981982] ; [19.81981982 20.18018018],0
b1,1,0.593041,0.285621,[30 41] ; [19 21],[31.34234234 39.65765766] ; [17.65765766 22.34234234],0
n5,1,0.66247,0.190537,[45 26] ; [27 13],[46.05405405 24.94594595] ; [25.94594595 14.05405405],0
b2,1,0.842689,0.039385,[16 24] ; [ 9 15],[15.625 24.375] ; [ 9.375 14.625],0
b3,1,0.842689,0.039385,[16 24] ; [ 9 15],[15.625 24.375] ; [ 9.375 14.625],0
p1,1,0.860156,0.031038,[ 6 65] ; [ 3 37],[ 5.75675676 65.24324324] ; [ 3.24324324 36.75675676],0
u1,1,0.921258,0.009771,[ 2 69] ; [ 1 39],[ 1.91891892 69.08108108] ; [ 1.08108108 38.91891892],0
d1,1,0.921258,0.009771,[ 2 69] ; [ 1 39],[ 1.91891892 69.08108108] ; [ 1.08108108 38.91891892],0
