Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,40.020158,[ 2 10] ; [44  1],[9.68421053 2.31578947] ; [36.31578947  8.68421053],1
p11,1,0.000117,14.836873,[ 3 10] ; [36  9],[8.74137931 4.25862069] ; [30.25862069 14.74137931],1
p2,1,0.000331,12.887609,[4 9] ; [37  8],[9.18965517 3.81034483] ; [31.81034483 13.18965517],1
a7,1,0.004527,8.059151,[7 6] ; [40  5],[10.53448276  2.46551724] ; [36.46551724  8.53448276],0
v4,1,0.008955,6.831846,[10  3] ; [44  1],[12.10344828  0.89655172] ; [41.89655172  3.10344828],0
v2,1,0.013161,6.147341,[7 6] ; [37  6],[10.21428571  2.78571429] ; [33.78571429  9.21428571],0
r4,1,0.084652,2.973235,[9 4] ; [40  5],[10.98275862  2.01724138] ; [38.01724138  6.98275862],0
r3,1,0.087023,2.9286,[10  3] ; [42  3],[11.65517241  1.34482759] ; [40.34482759  4.65517241],0
p7,1,0.106257,2.609027,[5 8] ; [28 16],[7.52631579 5.47368421] ; [25.47368421 18.52631579],0
a5,1,0.133001,2.257119,[6 7] ; [31 14],[8.29310345 4.70689655] ; [28.70689655 16.29310345],0
d3,1,0.170639,1.877323,[8 5] ; [36  9],[9.86206897 3.13793103] ; [34.13793103 10.86206897],0
n6,1,0.198181,1.655729,[7 6] ; [32 12],[8.89473684 4.10526316] ; [30.10526316 13.89473684],0
v1,1,0.300136,1.073588,[6 7] ; [28 17],[7.62068966 5.37931034] ; [26.37931034 18.62068966],0
b5,1,0.30796,1.039403,[9 4] ; [24 21],[7.39655172 5.60344828] ; [25.60344828 19.39655172],0
r1,1,0.308419,1.037433,[9 4] ; [37  8],[10.31034483  2.68965517] ; [35.68965517  9.31034483],0
r2,1,0.323903,0.97312,[11  2] ; [42  3],[11.87931034  1.12068966] ; [41.12068966  3.87931034],0
n5,1,0.32597,0.96484,[ 3 10] ; [17 28],[4.48275862 8.51724138] ; [15.51724138 29.48275862],0
p8,1,0.344853,0.892308,[5 8] ; [24 21],[6.5 6.5] ; [22.5 22.5],0
s5,1,0.371931,0.797203,[ 3 10] ; [16 28],[4.33333333 8.66666667] ; [14.66666667 29.33333333],0
d1,1,0.421427,0.646333,[5 8] ; [23 22],[6.27586207 6.72413793] ; [21.72413793 23.27586207],0
s3,1,0.421427,0.646333,[8 5] ; [22 23],[6.72413793 6.27586207] ; [23.27586207 21.72413793],0
n2,1,0.438578,0.6,[2 2] ; [14  6],[2.66666667 1.33333333] ; [13.33333333  6.66666667],0
b2,1,0.446443,0.579667,[2 5] ; [ 9 11],[2.85185185 4.14814815] ; [ 8.14814815 11.85185185],0
b3,1,0.446443,0.579667,[2 5] ; [ 9 11],[2.85185185 4.14814815] ; [ 8.14814815 11.85185185],0
u1,1,0.468937,0.524479,[ 1 12] ; [ 7 38],[ 1.79310345 11.20689655] ; [ 6.20689655 38.79310345],0
b1,1,0.527148,0.399886,[ 3 10] ; [ 7 38],[ 2.24137931 10.75862069] ; [ 7.75862069 37.24137931],0
p4,1,0.54944,0.358321,[7 6] ; [20 25],[6.05172414 6.94827586] ; [20.94827586 24.05172414],0
s7,1,0.567282,0.327251,[4 9] ; [17 26],[4.875 8.125] ; [16.125 26.875],0
a6,1,0.618915,0.247395,[8 5] ; [31 14],[8.74137931 4.25862069] ; [30.25862069 14.74137931],0
d2,1,0.618915,0.247395,[5 8] ; [14 31],[4.25862069 8.74137931] ; [14.74137931 30.25862069],0
s1,1,0.641398,0.216918,[ 1 12] ; [ 2 43],[ 0.67241379 12.32758621] ; [ 2.32758621 42.67241379],0
p3,1,0.643266,0.214496,[4 9] ; [17 28],[4.70689655 8.29310345] ; [16.29310345 28.70689655],0
d5,1,0.646427,0.210434,[9 4] ; [34 11],[9.63793103 3.36206897] ; [33.36206897 11.63793103],0
a2,1,0.667711,0.184291,[ 3 10] ; [ 8 37],[ 2.46551724 10.53448276] ; [ 8.53448276 36.46551724],0
a4,1,0.67962,0.170554,[ 3 10] ; [13 32],[3.5862069 9.4137931] ; [12.4137931 32.5862069],0
n3,1,0.711138,0.137143,[2 2] ; [12  8],[2.33333333 1.66666667] ; [11.66666667  8.33333333],0
a3,1,0.731862,0.117409,[8 5] ; [30 15],[8.51724138 4.48275862] ; [29.48275862 15.51724138],0
b4,1,0.749115,0.102276,[9 4] ; [29 16],[8.51724138 4.48275862] ; [29.48275862 15.51724138],0
s2,1,0.808392,0.058807,[5 8] ; [19 26],[5.37931034 7.62068966] ; [18.62068966 26.37931034],0
u3,1,0.864591,0.029082,[3 2] ; [9 5],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
s4,1,0.919159,0.010301,[ 3 10] ; [11 34],[3.13793103 9.86206897] ; [10.86206897 34.13793103],0
s6,1,0.932469,0.007181,[9 4] ; [31 13],[9.12280702 3.87719298] ; [30.87719298 13.12280702],0
