Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,21.019522,[31 68] ; [ 15 149],[17.31558935 81.68441065] ; [ 28.68441065 135.31558935],1
s7,1,0.000162,14.223071,[34 64] ; [ 22 131],[21.86454183 76.13545817] ; [ 34.13545817 118.86454183],1
v1,1,0.000245,13.449076,[48 48] ; [ 44 117],[34.36575875 61.63424125] ; [ 57.63424125 103.36575875],1
p9,1,0.000718,11.442278,[76 23] ; [89 70],[63.31395349 35.68604651] ; [101.68604651  57.31395349],1
p10,1,0.000855,11.118162,[69 28] ; [81 81],[56.17760618 40.82239382] ; [93.82239382 68.17760618],1
s5,1,0.001106,10.641871,[25 73] ; [ 16 142],[15.6953125 82.3046875] ; [ 25.3046875 132.6953125],0
r1,1,0.00113,10.601976,[77 21] ; [96 67],[64.95785441 33.04214559] ; [108.04214559  54.95785441],0
p4,1,0.002021,9.530344,[42 56] ; [ 40 123],[30.78927203 67.21072797] ; [ 51.21072797 111.78927203],0
n6,1,0.00356,8.495592,[81 18] ; [106  57],[70.66030534 28.33969466] ; [116.33969466  46.66030534],0
r4,1,0.005279,7.781318,[81 18] ; [108  56],[71.14448669 27.85551331] ; [117.85551331  46.14448669],0
v2,1,0.008279,6.972008,[52 44] ; [58 98],[41.9047619 54.0952381] ; [68.0952381 87.9047619],0
s3,1,0.008737,6.875888,[31 66] ; [ 29 134],[22.38461538 74.61538462] ; [ 37.61538462 125.38461538],0
v4,1,0.009067,6.809663,[89  9] ; [126  35],[81.35135135 16.64864865] ; [133.64864865  27.35135135],0
v3,1,0.010846,6.49039,[37 61] ; [ 36 121],[28.05490196 69.94509804] ; [ 44.94509804 112.05490196],0
p3,1,0.011905,6.324966,[35 63] ; [ 35 128],[26.2835249 71.7164751] ; [ 43.7164751 119.2835249],0
n5,1,0.014975,5.919452,[72 27] ; [93 68],[62.82692308 36.17307692] ; [102.17307692  58.82692308],0
r3,1,0.015241,5.888359,[90  9] ; [128  33],[83.00769231 15.99230769] ; [134.99230769  26.00769231],0
p2,1,0.016489,5.749944,[71 27] ; [94 69],[61.95402299 36.04597701] ; [103.04597701  59.95402299],0
d3,1,0.030696,4.669895,[68 31] ; [90 73],[59.70229008 39.29770992] ; [98.29770992 64.70229008],0
n4,1,0.034577,4.465963,[75 24] ; [103  60],[67.25954198 31.74045802] ; [110.74045802  52.25954198],0
u1,1,0.035372,4.427138,[17 82] ; [ 14 150],[11.66920152 87.33079848] ; [ 19.33079848 144.66920152],0
b5,1,0.055991,3.652334,[65 34] ; [88 76],[57.59315589 41.40684411] ; [95.40684411 68.59315589],0
p5,1,0.06251,3.469518,[ 9 89] ; [  6 158],[ 5.61068702 92.38931298] ; [  9.38931298 154.61068702],0
p12,1,0.062769,3.462666,[ 5 94] ; [  2 161],[ 2.64503817 96.35496183] ; [  4.35496183 158.64503817],0
b4,1,0.077442,3.117793,[67 32] ; [93 71],[60.22813688 38.77186312] ; [99.77186312 64.22813688],0
u3,1,0.08586,2.95033,[23 16] ; [23 33],[18.88421053 20.11578947] ; [27.11578947 28.88421053],0
s4,1,0.095341,2.781801,[14 83] ; [ 13 151],[10.03448276 86.96551724] ; [ 16.96551724 147.03448276],0
p7,1,0.125475,2.347611,[39 58] ; [ 50 112],[33.33204633 63.66795367] ; [ 55.66795367 106.33204633],0
p11,1,0.12694,2.329534,[69 30] ; [99 65],[63.23954373 35.76045627] ; [104.76045627  59.23954373],0
r2,1,0.137865,2.201623,[88 10] ; [133  27],[83.94573643 14.05426357] ; [137.05426357  22.94573643],0
d5,1,0.140253,2.175176,[76 23] ; [112  52],[70.76806084 28.23193916] ; [117.23193916  46.76806084],0
a7,1,0.181933,1.781761,[68 31] ; [98 64],[62.96551724 36.03448276] ; [103.03448276  58.96551724],0
p6,1,0.245286,1.349954,[18 80] ; [ 21 140],[14.75675676 83.24324324] ; [ 24.24324324 136.75675676],0
