Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000655,11.61217,[ 1 39] ; [17 40],[ 7.42268041 32.57731959] ; [10.57731959 46.42268041],1
d3,1,0.001135,10.592983,[14 26] ; [39 18],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
r3,1,0.003094,8.751103,[21 19] ; [46 11],[27.62886598 12.37113402] ; [39.37113402 17.62886598],0
a6,1,0.003681,8.434855,[14 26] ; [37 20],[21.03092784 18.96907216] ; [29.96907216 27.03092784],0
b5,1,0.0077,7.102006,[15 25] ; [37 20],[21.44329897 18.55670103] ; [30.55670103 26.44329897],0
d5,1,0.012006,6.309953,[22 18] ; [45 12],[27.62886598 12.37113402] ; [39.37113402 17.62886598],0
d1,1,0.026799,4.903705,[12 28] ; [30 27],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
r1,1,0.031353,4.633527,[21 19] ; [42 15],[25.97938144 14.02061856] ; [37.02061856 19.97938144],0
u3,1,0.03678,4.360557,[ 5 15] ; [12  9],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
r4,1,0.051372,3.796091,[18 22] ; [37 20],[22.68041237 17.31958763] ; [32.31958763 24.68041237],0
v4,1,0.062428,3.471689,[24 15] ; [45 12],[28.03125 10.96875] ; [40.96875 16.03125],0
r2,1,0.075055,3.16886,[27 11] ; [49  8],[30.4  7.6] ; [45.6 11.4],0
d2,1,0.088791,2.896163,[15 24] ; [32 25],[19.09375 19.90625] ; [27.90625 29.09375],0
d4,1,0.097451,2.746776,[24 15] ; [44 13],[27.625 11.375] ; [40.375 16.625],0
u1,1,0.099002,2.721548,[ 2 38] ; [ 9 48],[ 4.53608247 35.46391753] ; [ 6.46391753 50.53608247],0
a5,1,0.110167,2.551829,[18 22] ; [35 22],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
s6,1,0.148421,2.088406,[13 26] ; [27 29],[16.42105263 22.57894737] ; [23.57894737 32.42105263],0
a3,1,0.161601,1.959184,[20 20] ; [36 20],[23.33333333 16.66666667] ; [32.66666667 23.33333333],0
p2,1,0.167011,1.909575,[14 26] ; [28 29],[17.31958763 22.68041237] ; [24.68041237 32.31958763],0
n3,1,0.167665,1.9037,[ 6 10] ; [16 11],[8.18604651 7.81395349] ; [13.81395349 13.18604651],0
s2,1,0.222993,1.485006,[13 27] ; [12 44],[10.41666667 29.58333333] ; [14.58333333 41.41666667],0
p7,1,0.229821,1.441971,[17 22] ; [18 39],[14.21875 24.78125] ; [20.78125 36.21875],0
n6,1,0.236756,1.399806,[19 21] ; [34 23],[21.8556701 18.1443299] ; [31.1443299 25.8556701],0
n1,1,0.258595,1.276261,[ 5 13] ; [12 15],[ 6.8 11.2] ; [10.2 16.8],0
a4,1,0.259835,1.269636,[12 27] ; [24 33],[14.625 24.375] ; [21.375 35.625],0
v1,1,0.289986,1.119687,[10 30] ; [20 37],[12.37113402 27.62886598] ; [17.62886598 39.37113402],0
s3,1,0.307981,1.039316,[17 22] ; [19 38],[14.625 24.375] ; [21.375 35.625],0
p1,1,0.330068,0.948632,[ 2 38] ; [ 6 51],[ 3.29896907 36.70103093] ; [ 4.70103093 52.29896907],0
p3,1,0.356337,0.850762,[15 25] ; [16 40],[12.91666667 27.08333333] ; [18.08333333 37.91666667],0
s1,1,0.359589,0.839328,[ 5 35] ; [ 4 53],[ 3.71134021 36.28865979] ; [ 5.28865979 51.71134021],0
p10,1,0.493774,0.468293,[ 7 33] ; [ 7 49],[ 5.83333333 34.16666667] ; [ 8.16666667 47.83333333],0
s5,1,0.507796,0.438607,[ 5 34] ; [10 46],[ 6.15789474 32.84210526] ; [ 8.84210526 47.15789474],0
u2,1,0.518605,0.416667,[ 7 13] ; [ 9 11],[ 8. 12.] ; [ 8. 12.],0
n4,1,0.531084,0.392318,[25 15] ; [32 25],[23.50515464 16.49484536] ; [33.49484536 23.50515464],0
v2,1,0.598748,0.276889,[13 26] ; [22 35],[14.21875 24.78125] ; [20.78125 36.21875],0
p4,1,0.615903,0.251668,[12 27] ; [20 36],[13.13684211 25.86315789] ; [18.86315789 37.13684211],0
s8,1,0.630052,0.23199,[ 7 32] ; [ 8 48],[ 6.15789474 32.84210526] ; [ 8.84210526 47.15789474],0
a8,1,0.648172,0.208213,[ 2 36] ; [ 4 48],[ 2.53333333 35.46666667] ; [ 3.46666667 48.53333333],0
n5,1,0.670219,0.181346,[20 20] ; [31 26],[21.03092784 18.96907216] ; [29.96907216 27.03092784],0
v3,1,0.691158,0.157834,[12 25] ; [16 40],[11.13978495 25.86021505] ; [16.86021505 39.13978495],0
p5,1,0.729844,0.119255,[ 2 38] ; [ 2 54],[ 1.66666667 38.33333333] ; [ 2.33333333 53.66666667],0
s4,1,0.790857,0.07033,[ 8 32] ; [10 46],[ 7.5 32.5] ; [10.5 45.5],0
b4,1,0.817896,0.053016,[22 18] ; [30 27],[21.44329897 18.55670103] ; [30.55670103 26.44329897],0
p6,1,0.898382,0.016309,[ 6 33] ; [ 9 46],[ 6.22340426 32.77659574] ; [ 8.77659574 46.22340426],0
b1,1,0.912852,0.011977,[25 15] ; [35 22],[24.74226804 15.25773196] ; [35.25773196 21.74226804],0
n2,1,0.915593,0.011233,[10  8] ; [16 12],[10.17391304  7.82608696] ; [15.82608696 12.17391304],0
a1,1,0.933124,0.007042,[ 4 36] ; [ 6 51],[ 4.12371134 35.87628866] ; [ 5.87628866 51.12371134],0
p8,1,0.938113,0.006028,[11 29] ; [15 41],[10.83333333 29.16666667] ; [15.16666667 40.83333333],0
b2,1,0.977128,0.000822,[ 8 17] ; [11 23],[ 8.05084746 16.94915254] ; [10.94915254 23.05084746],0
b3,1,0.977128,0.000822,[ 8 17] ; [11 23],[ 8.05084746 16.94915254] ; [10.94915254 23.05084746],0
s7,1,0.985077,0.00035,[ 7 27] ; [11 42],[ 7.03448276 26.96551724] ; [10.96551724 42.03448276],0
