Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.145668,[ 1 12] ; [48 13],[8.60810811 4.39189189] ; [40.39189189 20.60810811],1
r2,1,3.2e-05,17.276887,[4 9] ; [52  9],[9.83783784 3.16216216] ; [46.16216216 14.83783784],1
r3,1,0.000153,14.33297,[6 7] ; [55  6],[10.71621622  2.28378378] ; [50.28378378 10.71621622],1
p9,1,0.000599,11.778763,[4 9] ; [48 13],[9.13513514 3.86486486] ; [42.86486486 18.13513514],1
n6,1,0.001372,10.242792,[ 3 10] ; [43 18],[8.08108108 4.91891892] ; [37.91891892 23.08108108],0
s1,1,0.001913,9.631598,[ 3 10] ; [ 1 60],[ 0.7027027 12.2972973] ; [ 3.2972973 57.7027027],0
p2,1,0.005715,7.637924,[5 8] ; [47 14],[9.13513514 3.86486486] ; [42.86486486 18.13513514],0
p11,1,0.008966,6.829608,[5 8] ; [46 15],[8.95945946 4.04054054] ; [42.04054054 18.95945946],0
n2,1,0.00982,6.667347,[2 4] ; [18  3],[4.44444444 1.55555556] ; [15.55555556  5.44444444],0
p10,1,0.020308,5.385212,[4 9] ; [40 21],[7.72972973 5.27027027] ; [36.27027027 24.72972973],0
u3,1,0.047415,3.930585,[1 7] ; [15 14],[3.45945946 4.54054054] ; [12.54054054 16.45945946],0
v2,1,0.048052,3.908157,[ 1 12] ; [21 38],[3.97222222 9.02777778] ; [18.02777778 40.97222222],0
r1,1,0.04904,3.87398,[4 9] ; [37 24],[7.2027027 5.7972973] ; [33.7972973 27.2027027],0
p1,1,0.079679,3.071447,[ 2 11] ; [ 2 59],[ 0.7027027 12.2972973] ; [ 3.2972973 57.7027027],0
s8,1,0.08382,2.989239,[ 1 12] ; [19 42],[3.51351351 9.48648649] ; [16.48648649 44.51351351],0
d3,1,0.15779,1.995277,[ 3 10] ; [27 34],[5.27027027 7.72972973] ; [24.72972973 36.27027027],0
a7,1,0.175837,1.832466,[5 8] ; [36 25],[7.2027027 5.7972973] ; [33.7972973 27.2027027],0
a6,1,0.188628,1.728304,[4 9] ; [31 30],[6.14864865 6.85135135] ; [28.85135135 32.14864865],0
s5,1,0.205742,1.601138,[ 1 12] ; [14 46],[ 2.67123288 10.32876712] ; [12.32876712 47.67123288],0
s6,1,0.269358,1.220012,[4 9] ; [29 32],[5.7972973 7.2027027] ; [27.2027027 33.7972973],0
v1,1,0.297681,1.084553,[ 3 10] ; [23 37],[4.63013699 8.36986301] ; [21.36986301 38.63013699],0
a3,1,0.387932,0.745416,[5 8] ; [31 29],[6.4109589 6.5890411] ; [29.5890411 30.4109589],0
a4,1,0.459812,0.546353,[ 3 10] ; [ 9 52],[ 2.10810811 10.89189189] ; [ 9.89189189 51.10810811],0
u2,1,0.476081,0.507827,[3 5] ; [15 14],[3.89189189 4.10810811] ; [14.10810811 14.89189189],0
p8,1,0.492831,0.470339,[6 6] ; [24 37],[4.93150685 7.06849315] ; [25.06849315 35.93150685],0
p7,1,0.50431,0.445854,[7 6] ; [37 21],[8.05633803 4.94366197] ; [35.94366197 22.05633803],0
s3,1,0.550904,0.355701,[5 8] ; [29 32],[5.97297297 7.02702703] ; [28.02702703 32.97297297],0
s2,1,0.637183,0.222445,[4 9] ; [23 38],[4.74324324 8.25675676] ; [22.25675676 38.74324324],0
b3,1,0.691579,0.157381,[1 5] ; [ 7 22],[1.37142857 4.62857143] ; [ 6.62857143 22.37142857],0
b2,1,0.691579,0.157381,[1 5] ; [ 7 22],[1.37142857 4.62857143] ; [ 6.62857143 22.37142857],0
b5,1,0.701498,0.146918,[8 5] ; [34 27],[7.37837838 5.62162162] ; [34.62162162 26.37837838],0
n1,1,0.710523,0.137755,[1 5] ; [ 5 16],[1.33333333 4.66666667] ; [ 4.66666667 16.33333333],0
s4,1,0.720075,0.128421,[ 2 11] ; [12 49],[ 2.45945946 10.54054054] ; [11.54054054 49.45945946],0
p3,1,0.72392,0.124768,[ 3 10] ; [17 44],[3.51351351 9.48648649] ; [16.48648649 44.51351351],0
a8,1,0.724355,0.124358,[ 1 11] ; [ 7 52],[ 1.35211268 10.64788732] ; [ 6.64788732 52.35211268],0
b1,1,0.731566,0.117678,[6 7] ; [25 36],[5.44594595 7.55405405] ; [25.55405405 35.44594595],0
d2,1,0.781588,0.076868,[ 3 10] ; [12 49],[ 2.63513514 10.36486486] ; [12.36486486 48.63513514],0
v3,1,0.80342,0.061963,[ 3 10] ; [12 48],[ 2.67123288 10.32876712] ; [12.32876712 47.67123288],0
n3,1,0.82176,0.050752,[4 2] ; [15  6],[4.22222222 1.77777778] ; [14.77777778  6.22222222],0
p6,1,0.825839,0.048418,[ 3 10] ; [12 47],[ 2.70833333 10.29166667] ; [12.29166667 46.70833333],0
d4,1,0.900862,0.015518,[7 6] ; [34 27],[7.2027027 5.7972973] ; [33.7972973 27.2027027],0
p4,1,0.918145,0.010562,[5 8] ; [24 36],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
n5,1,0.918145,0.010562,[5 8] ; [24 36],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
a5,1,0.952798,0.003504,[5 8] ; [24 37],[5.09459459 7.90540541] ; [23.90540541 37.09459459],0
b4,1,0.986782,0.000274,[7 6] ; [33 28],[7.02702703 5.97297297] ; [32.97297297 28.02702703],0
