Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.869108,[26 30] ; [50  7],[37.66371681 18.33628319] ; [38.33628319 18.66371681],1
u1,1,0.011335,6.412061,[12 44] ; [ 3 54],[ 7.43362832 48.56637168] ; [ 7.56637168 49.43362832],0
p11,1,0.023159,5.156561,[32 24] ; [44 13],[37.66371681 18.33628319] ; [38.33628319 18.66371681],0
s8,1,0.027445,4.862628,[27 29] ; [16 41],[21.30973451 34.69026549] ; [21.69026549 35.30973451],0
b3,1,0.033119,4.539606,[14 23] ; [ 5 28],[10.04285714 26.95714286] ; [ 8.95714286 24.04285714],0
b2,1,0.033119,4.539606,[14 23] ; [ 5 28],[10.04285714 26.95714286] ; [ 8.95714286 24.04285714],0
p6,1,0.041611,4.150953,[17 39] ; [28 29],[22.30088496 33.69911504] ; [22.69911504 34.30088496],0
v3,1,0.04261,4.110801,[ 9 43] ; [19 36],[13.60747664 38.39252336] ; [14.39252336 40.60747664],0
a2,1,0.05154,3.790648,[15 41] ; [ 7 50],[10.90265487 45.09734513] ; [11.09734513 45.90265487],0
p12,1,0.053964,3.713813,[ 1 55] ; [ 6 51],[ 3.46902655 52.53097345] ; [ 3.53097345 53.46902655],0
p3,1,0.070903,3.261994,[29 27] ; [39 18],[33.69911504 22.30088496] ; [34.30088496 22.69911504],0
s1,1,0.089038,2.891688,[ 5 51] ; [ 1 56],[ 2.97345133 53.02654867] ; [ 3.02654867 53.97345133],0
s2,1,0.130325,2.288633,[31 25] ; [23 33],[27. 29.] ; [27. 29.],0
n1,1,0.137987,2.200269,[ 4 18] ; [5 7],[ 5.82352941 16.17647059] ; [3.17647059 8.82352941],0
a4,1,0.152694,2.045131,[25 31] ; [18 39],[21.30973451 34.69026549] ; [21.69026549 35.30973451],0
d2,1,0.158204,1.991306,[28 28] ; [21 36],[24.28318584 31.71681416] ; [24.71681416 32.28318584],0
p10,1,0.178872,1.806967,[34 21] ; [42 15],[37.32142857 17.67857143] ; [38.67857143 18.32142857],0
r1,1,0.23387,1.417168,[38 17] ; [45 12],[40.75892857 14.24107143] ; [42.24107143 14.75892857],0
a6,1,0.273222,1.2005,[38 18] ; [33 24],[35.18584071 20.81415929] ; [35.81415929 21.18584071],0
n2,1,0.304979,1.052296,[12  9] ; [9 3],[13.36363636  7.63636364] ; [7.63636364 4.36363636],0
a7,1,0.306945,1.043777,[44 12] ; [40 17],[41.62831858 14.37168142] ; [42.37168142 14.62831858],0
a8,1,0.309634,1.032236,[ 6 47] ; [ 3 49],[ 4.54285714 48.45714286] ; [ 4.45714286 47.54285714],0
a5,1,0.371137,0.799855,[38 18] ; [43 14],[40.14159292 15.85840708] ; [40.85840708 16.14159292],0
r2,1,0.376159,0.783217,[48  8] ; [51  5],[49.5  6.5] ; [49.5  6.5],0
a3,1,0.376511,0.782061,[36 20] ; [32 25],[33.69911504 22.30088496] ; [34.30088496 22.69911504],0
d1,1,0.386029,0.751413,[34 22] ; [30 27],[31.71681416 24.28318584] ; [32.28318584 24.71681416],0
s3,1,0.394201,0.725943,[31 25] ; [26 29],[28.75675676 27.24324324] ; [28.24324324 26.75675676],0
v4,1,0.447526,0.57691,[51  5] ; [54  3],[52.03539823  3.96460177] ; [52.96460177  4.03539823],0
d3,1,0.465344,0.53301,[42 14] ; [46 11],[43.61061947 12.38938053] ; [44.38938053 12.61061947],0
n3,1,0.485972,0.485431,[16  6] ; [10  2],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
n6,1,0.556231,0.346273,[34 22] ; [37 19],[35.5 20.5] ; [35.5 20.5],0
r4,1,0.578828,0.308134,[46 10] ; [49  8],[47.07964602  8.92035398] ; [47.92035398  9.07964602],0
s5,1,0.585815,0.296928,[18 35] ; [16 39],[16.68518519 36.31481481] ; [17.31481481 37.68518519],0
v2,1,0.628163,0.23456,[25 28] ; [28 26],[26.25233645 26.74766355] ; [26.74766355 27.25233645],0
p2,1,0.634309,0.226263,[44 12] ; [46 10],[45. 11.] ; [45. 11.],0
b4,1,0.644297,0.213166,[34 22] ; [37 20],[35.18584071 20.81415929] ; [35.81415929 21.18584071],0
u2,1,0.680358,0.169724,[11  8] ; [16  9],[11.65909091  7.34090909] ; [15.34090909  9.65909091],0
p5,1,0.714302,0.134018,[ 3 53] ; [ 4 53],[ 3.46902655 52.53097345] ; [ 3.53097345 53.46902655],0
a1,1,0.714302,0.134018,[ 3 53] ; [ 4 53],[ 3.46902655 52.53097345] ; [ 3.53097345 53.46902655],0
p1,1,0.741584,0.108739,[ 6 50] ; [ 7 48],[ 6.55855856 49.44144144] ; [ 6.44144144 48.55855856],0
p9,1,0.741804,0.108547,[38 17] ; [41 16],[38.79464286 16.20535714] ; [40.20535714 16.79464286],0
v1,1,0.750636,0.100998,[20 34] ; [22 33],[20.80733945 33.19266055] ; [21.19266055 33.80733945],0
b5,1,0.755998,0.09656,[35 21] ; [34 23],[34.19469027 21.80530973] ; [34.80530973 22.19469027],0
s7,1,0.758649,0.094406,[21 31] ; [21 35],[20.22222222 31.77777778] ; [21.77777778 34.22222222],0
u3,1,0.836027,0.04284,[14  5] ; [17  7],[13.69767442  5.30232558] ; [17.30232558  6.69767442],0
d4,1,0.8439,0.038773,[46 10] ; [46 11],[45.59292035 10.40707965] ; [46.40707965 10.59292035],0
s4,1,0.8439,0.038773,[10 46] ; [11 46],[10.40707965 45.59292035] ; [10.59292035 46.40707965],0
s6,1,0.844493,0.038475,[36 20] ; [35 21],[35.5 20.5] ; [35.5 20.5],0
n4,1,0.911235,0.012428,[23 33] ; [24 33],[23.2920354 32.7079646] ; [23.7079646 33.2920354],0
