Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000495,12.133278,[ 5 21] ; [18  9],[11.28301887 14.71698113] ; [11.71698113 15.28301887],1
p8,1,0.003948,8.307692,[ 2 24] ; [11 15],[ 6.5 19.5] ; [ 6.5 19.5],0
v2,1,0.013026,6.165531,[ 2 23] ; [10 17],[ 5.76923077 19.23076923] ; [ 6.23076923 20.76923077],0
p2,1,0.018961,5.505086,[11 15] ; [20  7],[15.20754717 10.79245283] ; [15.79245283 11.20754717],0
v4,1,0.03331,4.529778,[16  9] ; [24  3],[19.23076923  5.76923077] ; [20.76923077  6.23076923],0
s4,1,0.077712,3.11211,[ 8 18] ; [ 3 24],[ 5.39622642 20.60377358] ; [ 5.60377358 21.39622642],0
n3,1,0.080824,3.048259,[8 6] ; [9 1],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
a3,1,0.100462,2.69819,[13 12] ; [ 8 19],[10.09615385 14.90384615] ; [10.90384615 16.09615385],0
n4,1,0.100577,2.696378,[20  6] ; [15 12],[17.16981132  8.83018868] ; [17.83018868  9.16981132],0
n5,1,0.111022,2.539612,[19  7] ; [14 13],[16.18867925  9.81132075] ; [16.81132075 10.18867925],0
r4,1,0.129589,2.297426,[13 13] ; [19  8],[15.69811321 10.30188679] ; [16.30188679 10.69811321],0
r3,1,0.20806,1.584871,[15 11] ; [20  7],[17.16981132  8.83018868] ; [17.83018868  9.16981132],0
a6,1,0.219077,1.510405,[14 12] ; [10 17],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
s3,1,0.250174,1.322334,[ 9 16] ; [14 13],[11.05769231 13.94230769] ; [11.94230769 15.05769231],0
d3,1,0.268418,1.224811,[ 6 20] ; [10 17],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
a4,1,0.308358,1.037694,[ 7 19] ; [ 4 22],[ 5.5 20.5] ; [ 5.5 20.5],0
r1,1,0.317532,0.999083,[17  9] ; [14 13],[15.20754717 10.79245283] ; [15.79245283 11.20754717],0
p1,1,0.359515,0.839587,[ 4 22] ; [ 2 25],[ 2.94339623 23.05660377] ; [ 3.05660377 23.94339623],0
n1,1,0.382677,0.762085,[ 6 10] ; [5 4],[7.04 8.96] ; [3.96 5.04],0
s1,1,0.385332,0.753623,[ 4 22] ; [ 2 24],[ 3. 23.] ; [ 3. 23.],0
v1,1,0.40731,0.68664,[ 6 20] ; [ 9 18],[ 7.35849057 18.64150943] ; [ 7.64150943 19.35849057],0
a8,1,0.413124,0.669793,[ 2 22] ; [ 4 21],[ 2.93877551 21.06122449] ; [ 3.06122449 21.93877551],0
b2,1,0.422678,0.642857,[ 5 13] ; [ 3 15],[ 4. 14.] ; [ 4. 14.],0
b3,1,0.422678,0.642857,[ 5 13] ; [ 3 15],[ 4. 14.] ; [ 4. 14.],0
p3,1,0.422996,0.641975,[ 5 20] ; [ 8 19],[ 6.25 18.75] ; [ 6.75 20.25],0
s2,1,0.422996,0.641975,[ 5 20] ; [ 8 19],[ 6.25 18.75] ; [ 6.75 20.25],0
b4,1,0.486543,0.484162,[15 11] ; [13 14],[13.73584906 12.26415094] ; [14.26415094 12.73584906],0
b5,1,0.493688,0.468478,[14 12] ; [12 15],[12.75471698 13.24528302] ; [13.24528302 13.75471698],0
n6,1,0.500709,0.453434,[14 12] ; [17 10],[15.20754717 10.79245283] ; [15.79245283 11.20754717],0
p5,1,0.552003,0.353741,[ 1 25] ; [ 2 24],[ 1.5 24.5] ; [ 1.5 24.5],0
u3,1,0.598366,0.277467,[6 7] ; [ 7 12],[5.28125 7.71875] ; [ 7.71875 11.28125],0
v3,1,0.612334,0.25679,[ 5 20] ; [ 7 20],[ 5.76923077 19.23076923] ; [ 6.23076923 20.76923077],0
b1,1,0.678273,0.172077,[12 14] ; [14 13],[12.75471698 13.24528302] ; [13.24528302 13.75471698],0
d5,1,0.694925,0.153806,[11 15] ; [10 17],[10.30188679 15.69811321] ; [10.69811321 16.30188679],0
a5,1,0.694925,0.153806,[11 15] ; [10 17],[10.30188679 15.69811321] ; [10.69811321 16.30188679],0
p10,1,0.713947,0.134367,[ 4 22] ; [ 5 21],[ 4.5 21.5] ; [ 4.5 21.5],0
u2,1,0.722416,0.12619,[4 9] ; [ 7 12],[4.46875 8.53125] ; [ 6.53125 12.46875],0
s5,1,0.7247,0.124033,[ 3 23] ; [ 4 23],[ 3.43396226 22.56603774] ; [ 3.56603774 23.43396226],0
n2,1,0.850646,0.035455,[9 7] ; [6 4],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
p11,1,0.884399,0.02114,[12 14] ; [13 14],[12.26415094 13.73584906] ; [12.73584906 14.26415094],0
a7,1,0.914825,0.011439,[10 16] ; [10 17],[ 9.81132075 16.18867925] ; [10.18867925 16.81132075],0
s6,1,0.928014,0.008162,[ 8 18] ; [ 8 19],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
d2,1,0.928014,0.008162,[ 8 18] ; [ 8 19],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
s7,1,0.938076,0.006036,[ 6 19] ; [ 6 20],[ 5.88235294 19.11764706] ; [ 6.11764706 19.88235294],0
r2,1,0.940751,0.005524,[20  6] ; [21  6],[20.11320755  5.88679245] ; [20.88679245  6.11320755],0
s8,1,0.947176,0.004389,[ 5 21] ; [ 5 22],[ 4.90566038 21.09433962] ; [ 5.09433962 21.90566038],0
p12,1,0.978295,0.00074,[ 1 25] ; [ 1 26],[ 0.98113208 25.01886792] ; [ 1.01886792 25.98113208],0
