Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,35.324675,[60  8] ; [ 3 14],[50.4 17.6] ; [12.6  4.4],1
v1,1,0.000919,10.984564,[38 29] ; [ 2 15],[31.9047619 35.0952381] ; [8.0952381 8.9047619],1
r3,1,0.002141,9.42414,[63  5] ; [11  6],[59.2  8.8] ; [14.8  2.2],0
p11,1,0.002546,9.107143,[56 12] ; [8 9],[51.2 16.8] ; [12.8  4.2],0
r4,1,0.006263,7.473086,[57 11] ; [9 8],[52.8 15.2] ; [13.2  3.8],0
p2,1,0.00724,7.212482,[54 14] ; [8 9],[49.6 18.4] ; [12.4  4.6],0
v4,1,0.007343,7.187166,[65  3] ; [12  4],[62.33333333  5.66666667] ; [14.66666667  1.33333333],0
d3,1,0.03097,4.654609,[43 24] ; [ 6 11],[39.08333333 27.91666667] ; [9.91666667 7.08333333],0
n2,1,0.037381,4.33299,[23  4] ; [4 4],[20.82857143  6.17142857] ; [6.17142857 1.82857143],0
d5,1,0.088705,2.897727,[47 21] ; [8 9],[44. 24.] ; [11.  6.],0
a7,1,0.088705,2.897727,[47 21] ; [8 9],[44. 24.] ; [11.  6.],0
s5,1,0.095387,2.781027,[17 50] ; [ 1 15],[14.53012048 52.46987952] ; [ 3.46987952 12.53012048],0
n6,1,0.115588,2.476103,[52 15] ; [10  7],[49.45238095 17.54761905] ; [12.54761905  4.45238095],0
s6,1,0.155025,2.0221,[41 27] ; [ 7 10],[38.4 29.6] ; [9.6 7.4],0
a5,1,0.155025,2.0221,[41 27] ; [ 7 10],[38.4 29.6] ; [9.6 7.4],0
v2,1,0.161062,1.964227,[33 32] ; [ 5 11],[30.49382716 34.50617284] ; [7.50617284 8.49382716],0
d2,1,0.166155,1.917293,[20 48] ; [8 9],[22.4 45.6] ; [ 5.6 11.4],0
p8,1,0.176037,1.830769,[34 34] ; [ 5 11],[31.57142857 36.42857143] ; [7.42857143 8.57142857],0
v3,1,0.182455,1.777515,[18 48] ; [ 2 15],[15.90361446 50.09638554] ; [ 4.09638554 12.90361446],0
s8,1,0.215215,1.535992,[27 41] ; [ 4 13],[24.8 43.2] ; [ 6.2 10.8],0
p4,1,0.232532,1.425305,[35 33] ; [ 6 11],[32.8 35.2] ; [8.2 8.8],0
a6,1,0.256439,1.287879,[46 22] ; [9 8],[44. 24.] ; [11.  6.],0
r2,1,0.291551,1.112447,[59  9] ; [13  4],[57.6 10.4] ; [14.4  2.6],0
d1,1,0.303242,1.059883,[25 43] ; [ 4 13],[23.2 44.8] ; [ 5.8 11.2],0
s7,1,0.314354,1.012293,[25 40] ; [ 4 12],[23.27160494 41.72839506] ; [ 5.72839506 10.27160494],0
u2,1,0.31702,1.001202,[15 11] ; [3 5],[13.76470588 12.23529412] ; [4.23529412 3.76470588],0
b1,1,0.323247,0.975765,[27 41] ; [9 8],[28.8 39.2] ; [7.2 9.8],0
p3,1,0.35595,0.85213,[24 44] ; [ 4 13],[22.4 45.6] ; [ 5.6 11.4],0
n3,1,0.391504,0.734266,[18  9] ; [4 4],[16.97142857 10.02857143] ; [5.02857143 2.97142857],0
a4,1,0.414832,0.664911,[23 45] ; [ 4 13],[21.6 46.4] ; [ 5.4 11.6],0
u3,1,0.418741,0.653846,[12 14] ; [5 3],[13. 13.] ; [4. 4.],0
a3,1,0.506555,0.441176,[42 26] ; [9 8],[40.8 27.2] ; [10.2  6.8],0
r1,1,0.570426,0.32197,[45 23] ; [10  7],[44. 24.] ; [11.  6.],0
p7,1,0.59891,0.276644,[39 26] ; [9 8],[38.04878049 26.95121951] ; [9.95121951 7.04878049],0
b5,1,0.652225,0.203106,[44 24] ; [10  7],[43.2 24.8] ; [10.8  6.2],0
s3,1,0.664193,0.18847,[32 36] ; [9 8],[32.8 35.2] ; [8.2 8.8],0
u1,1,0.693168,0.155678,[ 6 62] ; [ 1 16],[ 5.6 62.4] ; [ 1.4 15.6],0
s2,1,0.707114,0.141176,[29 39] ; [ 6 10],[28.33333333 39.66666667] ; [6.66666667 9.33333333],0
n1,1,0.724159,0.124542,[ 6 21] ; [2 5],[ 6.35294118 20.64705882] ; [1.64705882 5.35294118],0
p1,1,0.797875,0.065586,[ 3 65] ; [ 1 16],[ 3.2 64.8] ; [ 0.8 16.2],0
p6,1,0.80441,0.061328,[18 50] ; [ 4 13],[17.6 50.4] ; [ 4.4 12.6],0
s4,1,0.807118,0.059607,[18 50] ; [ 5 12],[18.4 49.6] ; [ 4.6 12.4],0
d4,1,0.88495,0.020937,[48 20] ; [11  5],[47.76190476 20.23809524] ; [11.23809524  4.76190476],0
a8,1,0.952431,0.003559,[ 4 60] ; [ 1 14],[ 4.05063291 59.94936709] ; [ 0.94936709 14.05063291],0
b2,1,0.957128,0.00289,[12 23] ; [3 6],[11.93181818 23.06818182] ; [3.06818182 5.93181818],0
b3,1,0.957128,0.00289,[12 23] ; [3 6],[11.93181818 23.06818182] ; [3.06818182 5.93181818],0
b4,1,1.0,0.0,[40 28] ; [10  7],[40. 28.] ; [10.  7.],0
