Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,40.282317,[101  21] ; [22 39],[82. 40.] ; [41. 20.],1
p10,1,0.00139,10.219496,[89 31] ; [29 29],[79.5505618 40.4494382] ; [38.4494382 19.5505618],0
n1,1,0.003949,8.307299,[19 18] ; [ 2 16],[14.12727273 22.87272727] ; [ 6.87272727 11.12727273],0
a5,1,0.008668,6.89006,[75 47] ; [25 36],[66.66666667 55.33333333] ; [33.33333333 27.66666667],0
p9,1,0.012077,6.299482,[97 22] ; [38 21],[90.25280899 28.74719101] ; [44.74719101 14.25280899],0
s7,1,0.019128,5.489757,[40 73] ; [11 49],[33.31213873 79.68786127] ; [17.68786127 42.31213873],0
a7,1,0.03507,4.441748,[62 60] ; [41 20],[68.66666667 53.33333333] ; [34.33333333 26.66666667],0
u3,1,0.042262,4.124678,[ 9 32] ; [13 16],[12.88571429 28.11428571] ; [ 9.11428571 19.88571429],0
p6,1,0.050118,3.837506,[40 79] ; [11 46],[34.48295455 84.51704545] ; [16.51704545 40.48295455],0
s1,1,0.080246,3.059915,[  2 119] ; [ 4 57],[  3.98901099 117.01098901] ; [ 2.01098901 58.98901099],0
a3,1,0.087792,2.914396,[81 41] ; [32 28],[75.74725275 46.25274725] ; [37.25274725 22.74725275],0
d3,1,0.104826,2.630538,[58 63] ; [37 24],[63.15934066 57.84065934] ; [31.84065934 29.15934066],0
a4,1,0.109191,2.565893,[44 77] ; [15 46],[39.22527473 81.77472527] ; [19.77472527 41.22527473],0
v3,1,0.12233,2.387229,[39 80] ; [13 47],[34.5698324 84.4301676] ; [17.4301676 42.5698324],0
a6,1,0.137532,2.205362,[76 46] ; [31 30],[71.33333333 50.66666667] ; [35.66666667 25.33333333],0
p3,1,0.142414,2.151678,[52 69] ; [19 41],[47.4640884 73.5359116] ; [23.5359116 36.4640884],0
v1,1,0.145118,2.122834,[51 66] ; [19 40],[46.53409091 70.46590909] ; [23.46590909 35.53409091],0
p11,1,0.14599,2.113655,[87 35] ; [37 24],[82.66666667 39.33333333] ; [41.33333333 19.66666667],0
r2,1,0.153493,2.037185,[96 23] ; [42 17],[92.25842697 26.74157303] ; [45.74157303 13.25842697],0
p4,1,0.154029,2.03189,[62 59] ; [24 36],[57.49171271 63.50828729] ; [28.50828729 31.49171271],0
d1,1,0.165228,1.925716,[53 69] ; [20 41],[48.66666667 73.33333333] ; [24.33333333 36.66666667],0
s3,1,0.17767,1.817007,[55 67] ; [20 38],[50.83333333 71.16666667] ; [24.16666667 33.83333333],0
p5,1,0.179712,1.8,[ 16 104] ; [ 4 56],[ 13.33333333 106.66666667] ; [ 6.66666667 53.33333333],0
a8,1,0.228923,1.447538,[ 15 101] ; [ 4 54],[ 12.66666667 103.33333333] ; [ 6.33333333 51.66666667],0
b2,1,0.280263,1.165815,[29 45] ; [10 25],[26.47706422 47.52293578] ; [12.52293578 22.47706422],0
b3,1,0.280263,1.165815,[29 45] ; [10 25],[26.47706422 47.52293578] ; [12.52293578 22.47706422],0
b5,1,0.282138,1.156764,[72 50] ; [41 20],[75.33333333 46.66666667] ; [37.66666667 23.33333333],0
s8,1,0.284861,1.14375,[35 87] ; [13 48],[32. 90.] ; [16. 45.],0
d2,1,0.292078,1.11002,[49 71] ; [20 41],[45.74585635 74.25414365] ; [23.25414365 37.74585635],0
p1,1,0.306988,1.043588,[ 14 108] ; [ 4 56],[ 12.06593407 109.93406593] ; [ 5.93406593 54.06593407],0
b4,1,0.341459,0.904945,[73 49] ; [32 29],[70. 52.] ; [35. 26.],0
n6,1,0.350769,0.870673,[93 28] ; [43 18],[90.41758242 30.58241758] ; [45.58241758 15.41758242],0
v4,1,0.375135,0.786585,[94 27] ; [50 10],[96.26519337 24.73480663] ; [47.73480663 12.26519337],0
v2,1,0.389525,0.740423,[50 67] ; [22 39],[47.3258427 69.6741573] ; [24.6741573 36.3258427],0
s6,1,0.396144,0.72,[56 64] ; [24 36],[53.33333333 66.66666667] ; [26.66666667 33.33333333],0
r4,1,0.400416,0.707076,[70 52] ; [31 30],[67.33333333 54.66666667] ; [33.66666667 27.33333333],0
s5,1,0.427997,0.628252,[20 97] ; [13 46],[21.9375 95.0625] ; [11.0625 47.9375],0
u2,1,0.493659,0.468541,[16 24] ; [14 15],[17.39130435 22.60869565] ; [12.60869565 16.39130435],0
d5,1,0.504077,0.446341,[84 38] ; [39 22],[82. 40.] ; [41. 20.],0
a2,1,0.520286,0.413326,[ 16 106] ; [ 6 55],[ 14.66666667 107.33333333] ; [ 7.33333333 53.66666667],0
n2,1,0.545531,0.365385,[27 12] ; [11  7],[26. 13.] ; [12.  6.],0
d4,1,0.738346,0.111585,[81 41] ; [42 19],[82. 40.] ; [41. 20.],0
r3,1,0.770926,0.084776,[97 24] ; [50 11],[97.73076923 23.26923077] ; [49.26923077 11.73076923],0
p7,1,0.793471,0.068542,[58 63] ; [30 30],[58.82872928 62.17127072] ; [29.17127072 30.82872928],0
u1,1,0.818108,0.05289,[  7 115] ; [ 3 58],[  6.66666667 115.33333333] ; [ 3.33333333 57.66666667],0
p2,1,0.822322,0.050427,[80 40] ; [41 19],[80.66666667 39.33333333] ; [40.33333333 19.66666667],0
p8,1,0.827886,0.047269,[46 74] ; [22 38],[45.33333333 74.66666667] ; [22.66666667 37.33333333],0
b1,1,0.833496,0.044192,[54 68] ; [28 33],[54.66666667 67.33333333] ; [27.33333333 33.66666667],0
a1,1,0.853189,0.034244,[ 11 111] ; [ 5 56],[ 10.66666667 111.33333333] ; [ 5.33333333 55.66666667],0
s2,1,0.912061,0.012197,[41 81] ; [21 40],[41.33333333 80.66666667] ; [20.66666667 40.33333333],0
p12,1,0.980869,0.000575,[  6 114] ; [ 3 58],[  5.96685083 114.03314917] ; [ 3.03314917 57.96685083],0
n3,1,1.0,0.0,[26 13] ; [12  6],[26. 13.] ; [12.  6.],0
