Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.00205,9.503902,[ 6 33] ; [12 11],[11.32258065 27.67741935] ; [ 6.67741935 16.32258065],0
v1,1,0.00205,9.503902,[ 6 33] ; [12 11],[11.32258065 27.67741935] ; [ 6.67741935 16.32258065],0
d2,1,0.00205,9.503902,[ 6 33] ; [12 11],[11.32258065 27.67741935] ; [ 6.67741935 16.32258065],0
p11,1,0.007819,7.074377,[17 22] ; [18  5],[22.01612903 16.98387097] ; [12.98387097 10.01612903],0
d5,1,0.012174,6.285377,[16 23] ; [17  6],[20.75806452 18.24193548] ; [12.24193548 10.75806452],0
s6,1,0.015034,5.912434,[10 29] ; [13 10],[14.46774194 24.53225806] ; [ 8.53225806 14.46774194],0
p6,1,0.016567,5.741627,[ 3 35] ; [ 7 15],[ 6.33333333 31.66666667] ; [ 3.66666667 18.33333333],0
d3,1,0.017974,5.598662,[15 24] ; [16  7],[19.5 19.5] ; [11.5 11.5],0
a4,1,0.0543,3.703467,[ 8 31] ; [10 13],[11.32258065 27.67741935] ; [ 6.67741935 16.32258065],0
d4,1,0.054553,3.695686,[21 18] ; [18  5],[24.53225806 14.46774194] ; [14.46774194  8.53225806],0
a7,1,0.065719,3.386845,[16 23] ; [15  8],[19.5 19.5] ; [11.5 11.5],0
n4,1,0.073555,3.201849,[18 21] ; [16  7],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
v3,1,0.089919,2.875823,[ 5 34] ; [ 7 16],[ 7.5483871 31.4516129] ; [ 4.4516129 18.5483871],0
p12,1,0.104697,2.632491,[ 1 38] ; [ 3 20],[ 2.51612903 36.48387097] ; [ 1.48387097 21.51612903],0
u3,1,0.149443,2.077922,[ 4 17] ; [4 5],[ 5.6 15.4] ; [2.4 6.6],0
s2,1,0.176557,1.826366,[ 8 31] ; [ 8 14],[10.2295082 28.7704918] ; [ 5.7704918 16.2295082],0
p4,1,0.209614,1.574088,[14 25] ; [12 11],[16.35483871 22.64516129] ; [ 9.64516129 13.35483871],0
r3,1,0.217027,1.523924,[24 14] ; [18  5],[26.16393443 11.83606557] ; [15.83606557  7.16393443],0
a6,1,0.237485,1.395458,[16 23] ; [13 10],[18.24193548 20.75806452] ; [10.75806452 12.24193548],0
n2,1,0.237625,1.394628,[8 8] ; [8 3],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
p8,1,0.247011,1.340129,[11 27] ; [10 13],[13.08196721 24.91803279] ; [ 7.91803279 15.08196721],0
a2,1,0.268858,1.222563,[ 2 37] ; [ 3 20],[ 3.14516129 35.85483871] ; [ 1.85483871 21.14516129],0
u1,1,0.277096,1.181276,[ 1 38] ; [ 2 21],[ 1.88709677 37.11290323] ; [ 1.11290323 21.88709677],0
v4,1,0.285052,1.142845,[20 19] ; [15  8],[22.01612903 16.98387097] ; [12.98387097 10.01612903],0
n5,1,0.304294,1.055282,[22 17] ; [16  7],[23.90322581 15.09677419] ; [14.09677419  8.90322581],0
a3,1,0.30615,1.047212,[18 20] ; [14  9],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
p10,1,0.331789,0.941902,[18 21] ; [13  9],[19.81967213 19.18032787] ; [11.18032787 10.81967213],0
