Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.8875,[12  1] ; [ 3 23],[5. 8.] ; [10. 16.],1
s7,1,0.000309,13.016882,[10  3] ; [ 4 20],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],1
s8,1,0.000317,12.96497,[9 4] ; [ 3 22],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],1
b5,1,0.021339,5.298913,[11  2] ; [12 14],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
p2,1,0.028472,4.799269,[11  2] ; [12 13],[7.86842105 5.13157895] ; [15.13157895  9.86842105],0
s6,1,0.051612,3.788308,[9 4] ; [ 9 16],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
s5,1,0.051889,3.779332,[6 6] ; [ 5 21],[3.47368421 8.52631579] ; [ 7.52631579 18.47368421],0
r4,1,0.054664,3.692308,[7 6] ; [ 6 20],[4.33333333 8.66666667] ; [ 8.66666667 17.33333333],0
a7,1,0.065541,3.391304,[8 5] ; [ 8 18],[5.33333333 7.66666667] ; [10.66666667 15.33333333],0
b1,1,0.109959,2.554813,[5 8] ; [17  9],[7.33333333 5.66666667] ; [14.66666667 11.33333333],0
a6,1,0.112805,2.514474,[9 4] ; [11 15],[6.66666667 6.33333333] ; [13.33333333 12.66666667],0
n2,1,0.141407,2.162585,[7 1] ; [8 6],[5.45454545 2.54545455] ; [9.54545455 4.45454545],0
p1,1,0.175504,1.835294,[ 3 10] ; [ 2 24],[ 1.66666667 11.33333333] ; [ 3.33333333 22.66666667],0
s1,1,0.202396,1.625,[ 2 11] ; [ 1 25],[ 1. 12.] ; [ 2. 24.],0
d2,1,0.207119,1.591453,[8 5] ; [10 15],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
p9,1,0.214449,1.541137,[9 4] ; [11 12],[7.22222222 5.77777778] ; [12.77777778 10.22222222],0
p6,1,0.220165,1.503297,[5 8] ; [ 5 20],[3.42105263 9.57894737] ; [ 6.57894737 18.42105263],0
r2,1,0.22842,1.450676,[10  2] ; [16  9],[8.43243243 3.56756757] ; [17.56756757  7.43243243],0
a3,1,0.237923,1.392857,[10  3] ; [15 11],[8.33333333 4.66666667] ; [16.66666667  9.33333333],0
n3,1,0.284117,1.14729,[5 3] ; [5 8],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
b4,1,0.357168,0.847826,[9 4] ; [14 12],[7.66666667 5.33333333] ; [15.33333333 10.66666667],0
n1,1,0.375399,0.785714,[5 3] ; [6 8],[4. 4.] ; [7. 7.],0
p4,1,0.427801,0.628786,[8 5] ; [12 13],[6.84210526 6.15789474] ; [13.15789474 11.84210526],0
a2,1,0.455414,0.557143,[ 2 11] ; [ 2 24],[ 1.33333333 11.66666667] ; [ 2.66666667 23.33333333],0
u1,1,0.455414,0.557143,[ 2 11] ; [ 2 24],[ 1.33333333 11.66666667] ; [ 2.66666667 23.33333333],0
a5,1,0.461743,0.541667,[10  3] ; [17  9],[9. 4.] ; [18.  8.],0
p11,1,0.495628,0.464286,[7 6] ; [11 15],[6. 7.] ; [12. 14.],0
n5,1,0.498174,0.458824,[12  1] ; [22  4],[11.33333333  1.66666667] ; [22.66666667  3.33333333],0
a4,1,0.510416,0.433215,[5 8] ; [ 7 18],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
p3,1,0.543512,0.36907,[6 7] ; [ 9 16],[5.13157895 7.86842105] ; [ 9.86842105 15.13157895],0
v4,1,0.574922,0.314516,[11  2] ; [20  6],[10.33333333  2.66666667] ; [20.66666667  5.33333333],0
b2,1,0.602332,0.271493,[5 8] ; [ 5 12],[4.33333333 8.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.602332,0.271493,[5 8] ; [ 5 12],[4.33333333 8.66666667] ; [ 5.66666667 11.33333333],0
s4,1,0.604027,0.268966,[4 9] ; [ 6 20],[3.33333333 9.66666667] ; [ 6.66666667 19.33333333],0
d4,1,0.630954,0.230769,[8 5] ; [18  8],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
p12,1,0.708992,0.139286,[ 1 12] ; [ 3 23],[ 1.33333333 11.66666667] ; [ 2.66666667 23.33333333],0
p8,1,0.742867,0.107622,[5 8] ; [11 14],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
v3,1,0.7437,0.106901,[ 3 10] ; [ 7 18],[3.42105263 9.57894737] ; [ 6.57894737 18.42105263],0
