Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.7e-05,18.534103,[34 70] ; [20  5],[43.53488372 60.46511628] ; [10.46511628 14.53488372],1
s7,1,0.005138,7.830212,[26 78] ; [13 11],[31.6875 72.3125] ; [ 7.3125 16.6875],0
p8,1,0.008924,6.838005,[29 78] ; [14 12],[34.59398496 72.40601504] ; [ 8.40601504 17.59398496],0
a4,1,0.035598,4.416257,[24 84] ; [ 1 24],[20.30075188 87.69924812] ; [ 4.69924812 20.30075188],0
s8,1,0.048923,3.877986,[22 87] ; [10 16],[25.83703704 83.16296296] ; [ 6.16296296 19.83703704],0
p5,1,0.051124,3.804196,[  5 102] ; [ 4 22],[ 7.2406015 99.7593985] ; [ 1.7593985 24.2406015],0
s2,1,0.07105,3.258585,[35 72] ; [13 12],[38.90909091 68.09090909] ; [ 9.09090909 15.90909091],0
r2,1,0.074755,3.175396,[82 25] ; [24  2],[85.27819549 21.72180451] ; [20.72180451  5.27819549],0
s5,1,0.085805,2.951366,[17 89] ; [ 8 18],[20.07575758 85.92424242] ; [ 4.92424242 21.07575758],0
s6,1,0.08904,2.891638,[46 61] ; [16 10],[49.87969925 57.12030075] ; [12.12030075 13.87969925],0
s3,1,0.092163,2.836181,[48 58] ; [16  9],[51.78625954 54.21374046] ; [12.21374046 12.78625954],0
a8,1,0.094099,2.80282,[11 88] ; [ 6 19],[13.57258065 85.42741935] ; [ 3.42741935 21.57258065],0
r4,1,0.124234,2.363116,[71 38] ; [21  5],[74.28148148 34.71851852] ; [17.71851852  8.28148148],0
p4,1,0.152853,2.043541,[26 80] ; [10 16],[28.90909091 77.09090909] ; [ 7.09090909 18.90909091],0
v2,1,0.162088,1.954641,[30 72] ; [11 14],[32.92913386 69.07086614] ; [ 8.07086614 16.92913386],0
a7,1,0.18436,1.76212,[55 53] ; [17  9],[58.02985075 49.97014925] ; [13.97014925 12.02985075],0
p1,1,0.195229,1.677711,[  8 101] ; [ 4 22],[ 9.68888889 99.31111111] ; [ 2.31111111 23.68888889],0
n4,1,0.221784,1.492792,[60 47] ; [18  8],[62.7518797 44.2481203] ; [15.2481203 10.7518797],0
n6,1,0.239823,1.381632,[74 33] ; [21  5],[76.42857143 30.57142857] ; [18.57142857  7.42857143],0
n1,1,0.281356,1.160526,[15 27] ; [4 3],[16.28571429 25.71428571] ; [2.71428571 4.28571429],0
a5,1,0.284964,1.14326,[46 63] ; [ 8 18],[43.6 65.4] ; [10.4 15.6],0
r3,1,0.290885,1.115522,[85 22] ; [23  3],[86.88721805 20.11278195] ; [21.11278195  4.88721805],0
p2,1,0.306137,1.04727,[68 41] ; [19  7],[70.24444444 38.75555556] ; [16.75555556  9.24444444],0
d2,1,0.306558,1.045447,[27 82] ; [ 4 22],[25.02962963 83.97037037] ; [ 5.97037037 20.02962963],0
b1,1,0.326524,0.962634,[43 66] ; [13 13],[45.21481481 63.78518519] ; [10.78518519 15.21481481],0
d4,1,0.337719,0.919072,[51 57] ; [15 11],[53.19402985 54.80597015] ; [12.80597015 13.19402985],0
r1,1,0.34891,0.877418,[64 44] ; [18  8],[66.08955224 41.91044776] ; [15.91044776 10.08955224],0
p9,1,0.362793,0.828203,[75 31] ; [16 10],[73.07575758 32.92424242] ; [17.92424242  8.07575758],0
d3,1,0.419847,0.650742,[45 64] ; [13 13],[46.82962963 62.17037037] ; [11.17037037 14.82962963],0
u2,1,0.426118,0.633381,[23 32] ; [8 7],[24.35714286 30.64285714] ; [6.64285714 8.35714286],0
s1,1,0.479348,0.500346,[ 8 97] ; [ 3 22],[ 8.88461538 96.11538462] ; [ 2.11538462 22.88461538],0
a3,1,0.481871,0.494627,[53 53] ; [11 15],[51.39393939 54.60606061] ; [12.60606061 13.39393939],0
n5,1,0.492518,0.47102,[70 36] ; [19  7],[71.46969697 34.53030303] ; [17.53030303  8.46969697],0
v4,1,0.496546,0.462312,[88 18] ; [23  3],[89.13636364 16.86363636] ; [21.86363636  4.13636364],0
p12,1,0.542561,0.370813,[  2 105] ; [ 1 25],[  2.41353383 104.58646617] ; [ 0.58646617 25.41353383],0
b4,1,0.573601,0.316694,[57 52] ; [12 14],[55.71111111 53.28888889] ; [13.28888889 12.71111111],0
p10,1,0.592358,0.286677,[66 40] ; [17  8],[67.16030534 38.83969466] ; [15.83969466  9.16030534],0
b5,1,0.605842,0.266274,[61 48] ; [16 10],[62.17037037 46.82962963] ; [14.82962963 11.17037037],0
a6,1,0.632251,0.22902,[53 56] ; [14 12],[54.0962963 54.9037037] ; [12.9037037 13.0962963],0
b3,1,0.652411,0.202874,[22 43] ; [6 9],[22.75 42.25] ; [5.25 9.75],0
b2,1,0.652411,0.202874,[22 43] ; [6 9],[22.75 42.25] ; [5.25 9.75],0
n3,1,0.751412,0.100348,[26 15] ; [4 3],[25.625 15.375] ; [4.375 2.625],0
p11,1,0.757579,0.095272,[72 37] ; [18  8],[72.66666667 36.33333333] ; [17.33333333  8.66666667],0
n2,1,0.760077,0.093256,[33 10] ; [5 2],[32.68 10.32] ; [5.32 1.68],0
s4,1,0.788659,0.071852,[19 89] ; [ 4 22],[18.53731343 89.46268657] ; [ 4.46268657 21.53731343],0
v3,1,0.800495,0.063861,[27 79] ; [ 6 20],[26.5 79.5] ; [ 6.5 19.5],0
u3,1,0.834109,0.043863,[24 31] ; [7 8],[24.35714286 30.64285714] ; [6.64285714 8.35714286],0
v1,1,0.97027,0.001389,[44 61] ; [11 15],[44.08396947 60.91603053] ; [10.91603053 15.08396947],0
