Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00175,9.795002,[27 34] ; [ 7 38],[19.56603774 41.43396226] ; [14.43396226 30.56603774],0
p12,1,0.016086,5.793404,[ 1 59] ; [ 6 38],[ 4.03846154 55.96153846] ; [ 2.96153846 41.03846154],0
p10,1,0.017014,5.694935,[37 22] ; [37  7],[42.38834951 16.61165049] ; [31.61165049 12.38834951],0
b4,1,0.029171,4.757464,[32 29] ; [33 12],[37.40566038 23.59433962] ; [27.59433962 17.40566038],0
u2,1,0.041558,4.153134,[ 7 14] ; [9 4],[ 9.88235294 11.11764706] ; [6.11764706 6.88235294],0
p9,1,0.045108,4.014601,[41 18] ; [38  6],[45.25242718 13.74757282] ; [33.74757282 10.25242718],0
r1,1,0.09664,2.760131,[44 16] ; [39  6],[47.42857143 12.57142857] ; [35.57142857  9.42857143],0
d3,1,0.1249,2.354773,[39 22] ; [35 10],[42.58490566 18.41509434] ; [31.41509434 13.58490566],0
a7,1,0.134336,2.241671,[44 17] ; [38  7],[47.18867925 13.81132075] ; [34.81132075 10.18867925],0
n3,1,0.137618,2.204397,[14  5] ; [9 9],[11.81081081  7.18918919] ; [11.18918919  6.81081081],0
p6,1,0.140169,2.176107,[18 40] ; [ 8 36],[14.78431373 43.21568627] ; [11.21568627 32.78431373],0
a2,1,0.207535,1.588541,[ 9 52] ; [11 34],[11.50943396 49.49056604] ; [ 8.49056604 36.50943396],0
d4,1,0.210972,1.564743,[47 14] ; [39  6],[49.49056604 11.50943396] ; [36.50943396  8.49056604],0
p5,1,0.219319,1.508819,[ 3 58] ; [ 5 39],[ 4.64761905 56.35238095] ; [ 3.35238095 40.64761905],0
n1,1,0.237893,1.393038,[ 5 14] ; [ 2 16],[ 3.59459459 15.40540541] ; [ 3.40540541 14.59459459],0
v1,1,0.242798,1.364276,[31 30] ; [28 17],[33.95283019 27.04716981] ; [25.04716981 19.95283019],0
s8,1,0.280008,1.167051,[17 44] ; [17 28],[19.56603774 41.43396226] ; [14.43396226 30.56603774],0
r4,1,0.289829,1.120415,[48 13] ; [39  6],[50.06603774 10.93396226] ; [36.93396226  8.06603774],0
b3,1,0.322102,0.980392,[ 8 22] ; [ 8 12],[ 9.6 20.4] ; [ 6.4 13.6],0
b2,1,0.322102,0.980392,[ 8 22] ; [ 8 12],[ 9.6 20.4] ; [ 6.4 13.6],0
a1,1,0.389358,0.740946,[ 1 60] ; [ 2 43],[ 1.72641509 59.27358491] ; [ 1.27358491 43.72641509],0
s3,1,0.397832,0.714869,[27 33] ; [24 21],[29.14285714 30.85714286] ; [21.85714286 23.14285714],0
s1,1,0.397832,0.714869,[ 1 59] ; [ 2 43],[ 1.71428571 58.28571429] ; [ 1.28571429 43.71428571],0
r3,1,0.427355,0.63,[58  2] ; [42  3],[57.14285714  2.85714286] ; [42.85714286  2.14285714],0
r2,1,0.429195,0.625,[55  5] ; [43  2],[56.  4.] ; [42.  3.],0
p1,1,0.484759,0.488137,[ 3 58] ; [ 1 43],[ 2.32380952 58.67619048] ; [ 1.67619048 42.32380952],0
s6,1,0.492931,0.470121,[37 23] ; [30 14],[38.65384615 21.34615385] ; [28.34615385 15.65384615],0
p3,1,0.492931,0.470121,[23 37] ; [14 30],[21.34615385 38.65384615] ; [15.65384615 28.34615385],0
d1,1,0.516137,0.421606,[30 31] ; [25 20],[31.6509434 29.3490566] ; [23.3490566 21.6509434],0
a3,1,0.546045,0.364451,[40 21] ; [32 13],[41.43396226 19.56603774] ; [30.56603774 14.43396226],0
a6,1,0.546045,0.364451,[40 21] ; [32 13],[41.43396226 19.56603774] ; [30.56603774 14.43396226],0
p8,1,0.550498,0.356427,[26 33] ; [22 22],[27.49514563 31.50485437] ; [20.50485437 23.49514563],0
