Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,27.518262,[ 66 177] ; [112 108],[ 93.42116631 149.57883369] ; [ 84.57883369 135.42116631],1
v2,1,1e-06,24.781061,[101 139] ; [143  76],[127.58169935 112.41830065] ; [116.41830065 102.58169935],1
p4,1,1.5e-05,18.800521,[ 94 153] ; [130  94],[117.46921444 129.53078556] ; [106.53078556 117.46921444],1
p3,1,3.6e-05,17.089358,[ 77 172] ; [111 113],[ 98.96828753 150.03171247] ; [ 89.03171247 134.96828753],1
n5,1,0.000329,12.898915,[175  73] ; [190  35],[191.37420719  56.62579281] ; [173.62579281  51.37420719],1
r4,1,0.000872,11.080452,[207  43] ; [209  16],[218.94736842  31.05263158] ; [197.05263158  27.94736842],1
p2,1,0.00136,10.258968,[181  68] ; [190  34],[195.30443975  53.69556025] ; [175.69556025  48.30443975],0
p9,1,0.001415,10.186129,[181  61] ; [193  30],[194.64086022  47.35913978] ; [179.35913978  43.64086022],0
r2,1,0.00348,8.536793,[220  28] ; [214   9],[228.51804671  19.48195329] ; [205.48195329  17.51804671],0
a5,1,0.005925,7.572826,[161  89] ; [171  54],[174.73684211  75.26315789] ; [157.26315789  67.73684211],0
p10,1,0.008353,6.956183,[183  63] ; [188  35],[194.59701493  51.40298507] ; [176.40298507  46.59701493],0
p8,1,0.009607,6.706333,[ 92 155] ; [109 113],[105.85714286 141.14285714] ; [ 95.14285714 126.85714286],0
p7,1,0.010261,6.588928,[110 135] ; [125  95],[123.8172043 121.1827957] ; [111.1827957 108.8172043],0
r1,1,0.011737,6.350207,[182  68] ; [184  39],[193.44608879  56.55391121] ; [172.55391121  50.44608879],0
s6,1,0.012786,6.198501,[141 105] ; [152  70],[154.01282051  91.98717949] ; [138.98717949  83.01282051],0
p5,1,0.012859,6.188409,[ 11 238] ; [ 23 199],[ 17.97452229 231.02547771] ; [ 16.02547771 205.97452229],0
v4,1,0.014574,5.967227,[228  21] ; [217   7],[234.26004228  14.73995772] ; [210.73995772  13.26004228],0
a3,1,0.014672,5.955381,[158  92] ; [165  59],[170.35864979  79.64135021] ; [152.64135021  71.35864979],0
r3,1,0.019011,5.500484,[227  22] ; [216   8],[233.20718816  15.79281184] ; [209.79281184  14.20718816],0
u3,1,0.023714,5.115448,[36 55] ; [35 25],[42.78807947 48.21192053] ; [28.21192053 31.78807947],0
s2,1,0.025048,5.020569,[ 99 149] ; [111 110],[111.04477612 136.95522388] ; [ 98.95522388 122.04477612],0
n2,1,0.030809,4.663556,[52 25] ; [36  6],[56.94117647 20.05882353] ; [31.05882353 10.94117647],0
a4,1,0.032954,4.548175,[ 92 157] ; [104 119],[103.39830508 145.60169492] ; [ 92.60169492 130.39830508],0
n4,1,0.035465,4.422632,[177  72] ; [178  46],[186.88160677  62.11839323] ; [168.11839323  55.88160677],0
u4,1,0.040655,4.190324,[  1 249] ; [  6 219],[  3.68421053 246.31578947] ; [  3.31578947 221.68421053],0
b5,1,0.048127,3.905559,[140 110] ; [146  79],[150.52631579  99.47368421] ; [135.47368421  89.52631579],0
b2,1,0.052893,3.747306,[36 97] ; [54 88],[43.52727273 89.47272727] ; [46.47272727 95.52727273],0
b3,1,0.052893,3.747306,[36 97] ; [54 88],[43.52727273 89.47272727] ; [46.47272727 95.52727273],0
s8,1,0.062124,3.479751,[ 81 168] ; [ 91 132],[ 90.73728814 158.26271186] ; [ 81.26271186 141.73728814],0
u1,1,0.079324,3.078704,[ 33 217] ; [ 43 182],[ 40. 210.] ; [ 36. 189.],0
p11,1,0.106529,2.604966,[188  62] ; [183  42],[195.26315789  54.73684211] ; [175.73684211  49.26315789],0
a2,1,0.10786,2.585307,[ 47 203] ; [ 56 169],[ 54.21052632 195.78947368] ; [ 48.78947368 176.21052632],0
p12,1,0.139456,2.183953,[ 10 239] ; [ 16 209],[ 13.65822785 235.34177215] ; [ 12.34177215 212.65822785],0
d1,1,0.173545,1.852051,[130 120] ; [131  94],[137.36842105 112.63157895] ; [123.63157895 101.36842105],0
a6,1,0.17731,1.820029,[161  89] ; [158  67],[167.89473684  82.10526316] ; [151.10526316  73.89473684],0
b4,1,0.181521,1.785125,[154  96] ; [125 100],[146.84210526 103.15789474] ; [132.15789474  92.84210526],0
s5,1,0.196303,1.669666,[ 66 179] ; [ 71 148],[ 72.33836207 172.66163793] ; [ 64.66163793 154.33836207],0
b1,1,0.201216,1.633524,[ 94 156] ; [ 72 153],[ 87.36842105 162.63157895] ; [ 78.63157895 146.36842105],0
u2,1,0.21663,1.52656,[38 52] ; [31 28],[41.67785235 48.32214765] ; [27.32214765 31.67785235],0
a8,1,0.220992,1.497917,[ 26 202] ; [ 31 170],[ 30.29370629 197.70629371] ; [ 26.70629371 174.29370629],0
s3,1,0.252227,1.310925,[120 126] ; [119 101],[126.16738197 119.83261803] ; [112.83261803 107.16738197],0
n3,1,0.267609,1.228963,[51 25] ; [33 10],[53.64705882 22.35294118] ; [30.35294118 12.64705882],0
s7,1,0.28588,1.138921,[ 92 148] ; [ 93 122],[ 97.58241758 142.41758242] ; [ 87.41758242 127.58241758],0
d2,1,0.300408,1.072381,[109 138] ; [110 115],[114.60381356 132.39618644] ; [104.39618644 120.60381356],0
d5,1,0.378241,0.776411,[194  56] ; [182  43],[197.89473684  52.10526316] ; [178.10526316  46.89473684],0
d4,1,0.42414,0.638814,[194  55] ; [182  43],[197.51898734  51.48101266] ; [178.48101266  46.51898734],0
d3,1,0.468845,0.524697,[161  89] ; [152  73],[164.73684211  85.26315789] ; [148.26315789  76.73684211],0
n1,1,0.498321,0.458511,[26 50] ; [17 25],[27.69491525 48.30508475] ; [15.30508475 26.69491525],0
p1,1,0.512001,0.429975,[ 13 235] ; [ 15 210],[ 14.6807611 233.3192389] ; [ 13.3192389 211.6807611],0
s1,1,0.521072,0.411772,[  8 239] ; [  5 216],[  6.86111111 240.13888889] ; [  6.13888889 214.86111111],0
s4,1,0.60735,0.264052,[ 46 203] ; [ 37 185],[ 43.87898089 205.12101911] ; [ 39.12101911 182.87898089],0
a7,1,0.697714,0.15086,[173  76] ; [160  65],[174.93037975  74.06962025] ; [158.06962025  66.93037975],0
a1,1,0.955889,0.00306,[  8 242] ; [  7 218],[  7.89473684 242.10526316] ; [  7.10526316 217.89473684],0
