Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,99.220437,[198  94] ; [ 3 73],[159.48913043 132.51086957] ; [41.51086957 34.48913043],1
d4,1,0.0,82.581927,[261  30] ; [32 43],[232.95901639  58.04098361] ; [60.04098361 14.95901639],1
d3,1,0.0,38.211024,[223  69] ; [30 46],[200.75  91.25] ; [52.25 23.75],1
d2,1,1.1e-05,19.362522,[143 148] ; [16 60],[126.07356948 164.92643052] ; [32.92643052 43.07356948],1
a5,1,2.3e-05,17.906256,[231  61] ; [42 34],[216.61956522  75.38043478] ; [56.38043478 19.61956522],1
a7,1,0.00222,9.358445,[220  71] ; [44 32],[209.32970027  81.67029973] ; [54.67029973 21.32970027],0
a3,1,0.004135,8.223492,[208  83] ; [40 34],[197.72054795  93.27945205] ; [50.27945205 23.72054795],0
a2,1,0.005672,7.651646,[ 69 223] ; [ 7 69],[ 60.30434783 231.69565217] ; [15.69565217 60.30434783],0
u1,1,0.009245,6.774851,[ 50 242] ; [ 4 72],[ 42.84782609 249.15217391] ; [11.15217391 64.84782609],0
s3,1,0.012755,6.202844,[ 58 230] ; [25 49],[ 66.03314917 221.96685083] ; [16.96685083 57.03314917],0
a4,1,0.013051,6.162175,[133 158] ; [22 52],[123.57534247 167.42465753] ; [31.42465753 42.57534247],0
r3,1,0.014033,6.033932,[275  15] ; [66 10],[270.19125683  19.80874317] ; [70.80874317  5.19125683],0
p4,1,0.023878,5.10348,[162 128] ; [30 43],[153.38842975 136.61157025] ; [38.61157025 34.38842975],0
p10,1,0.037866,4.311018,[224  65] ; [48 25],[217.14917127  71.85082873] ; [54.85082873 18.14917127],0
p2,1,0.042917,4.098687,[239  50] ; [55 21],[232.78356164  56.21643836] ; [61.21643836 14.78356164],0
p9,1,0.059277,3.557506,[229  60] ; [51 23],[222.92011019  66.07988981] ; [57.07988981 16.92011019],0
p1,1,0.072273,3.230633,[ 17 272] ; [ 9 67],[ 20.58630137 268.41369863] ; [ 5.41369863 70.58630137],0
