Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.7e-05,18.504126,[97 60] ; [ 65 106],[77.54268293 79.45731707] ; [84.45731707 86.54268293],1
p6,1,7.4e-05,15.701964,[ 58 101] ; [ 31 147],[ 41.99109792 117.00890208] ; [ 47.00890208 130.99109792],1
p4,1,0.000185,13.976124,[80 82] ; [ 53 126],[63.18475073 98.81524927] ; [ 69.81524927 109.18475073],1
p8,1,0.000379,12.631515,[74 84] ; [ 50 128],[58.30952381 99.69047619] ; [ 65.69047619 112.30952381],1
r1,1,0.00164,9.914128,[137  24] ; [129  53],[124.85714286  36.14285714] ; [141.14285714  40.85714286],0
s6,1,0.002034,9.518889,[112  47] ; [98 83],[98.20588235 60.79411765] ; [111.79411765  69.20588235],0
p2,1,0.003012,8.800183,[135  28] ; [125  56],[123.19767442  39.80232558] ; [136.80232558  44.19767442],0
r3,1,0.005124,7.835148,[154   8] ; [155  25],[146.36842105  15.63157895] ; [162.63157895  17.36842105],0
v4,1,0.007958,7.042886,[151   9] ; [155  26],[143.57771261  16.42228739] ; [162.42228739  18.57771261],0
v3,1,0.008026,7.02758,[66 90] ; [ 50 126],[ 54.5060241 101.4939759] ; [ 61.4939759 114.5060241],0
r4,1,0.00812,7.00685,[146  17] ; [144  38],[137.01449275  25.98550725] ; [152.98550725  29.01449275],0
s2,1,0.008886,6.845601,[84 75] ; [ 70 111],[72.01764706 86.98235294] ; [81.98235294 99.01764706],0
p9,1,0.01049,6.549762,[132  28] ; [125  52],[122.01780415  37.98219585] ; [134.98219585  42.01780415],0
s8,1,0.011889,6.327328,[73 89] ; [ 58 124],[ 61.69186047 100.30813953] ; [ 69.30813953 112.69186047],0
p5,1,0.017478,5.647763,[ 14 148] ; [  5 176],[  8.97376093 153.02623907] ; [ 10.02623907 170.97376093],0
p11,1,0.019365,5.468247,[130  33] ; [125  57],[120.47826087  42.52173913] ; [134.52173913  47.47826087],0
p7,1,0.025034,5.021514,[87 68] ; [ 78 100],[76.8018018 78.1981982] ; [88.1981982 89.8018018],0
s5,1,0.027551,4.855919,[ 52 106] ; [ 39 137],[ 43.04790419 114.95209581] ; [ 47.95209581 128.04790419],0
r2,1,0.034962,4.447039,[153   8] ; [157  20],[147.66272189  13.33727811] ; [162.33727811  14.66272189],0
n6,1,0.034985,4.445905,[141  20] ; [143  38],[133.69590643  27.30409357] ; [150.30409357  30.69590643],0
s3,1,0.043511,4.075419,[90 66] ; [83 95],[80.80239521 75.19760479] ; [92.19760479 85.80239521],0
b5,1,0.054414,3.699966,[107  56] ; [101  81],[98.27246377 64.72753623] ; [109.72753623  72.27246377],0
p10,1,0.068111,3.327966,[124  37] ; [122  57],[116.48823529  44.51176471] ; [129.51176471  49.48823529],0
p1,1,0.07851,3.095473,[ 15 148] ; [  8 172],[ 10.93002915 152.06997085] ; [ 12.06997085 167.93002915],0
b1,1,0.088229,2.906388,[ 51 112] ; [ 73 109],[ 58.58550725 104.41449275] ; [ 65.41449275 116.58550725],0
s7,1,0.139293,2.185756,[75 81] ; [ 70 105],[68.33836858 87.66163142] ; [76.66163142 98.33836858],0
u4,1,0.139472,2.183776,[  4 159] ; [  1 181],[  2.36231884 160.63768116] ; [  2.63768116 179.36231884],0
u3,1,0.182376,1.778151,[24 21] ; [25 37],[20.60747664 24.39252336] ; [28.39252336 33.60747664],0
a3,1,0.189437,1.721993,[118  44] ; [120  61],[112.40816327  49.59183673] ; [125.59183673  55.40816327],0
n5,1,0.196692,1.666768,[139  23] ; [145  35],[134.52631579  27.47368421] ; [149.47368421  30.52631579],0
u1,1,0.300641,1.071351,[ 26 137] ; [ 22 160],[ 22.67826087 140.32173913] ; [ 25.32173913 156.67826087],0
a5,1,0.303661,1.058047,[121  42] ; [126  56],[116.69855072  46.30144928] ; [130.30144928  51.69855072],0
d3,1,0.303933,1.056856,[113  50] ; [116  65],[108.50872093  54.49127907] ; [120.49127907  60.50872093],0
b3,1,0.383783,0.758549,[43 67] ; [34 68],[39.95283019 70.04716981] ; [37.04716981 64.95283019],0
b2,1,0.383783,0.758549,[43 67] ; [34 68],[39.95283019 70.04716981] ; [37.04716981 64.95283019],0
n1,1,0.398475,0.712923,[17 16] ; [25 34],[15.06521739 17.93478261] ; [26.93478261 32.06521739],0
s4,1,0.459279,0.547652,[ 19 142] ; [ 26 153],[ 21.30882353 139.69117647] ; [ 23.69117647 155.30882353],0
d4,1,0.47718,0.505302,[131  32] ; [139  41],[128.3090379  34.6909621] ; [141.6909621  38.3090379],0
a2,1,0.49737,0.460544,[ 39 124] ; [ 38 144],[ 36.37971014 126.62028986] ; [ 40.62028986 141.37971014],0
b4,1,0.530652,0.393143,[94 69] ; [111  71],[96.85507246 66.14492754] ; [108.14492754  73.85507246],0
a8,1,0.551696,0.354288,[ 27 118] ; [ 27 141],[ 25.01597444 119.98402556] ; [ 28.98402556 139.01597444],0
s1,1,0.568709,0.324847,[  6 153] ; [  9 169],[  7.07715134 151.92284866] ; [  7.92284866 170.07715134],0
a6,1,0.698707,0.14982,[103  60] ; [118  63],[104.71802326  58.28197674] ; [116.28197674  64.71802326],0
a4,1,0.724844,0.123899,[76 85] ; [82 99],[74.38011696 86.61988304] ; [83.61988304 97.38011696],0
u2,1,0.735213,0.114379,[24 21] ; [30 30],[23.14285714 21.85714286] ; [30.85714286 29.14285714],0
n2,1,0.742259,0.108151,[24  9] ; [47 15],[24.66315789  8.33684211] ; [46.33684211 15.66315789],0
d2,1,0.76342,0.090597,[77 85] ; [88 91],[78.38709677 83.61290323] ; [86.61290323 92.38709677],0
d1,1,0.789415,0.071327,[91 72] ; [99 83],[89.76811594 73.23188406] ; [100.23188406  81.76811594],0
d5,1,0.792319,0.069327,[128  35] ; [140  41],[126.98837209  36.01162791] ; [141.01162791  39.98837209],0
a1,1,0.806782,0.059819,[  8 155] ; [ 10 172],[  8.50434783 154.49565217] ; [  9.49565217 172.50434783],0
p12,1,0.83688,0.042389,[  9 153] ; [ 11 170],[  9.44606414 152.55393586] ; [ 10.55393586 170.44606414],0
a7,1,0.880406,0.022636,[112  51] ; [123  58],[111.35174419  51.64825581] ; [123.64825581  57.35174419],0
n3,1,0.956149,0.003024,[22 11] ; [39 20],[21.88043478 11.11956522] ; [39.11956522 19.88043478],0
