Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.153736,[27  1] ; [2 5],[23.2  4.8] ; [5.8 1.2],1
s3,1,0.021487,5.28689,[17 10] ; [1 6],[14.29411765 12.70588235] ; [3.70588235 3.29411765],0
n6,1,0.038723,4.27297,[26  1] ; [5 2],[24.61764706  2.38235294] ; [6.38235294 0.61764706],0
b1,1,0.161723,1.958042,[12 16] ; [1 6],[10.4 17.6] ; [2.6 4.4],0
s2,1,0.191825,1.703543,[11 16] ; [1 6],[ 9.52941176 17.47058824] ; [2.47058824 4.52941176],0
a7,1,0.212628,1.553442,[17 11] ; [6 1],[18.4  9.6] ; [4.6 2.4],0
r2,1,0.227195,1.458333,[25  3] ; [5 2],[24.  4.] ; [6. 1.],0
a8,1,0.264582,1.244623,[ 3 23] ; [2 5],[ 3.93939394 22.06060606] ; [1.06060606 5.93939394],0
d2,1,0.308711,1.036184,[14 14] ; [2 5],[12.8 15.2] ; [3.2 3.8],0
p6,1,0.335451,0.92774,[17 10] ; [3 4],[15.88235294 11.11764706] ; [4.11764706 2.88235294],0
d5,1,0.349575,0.875,[21  7] ; [4 3],[20.  8.] ; [5. 2.],0
p12,1,0.369722,0.804598,[ 4 24] ; [2 5],[ 4.8 23.2] ; [1.2 5.8],0
s8,1,0.37471,0.787986,[10 16] ; [4 3],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
p4,1,0.394881,0.72386,[23  4] ; [5 2],[22.23529412  4.76470588] ; [5.76470588 1.23529412],0
v2,1,0.406186,0.689935,[ 9 19] ; [3 3],[ 9.88235294 18.11764706] ; [2.11764706 3.88235294],0
v3,1,0.406186,0.689935,[ 9 19] ; [3 3],[ 9.88235294 18.11764706] ; [2.11764706 3.88235294],0
d4,1,0.439231,0.598291,[20  8] ; [6 1],[20.8  7.2] ; [5.2 1.8],0
s4,1,0.545972,0.364583,[ 2 26] ; [1 6],[ 2.4 25.6] ; [0.6 6.4],0
d3,1,0.599766,0.27535,[17 11] ; [5 2],[17.6 10.4] ; [4.4 2.6],0
b3,1,0.632585,0.228571,[ 8 10] ; [2 4],[ 7.5 10.5] ; [2.5 3.5],0
b2,1,0.632585,0.228571,[ 8 10] ; [2 4],[ 7.5 10.5] ; [2.5 3.5],0
r1,1,0.672604,0.178571,[22  6] ; [6 1],[22.4  5.6] ; [5.6 1.4],0
s7,1,0.714546,0.133779,[16  9] ; [5 2],[16.40625  8.59375] ; [4.59375 2.40625],0
n2,1,0.793428,0.068571,[6 4] ; [1 1],[5.83333333 4.16666667] ; [1.16666667 0.83333333],0
p2,1,0.793488,0.068531,[22  5] ; [6 1],[22.23529412  4.76470588] ; [5.76470588 1.23529412],0
v4,1,0.816297,0.053968,[24  3] ; [6 1],[23.82352941  3.17647059] ; [6.17647059 0.82352941],0
p3,1,0.822564,0.050287,[23  5] ; [6 1],[23.2  4.8] ; [5.8 1.2],0
u1,1,0.822564,0.050287,[ 5 23] ; [1 6],[ 4.8 23.2] ; [1.2 5.8],0
a3,1,0.85554,0.033144,[19  9] ; [5 2],[19.2  8.8] ; [4.8 2.2],0
a6,1,0.85554,0.033144,[19  9] ; [5 2],[19.2  8.8] ; [4.8 2.2],0
b5,1,0.863032,0.029762,[11 17] ; [3 4],[11.2 16.8] ; [2.8 4.2],0
d1,1,0.865281,0.028783,[13 15] ; [3 4],[12.8 15.2] ; [3.2 3.8],0
p8,1,0.88757,0.019988,[20  7] ; [5 2],[19.85294118  7.14705882] ; [5.14705882 1.85294118],0
s6,1,0.901312,0.015377,[21  3] ; [6 1],[20.90322581  3.09677419] ; [6.09677419 0.90322581],0
s5,1,0.979171,0.000682,[15 11] ; [4 3],[14.96969697 11.03030303] ; [4.03030303 2.96969697],0
b4,1,1.0,0.0,[16 12] ; [4 3],[16. 12.] ; [4. 3.],0
a1,1,1.0,0.0,[ 4 24] ; [1 6],[ 4. 24.] ; [1. 6.],0
